cond,ts,moved,prev_decision,prev_cand,prev_from,prev_to,prev_plan_wants,prev_plan_shape,new_plan_shape,new_gap,placement_before,placement_after
steady8s1,1787607891.6619616,model_6,MIGRATE,model_6,1,0,1,1+3,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}"
steady8s1,1787607953.3474362,model_6,MIGRATE,model_6,1,0,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}"
steady8s1,1787608016.0123277,model_6,MIGRATE,model_6,1,0,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}"
steady8s1,1787608081.4134288,model_5,MIGRATE,model_5,0,1,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 0}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 1, ""model_6"": 0}"
steady8s1,1787608143.8460073,model_5,MIGRATE,model_5,0,1,1,1+3,2+2,1,"{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 0}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 1, ""model_6"": 0}"
steady8s2,1787609074.1310253,model_6,MIGRATE,model_6,1,0,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}"
steady8s2,1787609185.7411108,model_4,MIGRATE,model_4,0,1,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 1}"
steady8s2,1787609261.1703248,model_4,MIGRATE,model_4,0,1,1,1+3,1+3,0,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 1}"
steady8s2,1787609363.2741523,model_6,MIGRATE,model_6,1,0,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}"
steady8s2,1787609464.6163626,model_4,MIGRATE,model_4,0,1,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 1}"
steady10s1,1787610249.83832,model_6,MIGRATE,model_6,1,0,1,1+3,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}"
steady10s1,1787610313.6133945,model_4,MIGRATE,model_4,0,1,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 1}"
steady10s1,1787610379.2153904,model_4,MIGRATE,model_4,0,1,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 1}"
steady10s1,1787610463.9528174,model_5,MIGRATE,model_5,0,1,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 0}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 1, ""model_6"": 0}"
steady10s1,1787610526.8125658,model_5,MIGRATE,model_5,1,0,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 1, ""model_6"": 0}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}"
steady10s2,1787620554.6668968,model_4,MIGRATE,model_4,0,1,1,1+3,1+3,0,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 1}"
steady10s2,1787620770.971077,model_4,MIGRATE,model_4,0,1,2,2+2,2+2,1,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 1}"
steady10s2,1787620867.7952614,model_4,MIGRATE,model_4,0,1,1,1+3,1+3,0,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 1}"
