run_dir,phase,arm,lifecycle_gate,findings
exp/results/4het-cooldown-diagnostic/raw/prism-cooldown0/steady/rate_10/seed_1,4het-cooldown-diagnostic,prism-cooldown0,PASS,
exp/results/4het-cooldown-diagnostic/raw/prism-cooldown0/steady/rate_10/seed_2,4het-cooldown-diagnostic,prism-cooldown0,PASS,
exp/results/4het-cooldown-diagnostic/raw/prism-cooldown0/steady/rate_8/seed_1,4het-cooldown-diagnostic,prism-cooldown0,PASS,
exp/results/4het-cooldown-diagnostic/raw/prism-cooldown0/steady/rate_8/seed_2,4het-cooldown-diagnostic,prism-cooldown0,PASS,
exp/results/4het-estimator-correction/raw/prism-estimator/steady/rate_10/seed_1,4het-estimator-correction,prism-estimator,PASS,
exp/results/4het-estimator-correction/raw/prism-estimator/steady/rate_10/seed_2,4het-estimator-correction,prism-estimator,PASS,
exp/results/4het-estimator-correction/raw/prism-estimator/steady/rate_8/seed_1,4het-estimator-correction,prism-estimator,PASS,
exp/results/4het-estimator-correction/raw/prism-estimator/steady/rate_8/seed_2,4het-estimator-correction,prism-estimator,PASS,
exp/results/4het-paired/raw/prism/bursty/rate_10/seed_1,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/bursty/rate_10/seed_2,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/bursty/rate_2/seed_1,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/bursty/rate_2/seed_2,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/bursty/rate_4/seed_1,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/bursty/rate_4/seed_2,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/bursty/rate_6/seed_1,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/bursty/rate_6/seed_2,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/bursty/rate_8/seed_1,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/bursty/rate_8/seed_2,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/steady/rate_10/seed_1,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/steady/rate_10/seed_2,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/steady/rate_2/seed_1,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/steady/rate_2/seed_2,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/steady/rate_4/seed_1,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/steady/rate_4/seed_2,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/steady/rate_6/seed_1,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/steady/rate_6/seed_2,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/steady/rate_8/seed_1,4het-paired,prism,PASS,
exp/results/4het-paired/raw/prism/steady/rate_8/seed_2,4het-paired,prism,PASS,
exp/results/4het-window-calibration/raw/prism-w30/bursty/rate_10/seed_3,4het-window-calibration,prism-w30,PASS,
exp/results/4het-window-calibration/raw/prism-w30/bursty/rate_10/seed_4,4het-window-calibration,prism-w30,PASS,
exp/results/4het-window-calibration/raw/prism-w30/bursty/rate_8/seed_3,4het-window-calibration,prism-w30,PASS,
exp/results/4het-window-calibration/raw/prism-w30/bursty/rate_8/seed_4,4het-window-calibration,prism-w30,PASS,
exp/results/4het-window-calibration/raw/prism-w30/steady/rate_10/seed_3,4het-window-calibration,prism-w30,PASS,
exp/results/4het-window-calibration/raw/prism-w30/steady/rate_10/seed_4,4het-window-calibration,prism-w30,PASS,
exp/results/4het-window-calibration/raw/prism-w30/steady/rate_8/seed_3,4het-window-calibration,prism-w30,PASS,
exp/results/4het-window-calibration/raw/prism-w30/steady/rate_8/seed_4,4het-window-calibration,prism-w30,PASS,
exp/results/4het-window-calibration/raw/prism-w60/bursty/rate_10/seed_3,4het-window-calibration,prism-w60,PASS,
exp/results/4het-window-calibration/raw/prism-w60/bursty/rate_10/seed_4,4het-window-calibration,prism-w60,PASS,
exp/results/4het-window-calibration/raw/prism-w60/bursty/rate_8/seed_3,4het-window-calibration,prism-w60,PASS,
exp/results/4het-window-calibration/raw/prism-w60/bursty/rate_8/seed_4,4het-window-calibration,prism-w60,PASS,
exp/results/4het-window-calibration/raw/prism-w60/steady/rate_10/seed_3,4het-window-calibration,prism-w60,PASS,
exp/results/4het-window-calibration/raw/prism-w60/steady/rate_10/seed_4,4het-window-calibration,prism-w60,PASS,
exp/results/4het-window-calibration/raw/prism-w60/steady/rate_8/seed_3,4het-window-calibration,prism-w60,PASS,
exp/results/4het-window-calibration/raw/prism-w60/steady/rate_8/seed_4,4het-window-calibration,prism-w60,PASS,
exp/results/4het-tau-calibration/raw/prism-T0/steady/rate_8/seed_3.pass-attempt2,4het-tau-calibration,prism-T0,PASS,
exp/results/4het-tau-calibration/raw/prism-T0/steady/rate_8/seed_3.stall-attempt1,4het-tau-calibration,prism-T0(INVALID),FAIL,runtime WorkerPool cleanup on GPU(s) ['0'] with no shutdown signal; controller cycle gap 601.8s between cycle 7 and 8; deactivate request to GPU 0 at 11:07:25.910 was never acknowledged (600.7s unanswered)
