cond,cycle,step,model,w_rate,size,cand_r,best_gpu,current_gpu,current_r,delta,chosen_gpu
steady8s1,2,0,model_6,0.2499593286293436,14.283203125,"{""0"": 0.0, ""1"": 0.0}",0,0,0.0,0.0,0
steady8s1,2,1,model_5,0.2418351331964233,15.080078125,"{""0"": 0.0038474934990296705, ""1"": 0.0}",1,0,0.0038474934990296705,0.0038474934990296705,1
steady8s1,2,2,model_3,0.23986940751610566,6.0,"{""0"": 0.0038474934990296705, ""1"": 0.003768668032158537}",1,1,0.003768668032158537,0.0,1
steady8s1,2,3,model_4,0.0385480227936688,5.8359375,"{""0"": 0.0038474934990296705, ""1"": 0.008280989989081517}",0,0,0.0038474934990296705,0.0,0
steady8s1,14,0,model_3,3.345623655883207,6.0,"{""0"": 0.0, ""1"": 0.0}",0,1,0.0,0.0,1
steady8s1,14,1,model_5,2.2295734899473696,15.080078125,"{""0"": 0.0, ""1"": 0.04567404308372979}",0,0,0.0,0.0,0
steady8s1,14,2,model_6,2.0986131808664394,14.283203125,"{""0"": 0.03474483721969421, ""1"": 0.04567404308372979}",0,0,0.03474483721969421,0.0,0
steady8s1,14,3,model_4,0.6996044719593439,5.8359375,"{""0"": 0.08676029972033004, ""1"": 0.04567404308372979}",1,0,0.08676029972033004,0.04108625663660025,1
steady8s1,26,0,model_3,3.077185028882465,6.0,"{""0"": 0.0, ""1"": 0.0}",0,1,0.0,0.0,1
steady8s1,26,1,model_6,2.282611870719391,14.283203125,"{""0"": 0.0, ""1"": 0.04200935193013604}",0,0,0.0,0.0,0
steady8s1,26,2,model_5,1.9228009198612108,15.080078125,"{""0"": 0.035135053296705895, ""1"": 0.04200935193013604}",0,0,0.035135053296705895,0.0,0
steady8s1,26,3,model_4,0.7625165512979034,5.8359375,"{""0"": 0.0842992462914912, ""1"": 0.04200935193013604}",1,0,0.0842992462914912,0.04228989436135516,1
steady8s1,49,0,model_3,2.6851705230913154,6.0,"{""0"": 0.0, ""1"": 0.0}",0,1,0.0,0.0,1
steady8s1,49,1,model_6,1.9291824284853225,14.283203125,"{""0"": 0.0, ""1"": 0.03665761806268007}",0,0,0.0,0.0,0
steady8s1,49,2,model_5,1.7096160901905864,15.080078125,"{""0"": 0.02969489833702568, ""1"": 0.03665761806268007}",0,0,0.02969489833702568,0.0,0
steady8s1,49,3,model_4,0.6563163839765118,5.8359375,"{""0"": 0.07294122784284963, ""1"": 0.03665761806268007}",1,1,0.03665761806268007,0.0,1
steady10s1,2,0,model_6,0.39624466165671246,14.283203125,"{""0"": 0.0, ""1"": 0.0}",0,0,0.0,0.0,0
steady10s1,2,1,model_3,0.2653016146651742,6.0,"{""0"": 0.006099187288225259, ""1"": 0.0}",1,1,0.0,0.0,1
steady10s1,2,2,model_4,0.2074641889318714,5.8359375,"{""0"": 0.006099187288225259, ""1"": 0.003621865046623539}",1,0,0.006099187288225259,0.0024773222416017197,1
steady10s1,2,3,model_5,0.2074641889318713,15.080078125,"{""0"": 0.006099187288225259, ""1"": 0.007012866248745143}",0,0,0.006099187288225259,0.0,0
steady10s1,30,0,model_3,4.848924781549298,6.0,"{""0"": 0.0, ""1"": 0.0}",0,1,0.0,0.0,1
steady10s1,30,1,model_5,3.1166913984695723,15.080078125,"{""0"": 0.0, ""1"": 0.0661969253453829}",0,0,0.0,0.0,0
steady10s1,30,2,model_6,2.6171376257501797,14.283203125,"{""0"": 0.04856935005376414, ""1"": 0.0661969253453829}",0,0,0.04856935005376414,0.0,0
steady10s1,30,3,model_4,0.9946003427679371,5.8359375,"{""0"": 0.114936984590107, ""1"": 0.0661969253453829}",1,0,0.114936984590107,0.04874005924472409,1
steady10s1,54,0,model_3,4.870547759433749,6.0,"{""0"": 0.0, ""1"": 0.0}",0,0,0.0,0.0,0
steady10s1,54,1,model_5,2.6558357672839343,15.080078125,"{""0"": 0.0664921195827133, ""1"": 0.0}",1,1,0.0,0.0,1
steady10s1,54,2,model_6,1.9403500650486776,14.283203125,"{""0"": 0.0664921195827133, ""1"": 0.04138754870946201}",1,1,0.04138754870946201,0.0,1
steady10s1,54,3,model_4,0.5448007416669302,5.8359375,"{""0"": 0.0664921195827133, ""1"": 0.09213245423828585}",0,1,0.09213245423828585,0.025640334655572555,0
