arm,cond,start_cycle,end_cycle,n_cycles,start_ts,duration_s,plan_colocated_cycles,plan_colocated_frac,classification,any_blocked,cooldown_cycles
NEW,steady8s1,2,7,6,1787638114.7001376,25.1,0,0.0,STALE_OR_FAILED_ACTUATION,False,5
NEW,steady8s1,14,19,6,1787638175.7791069,25.5,3,0.5,STALE_OR_FAILED_ACTUATION,False,5
NEW,steady8s1,26,37,12,1787638238.1285253,55.3,10,0.833,DIRECT_SELECTION,False,10
NEW,steady8s1,49,88,40,1787638354.3155055,197.3,39,0.975,DIRECT_SELECTION,False,5
NEW,steady10s1,2,7,6,1787639377.2571433,25.1,0,0.0,STALE_OR_FAILED_ACTUATION,False,5
NEW,steady10s1,30,35,6,1787639525.8942978,25.2,4,0.667,DIRECT_SELECTION,False,5
NEW,steady10s1,54,84,31,1787639651.9922347,152.1,31,1.0,DIRECT_SELECTION,False,10
OLD,steady8s1,2,7,6,1787607891.6619616,25.1,2,0.333,STALE_OR_FAILED_ACTUATION,False,5
OLD,steady8s1,14,19,6,1787607953.3474362,25.1,2,0.333,STALE_OR_FAILED_ACTUATION,False,5
OLD,steady8s1,26,38,13,1787608016.0123277,60.4,7,0.538,DIRECT_SELECTION,False,10
OLD,steady8s1,45,50,6,1787608113.3873432,25.4,4,0.667,DIRECT_SELECTION,False,5
OLD,steady8s2,3,8,6,1787609074.1310253,25.1,1,0.167,STALE_OR_FAILED_ACTUATION,False,5
OLD,steady8s2,60,65,6,1787609363.2741523,25.3,2,0.333,STALE_OR_FAILED_ACTUATION,False,5
OLD,steady8s2,86,86,1,1787609494.9513586,0.0,0,0.0,INTERMEDIATE_STATE,False,1
OLD,steady10s1,2,7,6,1787610249.83832,25.0,1,0.167,STALE_OR_FAILED_ACTUATION,False,5
OLD,steady10s1,33,42,10,1787610413.4164019,45.5,5,0.5,STALE_OR_FAILED_ACTUATION,False,5
OLD,steady10s1,55,60,6,1787610526.8125658,25.3,5,0.833,DIRECT_SELECTION,False,5
