arm,cond,timestamp,model,src,dst,classification,plan_id,shape_before,convergence_gap
old,steady8s1,1787607886.452763,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 0))",2+2,1
old,steady8s1,1787607916.7574716,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady8s1,1787607948.3370922,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
old,steady8s1,1787607978.4184785,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady8s1,1787608010.5967417,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
old,steady8s1,1787608041.1625383,model_4,0,1,SWAP_COMPLETION_LEG,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",1+3,1
old,steady8s1,1787608076.3882182,model_5,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",2+2,2
old,steady8s1,1787608106.5621896,model_5,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",1+3,1
old,steady8s1,1787608138.8126953,model_5,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 1), ('model_6', 0))",2+2,1
old,steady8s2,1787609067.5272422,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
old,steady8s2,1787609099.243375,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady8s2,1787609180.712751,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
old,steady8s2,1787609210.8882802,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady8s2,1787609256.1420496,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",2+2,1
old,steady8s2,1787609286.381818,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady8s2,1787609358.2291777,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
old,steady8s2,1787609388.5573213,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady8s2,1787609459.3355734,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
old,steady8s2,1787609489.878533,model_6,1,0,SWAP_COMPLETION_LEG,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",1+3,1
old,steady10s1,1787610244.7481675,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 0))",2+2,1
old,steady10s1,1787610274.8818693,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady10s1,1787610308.5958288,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
old,steady10s1,1787610338.98414,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady10s1,1787610374.19243,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
old,steady10s1,1787610404.4313362,model_6,1,0,SWAP_COMPLETION_LEG,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",1+3,1
old,steady10s1,1787610458.8898191,model_5,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",2+2,2
old,steady10s1,1787610489.173493,model_4,1,0,SWAP_COMPLETION_LEG,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",1+3,1
old,steady10s1,1787610519.482461,model_5,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
old,steady10s1,1787610552.0628297,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady10s2,1787620549.66283,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",2+2,1
old,steady10s2,1787620579.731,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady10s2,1787620765.9338882,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
old,steady10s2,1787620796.604929,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
old,steady10s2,1787620862.716518,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",2+2,1
old,steady10s2,1787620893.1213422,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady8s1,1787638109.3454728,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 0))",2+2,1
new,steady8s1,1787638139.7558072,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady8s1,1787638170.7669048,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
new,steady8s1,1787638201.2663045,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady8s1,1787638233.1065848,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
new,steady8s1,1787638263.2592196,model_4,0,1,SWAP_COMPLETION_LEG,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",1+3,1
new,steady8s1,1787638293.4703722,model_5,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",2+2,2
