workload,rate,seed,proto_goodput,prism_goodput,delta_abs,delta_pct,proto_attain,prism_attain,proto_ttft_ok,prism_ttft_ok,proto_tpot_ok,prism_tpot_ok,prism_migrations
steady,2,5,1.89801,1.88517,-0.01284,-0.68,0.99389,0.989,100.0,100.0,99.389,98.9,0
steady,2,6,1.8332,1.69472,-0.13848,-7.55,0.98986,0.92395,100.0,98.479,98.986,93.663,1
steady,4,5,3.85166,2.35743,-1.49423,-38.79,0.97924,0.60083,99.941,99.17,97.983,60.854,1
steady,4,6,3.81252,3.19837,-0.61415,-16.11,0.98674,0.82881,99.94,98.493,98.734,83.424,2
steady,6,5,5.59255,5.35847,-0.23408,-4.19,0.92954,0.89199,99.806,99.729,93.07,89.47,0
steady,6,6,5.60178,4.83333,-0.76845,-13.72,0.96859,0.83528,99.879,98.188,96.979,84.414,2
steady,8,5,6.68377,4.87957,-1.8042,-26.99,0.85731,0.62657,100.0,98.418,85.731,63.821,2
steady,8,6,6.80716,3.70619,-3.10097,-45.55,0.86957,0.4729,99.911,98.005,87.046,48.035,2
steady,10,5,6.63203,5.30667,-1.32536,-19.98,0.66988,0.53661,99.812,98.352,67.177,54.533,2
steady,10,6,7.28686,5.88042,-1.40644,-19.3,0.7472,0.60519,99.571,95.925,75.054,60.891,2
bursty,2,5,1.89144,1.75621,-0.13523,-7.15,0.99144,0.92665,99.878,97.677,99.267,94.866,5
bursty,2,6,1.84417,1.61299,-0.23118,-12.54,0.9962,0.87833,100.0,98.606,99.62,89.227,6
bursty,4,5,3.82248,3.10622,-0.71626,-18.74,0.97094,0.79181,100.0,93.116,97.094,84.095,9
bursty,4,6,3.69593,2.82072,-0.87521,-23.68,0.9572,0.73116,99.397,97.046,96.082,75.166,8
bursty,6,5,4.97398,4.29254,-0.68144,-13.7,0.82811,0.717,98.955,96.942,83.469,72.938,8
bursty,6,6,4.76163,2.91202,-1.84961,-38.84,0.8228,0.50383,99.275,95.288,82.682,52.799,10
bursty,8,5,5.99983,5.38395,-0.61588,-10.26,0.77104,0.69672,99.134,93.522,77.94,72.985,9
bursty,8,6,6.60418,3.36081,-3.24337,-49.11,0.8383,0.42764,99.821,92.287,83.919,45.92,9
bursty,10,5,6.66601,4.26605,-2.39996,-36.0,0.67459,0.43419,99.27,95.079,67.554,46.315,11
bursty,10,6,5.11349,3.26175,-1.85174,-36.21,0.5218,0.33452,98.165,91.303,52.299,35.549,6
