arm,workload,rate,seed,run_dir,rc,verdict,lifecycle_gate,offered,completed,aborted,alg2_order_violations,goodput_req_s,attainment,throughput_req_s,ttft_slo_ok_pct,tpot_slo_ok_pct,migrations,migration_bytes,ttft_s_p50,ttft_s_p95,ttft_s_p99,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,Llama-3.2-3B_tpot_p95_ms,Qwen2.5-3B_tpot_p95_ms,Llama-3.1-8B_tpot_p95_ms,Qwen2.5-7B_tpot_p95_ms
prototype,steady,2,5,exp/results/4het-final/raw/prototype/steady/rate_2/seed_5,0,PASS,PASS,818,818,0,0,1.89801,0.99389,1.9097,100.0,99.389,0,0,0.062,0.1413,0.2219,24.7098,29.7836,34.0005,27.15,29.5,30.31,28.77
prototype,steady,2,6,exp/results/4het-final/raw/prototype/steady/rate_2/seed_6,0,PASS,PASS,789,789,0,0,1.8332,0.98986,1.852,100.0,98.986,0,0,0.059,0.1265,0.1828,25.4726,30.1006,35.6103,27.02,30.42,31.15,27.98
prototype,steady,4,5,exp/results/4het-final/raw/prototype/steady/rate_4/seed_5,0,PASS,PASS,1686,1686,0,0,3.85166,0.97924,3.9333,99.941,97.983,0,0,0.0655,0.157,0.2764,27.4563,32.9549,39.264,27.27,29.97,33.92,33.53
prototype,steady,4,6,exp/results/4het-final/raw/prototype/steady/rate_4/seed_6,0,PASS,PASS,1659,1659,0,0,3.81252,0.98674,3.8638,99.94,98.734,0,0,0.0635,0.1362,0.2043,28.1534,33.2036,37.54,29.05,33.66,34.1,28.51
prototype,steady,6,5,exp/results/4het-final/raw/prototype/steady/rate_6/seed_5,0,PASS,PASS,2583,2583,0,0,5.59255,0.92954,6.0165,99.806,93.07,0,0,0.071,0.1694,0.2857,29.9957,37.3317,44.6844,30.55,33.01,39.89,36.64
prototype,steady,6,6,exp/results/4het-final/raw/prototype/steady/rate_6/seed_6,0,PASS,PASS,2483,2483,0,0,5.60178,0.96859,5.7835,99.879,96.979,0,0,0.0655,0.1467,0.2245,29.5152,35.3153,41.5086,29.0,36.08,36.19,32.13
prototype,steady,8,5,exp/results/4het-final/raw/prototype/steady/rate_8/seed_5,0,PASS,PASS,3350,3350,0,0,6.68377,0.85731,7.7962,100.0,85.731,0,0,0.0692,0.1672,0.2869,31.1919,40.7882,46.901,28.95,32.64,43.18,39.63
prototype,steady,8,6,exp/results/4het-final/raw/prototype/steady/rate_8/seed_6,0,PASS,PASS,3358,3358,0,0,6.80716,0.86957,7.8282,99.911,87.046,0,0,0.0696,0.1612,0.243,32.8525,40.3509,48.8833,31.84,41.77,40.6,32.22
prototype,steady,10,5,exp/results/4het-final/raw/prototype/steady/rate_10/seed_5,0,PASS,PASS,4247,4247,0,0,6.63203,0.66988,9.9003,99.812,67.177,0,0,0.072,0.1829,0.2957,33.5047,45.3468,55.1445,31.01,34.28,48.18,46.6
prototype,steady,10,6,exp/results/4het-final/raw/prototype/steady/rate_10/seed_6,0,PASS,PASS,4197,4197,0,0,7.28686,0.7472,9.7522,99.571,75.054,0,0,0.0702,0.1589,0.2985,34.2056,42.2629,51.3508,31.35,44.54,41.78,34.92
