family,arm,workload,rate,seed,status,rc,verdict,completed,offered,aborted,alg2_order_violations,staged_return_failures,client_errors,lifecycle_gate,fatal_cuda_nccl,tau,window,cooldown,policy,trace,trace_sha256,trace_sha_matches_manifest,runtime_expected,path,problems
tau,T0,steady,8,3,PASS,0,PASS,3406,3406,0,0,0,0,PASS,0,0.0,60,30,kvpr-global-v4,steady_r8_s3.pkl,492d79a4a2f34cccb78dfb5cc7428efa1b82ce20b56a8f83ca8111ecfaab1790,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T0/steady/rate_8/seed_3,
tau,T0,steady,8,4,PASS,0,PASS,3345,3345,0,0,0,0,PASS,0,0.0,60,30,kvpr-global-v4,steady_r8_s4.pkl,cbfb24e42d0b2fde25151322bec013ffbfe659bb4efb18028bf14c66ad975cef,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T0/steady/rate_8/seed_4,
tau,T0,steady,10,3,PASS,0,PASS,4272,4272,0,0,0,0,PASS,0,0.0,60,30,kvpr-global-v4,steady_r10_s3.pkl,c6939afccd79409cef0d609c3e3817c30743c64e1b7596617cef5740d1223988,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T0/steady/rate_10/seed_3,
tau,T0,steady,10,4,PASS,0,PASS,4324,4324,0,0,0,0,PASS,0,0.0,60,30,kvpr-global-v4,steady_r10_s4.pkl,66fe74fb51c61215045f358db20c59db361fbdb8179df8118c96ab4e6be71376,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T0/steady/rate_10/seed_4,
tau,T1,steady,8,3,PASS,0,PASS,3406,3406,0,0,0,0,PASS,0,0.00035,60,30,kvpr-global-v4,steady_r8_s3.pkl,492d79a4a2f34cccb78dfb5cc7428efa1b82ce20b56a8f83ca8111ecfaab1790,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T1/steady/rate_8/seed_3,
tau,T1,steady,8,4,PASS,0,PASS,3345,3345,0,0,0,0,PASS,0,0.00035,60,30,kvpr-global-v4,steady_r8_s4.pkl,cbfb24e42d0b2fde25151322bec013ffbfe659bb4efb18028bf14c66ad975cef,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T1/steady/rate_8/seed_4,
tau,T1,steady,10,3,PASS,0,PASS,4272,4272,0,0,0,0,PASS,0,0.00035,60,30,kvpr-global-v4,steady_r10_s3.pkl,c6939afccd79409cef0d609c3e3817c30743c64e1b7596617cef5740d1223988,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T1/steady/rate_10/seed_3,
tau,T1,steady,10,4,PASS,0,PASS,4323,4324,0,0,0,1,PASS,0,0.00035,60,30,kvpr-global-v4,steady_r10_s4.pkl,66fe74fb51c61215045f358db20c59db361fbdb8179df8118c96ab4e6be71376,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T1/steady/rate_10/seed_4,
tau,T2,steady,8,3,PASS,0,PASS,3406,3406,0,0,0,0,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,steady_r8_s3.pkl,492d79a4a2f34cccb78dfb5cc7428efa1b82ce20b56a8f83ca8111ecfaab1790,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T2/steady/rate_8/seed_3,
tau,T2,steady,8,4,PASS,0,PASS,3345,3345,0,0,0,0,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,steady_r8_s4.pkl,cbfb24e42d0b2fde25151322bec013ffbfe659bb4efb18028bf14c66ad975cef,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T2/steady/rate_8/seed_4,
