estimator,workload,rate,seed,cycles_total,replay_pct,rank1_top_model,rank1_top_pct,kvpr_optimal_LL_pct,plan_LL_pct,residency_LL_pct,LL_duration_pct_of_run,sep_penalty_p50,qwen7b_tpot_p50_LLms,qwen7b_tpot_p95_LLms,qwen7b_tpot_p99_LLms,goodput_req_s,attainment,throughput_req_s,migrations
NEW,steady,10,1,84,96.4,L3.2-3B,86.4,43.2,69.1,51.2,51.2,0.0,54.2,137.6,285.8,3.8195,0.3999,9.55,10
NEW,steady,10,2,86,100.0,L3.1-8B,94.2,0.0,0.0,0.0,0.0,0.0,,,,5.3139,0.5458,9.7312,4
NEW,steady,8,1,95,93.7,L3.2-3B,88.8,64.0,80.9,67.4,67.4,0.06894,64.1,467.2,781.3,3.1536,0.4489,7.0259,9
NEW,steady,8,2,86,100.0,L3.1-8B,75.6,1.2,4.7,0.0,0.0,0.0,,,,5.4969,0.7142,7.697,6
OLD,bursty,10,1,62,77.4,L3.1-8B,50.0,14.6,10.4,17.7,17.7,0.0,38.4,72.5,112.1,5.8287,0.6062,9.6154,9
OLD,bursty,10,2,39,87.2,L3.2-3B,55.9,50.0,50.0,41.0,41.0,0.07453,57.6,490.9,840.2,6.6429,0.6819,9.7395,7
OLD,bursty,2,1,62,64.5,Q2.5-7B,40.0,32.5,30.0,45.2,45.2,0.0,30.6,34.6,45.7,1.8943,0.9134,2.0739,9
OLD,bursty,2,2,36,91.7,L3.2-3B,60.6,51.5,57.6,41.7,41.7,0.0147,16.4,29.0,34.9,1.8256,0.9324,1.958,9
OLD,bursty,4,1,64,81.2,L3.1-8B,46.2,13.5,13.5,31.2,31.2,0.0,34.5,49.1,59.7,3.2918,0.8209,4.01,9
OLD,bursty,4,2,41,92.7,L3.2-3B,52.6,55.3,55.3,51.2,51.2,0.04035,18.1,49.7,56.1,3.2811,0.8936,3.6719,8
OLD,bursty,6,1,47,91.5,Q2.5-7B,44.2,14.0,11.6,14.9,14.9,0.0,18.8,32.1,32.2,4.0218,0.7132,5.6388,8
OLD,bursty,6,2,36,91.7,L3.2-3B,51.5,45.5,54.5,16.7,16.7,0.0,21.6,53.2,191.8,4.994,0.847,5.8938,8
OLD,bursty,8,1,58,89.7,L3.1-8B,48.1,9.6,9.6,15.5,15.5,0.0,38.1,58.7,74.2,5.0752,0.6457,7.8552,11
OLD,bursty,8,2,35,94.3,L3.2-3B,57.6,48.5,45.5,25.7,25.7,0.0,58.9,400.5,628.7,5.9873,0.7702,7.7692,7
OLD,steady,10,1,84,70.2,L3.2-3B,69.5,32.2,55.9,26.2,26.2,0.0,58.1,199.8,366.7,4.2756,0.4436,9.6365,10
OLD,steady,10,2,86,100.0,L3.1-8B,86.0,1.2,3.5,0.0,0.0,0.0,,,,4.6705,0.4807,9.7151,6
OLD,steady,2,1,85,74.1,L3.2-3B,57.1,46.0,52.4,32.9,32.9,0.0,32.0,46.7,50.8,1.3253,0.6367,2.0816,9
OLD,steady,2,2,85,96.5,L3.1-8B,63.4,14.6,19.5,21.2,21.2,0.0,30.6,45.7,51.7,1.64,0.843,1.9455,13
OLD,steady,4,1,87,94.3,L3.2-3B,64.6,36.6,50.0,44.8,44.8,0.0,38.6,65.6,90.6,2.4272,0.6073,3.9964,13
OLD,steady,4,2,85,91.8,L3.1-8B,76.9,11.5,17.9,14.1,14.1,0.0,38.3,48.0,51.3,2.5841,0.703,3.6759,14
OLD,steady,6,1,86,95.3,L3.2-3B,68.3,29.3,56.1,64.0,64.0,0.0,43.8,62.0,68.9,2.8661,0.4779,5.9969,14
OLD,steady,6,2,85,96.5,L3.1-8B,76.8,6.1,13.4,7.1,7.1,0.0,49.4,57.0,76.2,3.9888,0.6786,5.876,10
OLD,steady,8,1,85,57.6,L3.2-3B,77.6,38.8,67.3,36.5,36.5,0.0,47.0,88.6,157.1,3.3349,0.4272,7.806,9
OLD,steady,8,2,86,93.0,L3.1-8B,68.8,8.8,13.8,15.1,15.1,0.0,49.2,75.8,134.2,4.6196,0.6021,7.6677,10
