workload,rate,seed,snapshots,dominant_shape,large_colocated_pct,dominant_composition,dominant_composition_pct,migrations,goodput,attainment
bursty,2,1,47,2+2,61.7,3+4 | 5+6,46.8,0,1.9453,0.928
bursty,2,2,30,2+2,46.7,3+6 | 4+5,46.7,0,1.884,0.9577
bursty,4,1,45,2+2,80.0,3+4 | 5+6,57.8,0,3.3516,0.8261
bursty,4,2,28,2+2,53.6,3+4 | 5+6,35.7,0,3.1164,0.8432
bursty,6,1,48,2+2,70.8,3+4 | 5+6,50.0,0,4.2433,0.7047
bursty,6,2,29,2+2,10.3,3+6 | 4+5,82.8,0,5.1185,0.8708
bursty,8,1,51,2+2,47.1,3+4 | 5+6,31.4,0,4.7221,0.5998
bursty,8,2,24,2+2,4.2,3+6 | 4+5,79.2,0,6.227,0.7997
bursty,10,1,41,2+2,26.8,3+6 | 4+5,48.8,0,6.1806,0.6422
bursty,10,2,28,2+2,42.9,3+6 | 4+5,32.1,0,6.9097,0.708
steady,2,1,61,2+2,0.0,3+6 | 4+5,100.0,0,2.0757,0.9865
steady,2,2,72,2+2,0.0,3+6 | 4+5,100.0,0,1.9197,0.9952
steady,4,1,66,2+2,0.0,3+6 | 4+5,100.0,0,3.9712,0.9811
steady,4,2,58,2+2,0.0,3+6 | 4+5,100.0,0,3.6007,0.9802
steady,6,1,66,2+2,0.0,3+6 | 4+5,100.0,0,5.7068,0.9478
steady,6,2,61,2+2,0.0,3+6 | 4+5,100.0,0,5.5006,0.9334
steady,8,1,67,2+2,0.0,3+6 | 4+5,100.0,0,6.7945,0.8642
steady,8,2,58,2+2,0.0,3+6 | 4+5,100.0,0,6.8329,0.8831
steady,10,1,56,2+2,0.0,3+6 | 4+5,100.0,0,6.6539,0.6915
steady,10,2,49,2+2,0.0,3+6 | 4+5,100.0,0,7.2295,0.7429
