arm,workload,rate,seed,run_dir,rc,verdict,lifecycle_gate,offered,completed,aborted,alg2_order_violations,goodput_req_s,attainment,throughput_req_s,ttft_slo_ok_pct,tpot_slo_ok_pct,migrations,migration_bytes,ttft_s_p50,ttft_s_p95,ttft_s_p99,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,Llama-3.2-1B_tpot_p95_ms,Qwen2.5-1.5B_tpot_p95_ms,Llama-3.2-3B_tpot_p95_ms,Qwen2.5-3B_tpot_p95_ms,Llama-3.1-8B_tpot_p95_ms,Qwen2.5-7B_tpot_p95_ms
prototype,bursty,2,7,exp/results/many-model-final/raw/prototype/bursty/rate_2/seed_7,0,PASS,PASS,1015,1015,0,0,1.36882,0.73399,1.8649,98.818,73.695,0,0,0.0644,0.1555,0.2745,24.7672,38.3354,45.4828,27.05,33.54,38.09,36.39,40.61,41.7
prototype,bursty,2,8,exp/results/many-model-final/raw/prototype/bursty/rate_2/seed_8,0,PASS,PASS,1050,1050,0,0,1.6047,0.83333,1.9256,98.667,83.81,0,0,0.0588,0.1588,0.2526,24.5121,35.5309,40.4444,30.64,29.96,30.37,31.74,37.92,36.5
prototype,bursty,4,7,exp/results/many-model-final/raw/prototype/bursty/rate_4/seed_7,0,PASS,PASS,2131,2131,0,0,2.30131,0.59221,3.886,98.264,59.737,0,0,0.0662,0.1615,0.2562,28.2081,44.4837,51.4987,30.8,38.71,35.48,33.97,50.45,47.88
prototype,bursty,4,8,exp/results/many-model-final/raw/prototype/bursty/rate_4/seed_8,0,PASS,PASS,2191,2191,0,0,2.40688,0.59973,4.0133,98.357,60.338,0,0,0.0656,0.1636,0.2628,28.2119,43.9988,51.473,30.68,34.88,34.12,39.01,48.86,48.68
prototype,bursty,6,7,exp/results/many-model-final/raw/prototype/bursty/rate_6/seed_7,0,PASS,PASS,3196,3196,0,0,2.28966,0.3933,5.8216,98.623,39.581,0,0,0.0749,0.1772,0.2726,33.7795,55.995,69.6147,26.91,43.66,54.75,52.72,49.69,67.05
prototype,bursty,6,8,exp/results/many-model-final/raw/prototype/bursty/rate_6/seed_8,0,PASS,PASS,3239,3239,0,0,2.42439,0.41216,5.8821,96.635,41.772,0,0,0.0752,0.1777,0.264,33.5162,58.9137,70.3354,37.46,49.01,51.76,36.4,46.2,71.05
prototype,bursty,8,7,exp/results/many-model-final/raw/prototype/bursty/rate_8/seed_7,0,PASS,PASS,4274,4274,0,0,2.41578,0.30884,7.822,97.824,31.329,0,0,0.0733,0.1803,0.3326,33.8197,61.5091,74.4646,35.46,41.0,44.71,45.49,73.8,65.43
prototype,bursty,8,8,exp/results/many-model-final/raw/prototype/bursty/rate_8/seed_8,0,PASS,PASS,4374,4374,0,0,1.97458,0.24943,7.9164,97.942,25.034,0,0,0.0809,0.1991,0.4076,39.4985,81.0105,95.6864,28.95,54.72,62.65,64.11,50.85,96.74
prototype,bursty,10,7,exp/results/many-model-final/raw/prototype/bursty/rate_10/seed_7,0,PASS,PASS,5280,5280,0,0,2.54294,0.26515,9.5905,96.004,26.705,0,0,0.083,0.2172,0.4434,39.1992,84.2161,106.7743,45.47,56.28,55.32,51.48,67.01,107.63
prototype,bursty,10,8,exp/results/many-model-final/raw/prototype/bursty/rate_10/seed_8,0,PASS,PASS,5335,5335,0,0,2.96572,0.30459,9.7367,97.207,30.759,0,0,0.077,0.1957,0.3439,37.0479,70.1005,91.2698,42.31,49.6,64.45,41.65,60.19,91.25
