arm,cond,cycle,timestamp,rate_window_s,current_shape,plan_shape,plan_id,plan_changed,convergence_gap,cooldown_active,decision,reason,kvpr0,kvpr1,peak_kvpr
cooldown30,steady8s1,1,1787607886.452763,30.0,2+2,1+3,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 0))",False,1,False,MIGRATE,literal line-8 absolute delta exceeds tau,0.000417954635885353,0.00149757812289336,0.00149757812289336
cooldown30,steady8s1,2,1787607891.6619616,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.016711471065455532,0.005796734219332193,0.016711471065455532
cooldown30,steady8s1,3,1787607896.6653106,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.05581612939701999,0.02646786116634258,0.05581612939701999
cooldown30,steady8s1,4,1787607901.671678,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.065543487837252,0.01536880788307862,0.065543487837252
cooldown30,steady8s1,5,1787607906.6784513,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.102496282008909,0.01917003669310741,0.102496282008909
cooldown30,steady8s1,6,1787607911.7220292,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.12209124014769539,0.04365235693635272,0.12209124014769539
cooldown30,steady8s1,7,1787607916.7574716,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,False,MIGRATE,literal line-8 absolute delta exceeds tau,0.13361304344310304,0.045356279347601634,0.13361304344310304
cooldown30,steady8s1,8,1787607923.2666855,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,2,True,,migration cooldown active,0.05687529324651243,0.09326589374820603,0.09326589374820603
cooldown30,steady8s1,9,1787607928.2929373,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,2,True,,migration cooldown active,0.05440390018735159,0.07812024223155119,0.07812024223155119
cooldown30,steady8s1,10,1787607933.3029346,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,2,True,,migration cooldown active,0.054371456653343336,0.09946354509501573,0.09946354509501573
