arm,t_rel,model,src,dst,shape_before,gap,peak_kvpr,plan_shape,kvpr0,kvpr1
cooldown30,5.0,model_6,1,0,2+2,2,0.029912704336251237,2+2,0.009264309921376125,0.029912704336251237
cooldown30,36.7,model_6,0,1,1+3,1,0.1370868247845785,2+2,0.1370868247845785,0.029331040333491046
cooldown30,118.2,model_4,0,1,2+2,2,0.10534465491683834,2+2,0.06924683359974577,0.10534465491683834
cooldown30,148.4,model_4,1,0,1+3,1,0.09368956617883142,2+2,0.061548669585367734,0.09368956617883142
cooldown30,193.6,model_4,0,1,2+2,1,0.1043828773717763,1+3,0.1043828773717763,0.07834540427570394
cooldown30,223.9,model_4,1,0,1+3,1,0.09483671027511718,2+2,0.0536315805651828,0.09483671027511718
cooldown30,295.7,model_6,1,0,2+2,2,0.09361180691004364,2+2,0.04798302859294337,0.09361180691004364
cooldown30,326.0,model_6,0,1,1+3,1,0.14811252973441308,2+2,0.14811252973441308,0.05044280998188027
cooldown30,396.8,model_4,0,1,2+2,2,0.08334150172727706,2+2,0.05242746732981764,0.08334150172727706
cooldown30,427.4,model_6,1,0,1+3,1,0.07723895739930874,2+2,0.033519482673038004,0.07723895739930874
cooldown0,5.0,model_6,1,0,2+2,2,0.027678118508014847,2+2,0.009578169853303672,0.027678118508014847
cooldown0,11.3,model_6,0,1,1+3,1,0.07447246900345987,2+2,0.07447246900345987,0.018815401180601845
cooldown0,17.4,model_4,0,1,2+2,1,0.04585776462604903,1+3,0.04585776462604903,0.03317865504565526
cooldown0,77.8,model_4,1,0,1+3,1,0.0816585459183868,2+2,0.04885432550293841,0.0816585459183868
cooldown0,87.9,model_4,0,1,2+2,2,0.08698005783692797,2+2,0.08698005783692797,0.06885598117180411
cooldown0,92.9,model_4,1,0,1+3,1,0.07825993833986092,2+2,0.06210606993774451,0.07825993833986092
cooldown0,103.0,model_4,0,1,2+2,1,0.08563880418628224,1+3,0.08563880418628224,0.05748078460241889
cooldown0,113.0,model_4,1,0,1+3,1,0.0730056860634301,2+2,0.053474529157175744,0.0730056860634301
cooldown0,123.0,model_4,0,1,2+2,1,0.10688676457959995,1+3,0.10688676457959995,0.06157895112420833
cooldown0,223.7,model_4,1,0,1+3,1,0.07335119681280063,2+2,0.05245914566778465,0.07335119681280063
cooldown0,238.9,model_4,0,1,2+2,2,0.11647240448817156,2+2,0.11647240448817156,0.06211160459666911
cooldown0,245.7,model_6,1,0,1+3,1,0.13387577572932463,2+2,0.08436256721407528,0.13387577572932463
cooldown0,250.7,model_6,0,1,2+2,1,0.1063434366128526,1+3,0.1063434366128526,0.04677658256749275
cooldown0,258.0,model_4,1,0,1+3,1,0.10044100026646846,2+2,0.06755693203991638,0.10044100026646846
cooldown0,264.9,model_6,1,0,2+2,2,0.13601417454207632,2+2,0.07591218120519255,0.13601417454207632
cooldown0,294.9,model_4,0,1,1+3,1,0.10238111359325423,2+2,0.10238111359325423,0.04688398727922135
cooldown0,300.0,model_6,0,1,2+2,2,0.08551872863822957,2+2,0.08551872863822957,0.05665534338881717
cooldown0,326.5,model_4,1,0,1+3,1,0.08361294797042114,2+2,0.07069546878518862,0.08361294797042114
cooldown0,387.3,model_3,1,0,2+2,1,0.1896508001128312,1+3,0.07225911579547943,0.1896508001128312
cooldown0,404.1,model_4,0,1,1+3,1,0.15294407658539558,2+2,0.15294407658539558,0.10881916170780874
cooldown0,419.3,model_3,0,1,2+2,2,0.13563958677874308,2+2,0.13563958677874308,0.03753478218785947
cooldown0,425.4,model_4,1,0,1+3,1,0.08706873283543244,2+2,0.05043902036936052,0.08706873283543244
cooldown0,430.4,model_4,0,1,2+2,2,0.05960339245790838,2+2,0.03663296536110958,0.05960339245790838
