arm,cond,start,end,duration_s,end_cause,memory_blocked_cycles
cooldown30,steady8s1,1787607891.6619616,1787607923.2666855,31.6,superseded_by_new_plan,0
cooldown30,steady8s1,1787607953.3474362,1787607985.4653628,32.12,superseded_by_new_plan,0
cooldown30,steady8s1,1787608016.0123277,1787608046.183672,30.17,swap_completed,0
cooldown30,steady8s1,1787608081.4134288,1787608113.3873432,31.97,swap_completed,4
cooldown30,steady8s2,1787609074.1310253,1787609105.4113595,31.28,swap_completed,0
cooldown30,steady8s2,1787609185.7411108,1787609215.916557,30.18,swap_completed,0
cooldown30,steady8s2,1787609261.1703248,1787609292.3753548,31.21,superseded_by_new_plan,0
cooldown30,steady8s2,1787609363.2741523,1787609393.5975766,30.32,superseded_by_new_plan,0
cooldown30,steady8s2,1787609464.6163626,1787609494.9513586,30.33,superseded_by_new_plan,0
cooldown30,steady10s1,1787610249.83832,1787610283.476051,33.64,superseded_by_new_plan,0
cooldown30,steady10s1,1787610313.6133945,1787610344.0028448,30.39,swap_completed,0
cooldown30,steady10s1,1787610379.2153904,1787610413.4164019,34.2,swap_completed,0
cooldown30,steady10s1,1787610463.9528174,1787610494.2139835,30.26,swap_completed,3
cooldown30,steady10s1,1787610526.8125658,1787610557.110039,30.3,superseded_by_new_plan,0
cooldown30,steady10s2,1787620554.6668968,1787620584.7428157,30.08,superseded_by_new_plan,0
cooldown30,steady10s2,1787620770.971077,1787620801.646879,30.68,swap_completed,0
cooldown30,steady10s2,1787620867.7952614,1787620898.178406,30.38,superseded_by_new_plan,0
cooldown0,steady8s1,1787632128.2468565,1787632133.3504903,5.1,swap_completed,0
cooldown0,steady8s1,1787632139.0421576,1787632149.072073,10.03,superseded_by_new_plan,0
cooldown0,steady8s1,1787632159.1302824,1787632164.168588,5.04,swap_completed,0
cooldown0,steady8s1,1787632209.4036674,1787632214.4249015,5.02,swap_completed,0
cooldown0,steady8s1,1787632219.4699776,1787632224.4874408,5.02,swap_completed,0
cooldown0,steady8s1,1787632229.5050235,1787632234.8519661,5.35,swap_completed,0
cooldown0,steady8s2,1787632737.4785883,1787632743.5725222,6.09,swap_completed,0
cooldown0,steady8s2,1787632748.577047,1787632809.0304725,60.45,superseded_by_new_plan,0
cooldown0,steady8s2,1787632819.0696194,1787632824.083206,5.01,swap_completed,0
cooldown0,steady8s2,1787632834.1355011,1787632844.1696346,10.03,superseded_by_new_plan,0
cooldown0,steady8s2,1787632854.2488697,1787632954.9426544,100.69,superseded_by_new_plan,0
cooldown0,steady8s2,1787632971.8328836,1787632976.8651326,5.03,swap_completed,0
cooldown0,steady8s2,1787632984.1591175,1787632991.0983396,6.94,swap_completed,0
cooldown0,steady8s2,1787633000.8465967,1787633026.1206307,25.27,superseded_by_new_plan,0
cooldown0,steady8s2,1787633047.56879,1787633057.7163904,10.15,superseded_by_new_plan,0
cooldown0,steady8s2,1787633120.1398292,1787633135.3112912,15.17,superseded_by_new_plan,0
cooldown0,steady8s2,1787633151.5602274,1787633156.6105967,5.05,swap_completed,0
cooldown0,steady10s1,1787633345.0319414,1787633350.0950606,5.06,swap_completed,0
cooldown0,steady10s1,1787633380.1544473,1787633385.1643088,5.01,swap_completed,0
cooldown0,steady10s1,1787633390.174727,1787633396.2548716,6.08,swap_completed,0
cooldown0,steady10s1,1787633413.8915868,1787633418.968172,5.08,swap_completed,0
cooldown0,steady10s1,1787633424.0193112,1787633430.2564702,6.24,swap_completed,0
cooldown0,steady10s1,1787633445.5480192,1787633450.577971,5.03,swap_completed,0
cooldown0,steady10s1,1787633455.600087,1787633460.622473,5.02,swap_completed,0
cooldown0,steady10s1,1787633465.6464837,1787633480.7342482,15.09,superseded_by_new_plan,2
cooldown0,steady10s1,1787633490.78802,1787633495.8189223,5.03,swap_completed,0
cooldown0,steady10s1,1787633505.8780951,1787633510.9073884,5.03,swap_completed,0
cooldown0,steady10s1,1787633515.9381003,1787633520.969762,5.03,swap_completed,0
cooldown0,steady10s1,1787633526.0142744,1787633551.2390747,25.22,superseded_by_new_plan,4
cooldown0,steady10s1,1787633556.2739336,1787633561.311181,5.04,swap_completed,0
cooldown0,steady10s1,1787633566.34829,1787633571.7665467,5.42,swap_completed,0
cooldown0,steady10s2,1787633949.0718372,1787633969.1684227,20.1,superseded_by_new_plan,0
cooldown0,steady10s2,1787633999.3244045,1787634009.3545554,10.03,superseded_by_new_plan,0
cooldown0,steady10s2,1787634019.404268,1787634024.4406679,5.04,swap_completed,0
cooldown0,steady10s2,1787634150.42101,1787634160.5137763,10.09,superseded_by_new_plan,0
cooldown0,steady10s2,1787634165.5513537,1787634170.5914207,5.04,swap_completed,0
cooldown0,steady10s2,1787634185.744792,1787634195.8676097,10.12,superseded_by_new_plan,0
cooldown0,steady10s2,1787634261.6026118,1787634276.780554,15.18,superseded_by_new_plan,0
cooldown0,steady10s2,1787634302.1444848,1787634317.3486161,15.2,superseded_by_new_plan,0
cooldown0,steady10s2,1787634342.6991694,1787634347.766691,5.07,swap_completed,0
