arm,cond,model,first_migration_t,reversal_migration_t,interval_s,d_input_rate,d_decode_tput,exo_only_flips,endo_only_flips,attribution
cooldown30,steady8s1,model_6,1787607886.452763,1787607916.7574716,30.3,833.2,9.82,True,True,MIXED
cooldown30,steady8s1,model_6,1787607916.7574716,1787607948.3370922,31.58,-65.27,309.46,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown30,steady8s1,model_6,1787607948.3370922,1787607978.4184785,30.08,115.97,-383.62,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown30,steady8s1,model_6,1787607978.4184785,1787608010.5967417,32.18,63.07,787.33,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown30,steady8s1,model_5,1787608076.3882182,1787608106.5621896,30.17,40.33,-68.94,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown30,steady8s1,model_5,1787608106.5621896,1787608138.8126953,32.25,,,,,UNKNOWN
cooldown30,steady8s2,model_6,1787609067.5272422,1787609099.243375,31.72,,,,,UNKNOWN
cooldown30,steady8s2,model_6,1787609099.243375,1787609358.2291777,258.99,,,,,UNKNOWN
cooldown30,steady8s2,model_4,1787609180.712751,1787609210.8882802,30.18,105.4,70.92,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown30,steady8s2,model_4,1787609210.8882802,1787609256.1420496,45.25,-106.17,157.81,True,False,EXOGENOUS_LOAD_CHANGE
cooldown30,steady8s2,model_4,1787609256.1420496,1787609286.381818,30.24,201.9,-182.81,True,False,EXOGENOUS_LOAD_CHANGE
cooldown30,steady8s2,model_4,1787609286.381818,1787609459.3355734,172.95,-254.33,-22.95,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown30,steady8s2,model_6,1787609358.2291777,1787609388.5573213,30.33,,,,,UNKNOWN
cooldown30,steady8s2,model_6,1787609388.5573213,1787609489.878533,101.32,,,,,UNKNOWN
cooldown30,steady10s1,model_6,1787610244.7481675,1787610274.8818693,30.13,,,,,UNKNOWN
cooldown30,steady10s1,model_6,1787610274.8818693,1787610404.4313362,129.55,,,,,UNKNOWN
cooldown30,steady10s1,model_4,1787610308.5958288,1787610338.98414,30.39,-21.57,-71.66,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown30,steady10s1,model_4,1787610338.98414,1787610374.19243,35.21,-248.1,53.56,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown30,steady10s1,model_4,1787610374.19243,1787610489.173493,114.98,39.37,75.58,True,False,EXOGENOUS_LOAD_CHANGE
cooldown30,steady10s1,model_6,1787610404.4313362,1787610552.0628297,147.63,-189.77,-129.08,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown30,steady10s1,model_5,1787610458.8898191,1787610519.482461,60.59,10.87,142.9,True,False,EXOGENOUS_LOAD_CHANGE
cooldown30,steady10s2,model_4,1787620549.66283,1787620579.731,30.07,267.1,256.72,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown30,steady10s2,model_4,1787620579.731,1787620765.9338882,186.2,-41.03,-50.88,False,False,NEITHER_ALONE
cooldown30,steady10s2,model_4,1787620765.9338882,1787620796.604929,30.67,237.7,-57.94,True,True,MIXED
cooldown30,steady10s2,model_4,1787620796.604929,1787620862.716518,66.11,-141.0,44.64,True,False,EXOGENOUS_LOAD_CHANGE
cooldown30,steady10s2,model_4,1787620862.716518,1787620893.1213422,30.4,-3.17,-205.68,True,False,EXOGENOUS_LOAD_CHANGE
cooldown0,steady8s1,model_6,1787632122.9430425,1787632133.3504903,10.41,252.27,271.23,True,False,EXOGENOUS_LOAD_CHANGE
cooldown0,steady8s1,model_4,1787632128.2468565,1787632144.06553,15.82,323.73,53.89,True,True,MIXED
cooldown0,steady8s1,model_6,1787632133.3504903,1787632159.1302824,25.78,598.03,-388.3,True,True,MIXED
cooldown0,steady8s1,model_4,1787632144.06553,1787632154.104499,10.04,52.73,166.72,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s1,model_4,1787632154.104499,1787632209.4036674,55.3,-117.6,-114.83,True,True,MIXED
cooldown0,steady8s1,model_6,1787632159.1302824,1787632229.5050235,70.37,-11.83,156.03,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s1,model_4,1787632209.4036674,1787632219.4699776,10.07,-15.43,62.95,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s1,model_4,1787632219.4699776,1787632224.4874408,5.02,25.03,-286.47,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s2,model_6,1787632731.1731691,1787632737.4785883,6.31,,,,,UNKNOWN
cooldown0,steady8s2,model_6,1787632737.4785883,1787632971.8328836,234.35,,,,,UNKNOWN
cooldown0,steady8s2,model_4,1787632743.5725222,1787632804.0148556,60.44,314.9,-65.92,True,False,EXOGENOUS_LOAD_CHANGE
cooldown0,steady8s2,model_4,1787632804.0148556,1787632814.0466692,10.03,-24.87,1584.24,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s2,model_4,1787632814.0466692,1787632819.0696194,5.02,-97.33,-1584.24,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s2,model_4,1787632819.0696194,1787632829.120266,10.05,-35.47,1240.22,True,True,MIXED
cooldown0,steady8s2,model_4,1787632829.120266,1787632839.1517444,10.03,53.77,-1266.38,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s2,model_4,1787632839.1517444,1787632849.190263,10.04,74.7,1295.61,True,True,MIXED
cooldown0,steady8s2,model_4,1787632849.190263,1787632949.8698468,100.68,89.63,-1272.05,False,False,NEITHER_ALONE
cooldown0,steady8s2,model_4,1787632949.8698468,1787632965.0251708,15.16,-54.5,3233.19,False,False,NEITHER_ALONE
cooldown0,steady8s2,model_4,1787632965.0251708,1787632984.1591175,19.13,-272.7,-2453.53,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s2,model_6,1787632971.8328836,1787632976.8651326,5.03,53.8,66.94,True,True,MIXED
cooldown0,steady8s2,model_6,1787632976.8651326,1787632991.0983396,14.23,34.23,75.88,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s2,model_4,1787632984.1591175,1787633021.0558271,36.9,62.37,-596.83,False,False,NEITHER_ALONE
cooldown0,steady8s2,model_6,1787632991.0983396,1787633026.1206307,35.02,-16.83,-142.83,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s2,model_4,1787633021.0558271,1787633052.663158,31.61,-69.53,-102.0,True,False,EXOGENOUS_LOAD_CHANGE
cooldown0,steady8s2,model_4,1787633052.663158,1787633130.2604327,77.6,18.8,35.65,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s2,model_3,1787633113.415759,1787633145.4190993,32.0,176.47,-21.92,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady8s2,model_4,1787633130.2604327,1787633151.5602274,21.3,-3.37,-86.45,False,False,NEITHER_ALONE
cooldown0,steady8s2,model_4,1787633151.5602274,1787633156.6105967,5.05,-9.03,-27.43,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady10s1,model_3,1787633340.027755,1787633345.0319414,5.0,67.2,-17.53,True,False,EXOGENOUS_LOAD_CHANGE
cooldown0,steady10s1,model_3,1787633345.0319414,1787633475.7053547,130.67,826.17,67.46,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady10s1,model_4,1787633375.1461353,1787633380.1544473,5.01,104.17,-130.03,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady10s1,model_4,1787633380.1544473,1787633385.1643088,5.01,1.07,-11.12,False,False,NEITHER_ALONE
cooldown0,steady10s1,model_4,1787633385.1643088,1787633413.8915868,28.73,-40.4,461.48,True,True,MIXED
cooldown0,steady10s1,model_6,1787633390.174727,1787633406.33528,16.16,90.47,911.93,True,False,EXOGENOUS_LOAD_CHANGE
cooldown0,steady10s1,model_6,1787633406.33528,1787633424.0193112,17.68,-373.9,-18.88,False,True,ENDOGENOUS_SERVICE_FEEDBACK
cooldown0,steady10s1,model_4,1787633413.8915868,1787633418.968172,5.08,-116.07,-141.84,False,False,NEITHER_ALONE
