variant,arm,cond,model,t2,attribution
primary,cooldown30,steady8s1,model_6,1787607916.7574716,MIXED
primary,cooldown30,steady8s1,model_5,1787608106.5621896,ENDOGENOUS_SERVICE_FEEDBACK
primary,cooldown0,steady8s1,model_4,1787632144.06553,MIXED
primary,cooldown0,steady8s1,model_4,1787632224.4874408,ENDOGENOUS_SERVICE_FEEDBACK
primary,cooldown0,steady8s2,model_6,1787632971.8328836,UNKNOWN
primary,cooldown0,steady8s2,model_4,1787632814.0466692,ENDOGENOUS_SERVICE_FEEDBACK
primary,cooldown0,steady8s2,model_4,1787632819.0696194,ENDOGENOUS_SERVICE_FEEDBACK
primary,cooldown0,steady8s2,model_4,1787632829.120266,MIXED
primary,cooldown0,steady8s2,model_4,1787632965.0251708,NEITHER_ALONE
primary,cooldown0,steady8s2,model_3,1787633145.4190993,ENDOGENOUS_SERVICE_FEEDBACK
primary,cooldown0,steady8s2,model_4,1787633151.5602274,NEITHER_ALONE
primary,cooldown0,steady8s2,model_4,1787633156.6105967,ENDOGENOUS_SERVICE_FEEDBACK
primary,cooldown0,steady10s1,model_4,1787633485.762146,MIXED
primary,cooldown0,steady10s1,model_4,1787633561.311181,ENDOGENOUS_SERVICE_FEEDBACK
persistence,cooldown30,steady8s1,model_6,1787607916.7574716,MIXED
persistence,cooldown30,steady8s1,model_5,1787608106.5621896,ENDOGENOUS_SERVICE_FEEDBACK
persistence,cooldown0,steady8s1,model_4,1787632144.06553,MIXED
persistence,cooldown0,steady8s1,model_6,1787632229.5050235,ENDOGENOUS_SERVICE_FEEDBACK
persistence,cooldown0,steady8s1,model_4,1787632224.4874408,ENDOGENOUS_SERVICE_FEEDBACK
persistence,cooldown0,steady8s2,model_6,1787632971.8328836,UNKNOWN
persistence,cooldown0,steady8s2,model_4,1787632814.0466692,ENDOGENOUS_SERVICE_FEEDBACK
persistence,cooldown0,steady8s2,model_4,1787632819.0696194,ENDOGENOUS_SERVICE_FEEDBACK
persistence,cooldown0,steady8s2,model_4,1787632829.120266,MIXED
persistence,cooldown0,steady8s2,model_4,1787632965.0251708,NEITHER_ALONE
persistence,cooldown0,steady8s2,model_4,1787633130.2604327,ENDOGENOUS_SERVICE_FEEDBACK
persistence,cooldown0,steady8s2,model_3,1787633145.4190993,ENDOGENOUS_SERVICE_FEEDBACK
persistence,cooldown0,steady8s2,model_4,1787633151.5602274,NEITHER_ALONE
persistence,cooldown0,steady8s2,model_4,1787633156.6105967,ENDOGENOUS_SERVICE_FEEDBACK
persistence,cooldown0,steady10s1,model_4,1787633485.762146,MIXED
persistence,cooldown0,steady10s1,model_4,1787633561.311181,ENDOGENOUS_SERVICE_FEEDBACK
drop_only,cooldown0,steady8s2,model_4,1787632819.0696194,ENDOGENOUS_SERVICE_FEEDBACK
drop_only,cooldown0,steady8s2,model_3,1787633145.4190993,ENDOGENOUS_SERVICE_FEEDBACK
drop_only,cooldown0,steady8s2,model_4,1787633151.5602274,NEITHER_ALONE
drop_only,cooldown0,steady8s2,model_4,1787633156.6105967,ENDOGENOUS_SERVICE_FEEDBACK
