arm,attribution,cond,d_decode_tput,d_input_rate,endo_only_flips,exo_only_flips,interval_s,model,note,observed_reproduced,t1,t2
cooldown30,MIXED,steady8s1,9.82,833.2,True,True,30.3,model_6,,True,1787607886.452763,1787607916.7574716
cooldown30,ENDOGENOUS_SERVICE_FEEDBACK,steady8s1,309.46,-65.27,True,False,31.58,model_6,,True,1787607916.7574716,1787607948.3370922
cooldown30,ENDOGENOUS_SERVICE_FEEDBACK,steady8s1,-383.62,115.97,True,False,30.08,model_6,,True,1787607948.3370922,1787607978.4184785
cooldown30,ENDOGENOUS_SERVICE_FEEDBACK,steady8s1,787.33,63.07,True,False,32.18,model_6,,True,1787607978.4184785,1787608010.5967417
cooldown30,ENDOGENOUS_SERVICE_FEEDBACK,steady8s1,-68.94,40.33,True,False,30.17,model_5,,True,1787608076.3882182,1787608106.5621896
cooldown30,UNKNOWN,steady8s1,,,,,32.25,model_5,a decision cycle did not validate,,1787608106.5621896,1787608138.8126953
cooldown30,UNKNOWN,steady8s2,,,,,31.72,model_6,a decision cycle did not validate,,1787609067.5272422,1787609099.243375
cooldown30,UNKNOWN,steady8s2,,,,,258.99,model_6,a decision cycle did not validate,,1787609099.243375,1787609358.2291777
cooldown30,ENDOGENOUS_SERVICE_FEEDBACK,steady8s2,70.92,105.4,True,False,30.18,model_4,,True,1787609180.712751,1787609210.8882802
cooldown30,EXOGENOUS_LOAD_CHANGE,steady8s2,157.81,-106.17,False,True,45.25,model_4,,True,1787609210.8882802,1787609256.1420496
cooldown30,EXOGENOUS_LOAD_CHANGE,steady8s2,-182.81,201.9,False,True,30.24,model_4,,True,1787609256.1420496,1787609286.381818
cooldown30,ENDOGENOUS_SERVICE_FEEDBACK,steady8s2,-22.95,-254.33,True,False,172.95,model_4,,True,1787609286.381818,1787609459.3355734
cooldown30,UNKNOWN,steady8s2,,,,,30.33,model_6,a decision cycle did not validate,,1787609358.2291777,1787609388.5573213
cooldown30,UNKNOWN,steady8s2,,,,,101.32,model_6,a decision cycle did not validate,,1787609388.5573213,1787609489.878533
cooldown30,UNKNOWN,steady10s1,,,,,30.13,model_6,a decision cycle did not validate,,1787610244.7481675,1787610274.8818693
cooldown30,UNKNOWN,steady10s1,,,,,129.55,model_6,a decision cycle did not validate,,1787610274.8818693,1787610404.4313362
cooldown30,ENDOGENOUS_SERVICE_FEEDBACK,steady10s1,-71.66,-21.57,True,False,30.39,model_4,,True,1787610308.5958288,1787610338.98414
cooldown30,ENDOGENOUS_SERVICE_FEEDBACK,steady10s1,53.56,-248.1,True,False,35.21,model_4,,True,1787610338.98414,1787610374.19243
cooldown30,EXOGENOUS_LOAD_CHANGE,steady10s1,75.58,39.37,False,True,114.98,model_4,,True,1787610374.19243,1787610489.173493
cooldown30,ENDOGENOUS_SERVICE_FEEDBACK,steady10s1,-129.08,-189.77,True,False,147.63,model_6,,True,1787610404.4313362,1787610552.0628297
cooldown30,EXOGENOUS_LOAD_CHANGE,steady10s1,142.9,10.87,False,True,60.59,model_5,,True,1787610458.8898191,1787610519.482461
cooldown30,ENDOGENOUS_SERVICE_FEEDBACK,steady10s2,256.72,267.1,True,False,30.07,model_4,,True,1787620549.66283,1787620579.731
cooldown30,NEITHER_ALONE,steady10s2,-50.88,-41.03,False,False,186.2,model_4,,True,1787620579.731,1787620765.9338882
cooldown30,MIXED,steady10s2,-57.94,237.7,True,True,30.67,model_4,,True,1787620765.9338882,1787620796.604929
cooldown30,EXOGENOUS_LOAD_CHANGE,steady10s2,44.64,-141.0,False,True,66.11,model_4,,True,1787620796.604929,1787620862.716518
cooldown30,EXOGENOUS_LOAD_CHANGE,steady10s2,-205.68,-3.17,False,True,30.4,model_4,,True,1787620862.716518,1787620893.1213422
cooldown0,EXOGENOUS_LOAD_CHANGE,steady8s1,271.23,252.27,False,True,10.41,model_6,,True,1787632122.9430425,1787632133.3504903
cooldown0,MIXED,steady8s1,53.89,323.73,True,True,15.82,model_4,,True,1787632128.2468565,1787632144.06553
cooldown0,MIXED,steady8s1,-388.3,598.03,True,True,25.78,model_6,,True,1787632133.3504903,1787632159.1302824
cooldown0,ENDOGENOUS_SERVICE_FEEDBACK,steady8s1,166.72,52.73,True,False,10.04,model_4,,True,1787632144.06553,1787632154.104499
