workload,rate,ttft_scale,tpot_scale,prototype_n,prototype_pass,prototype_goodput_req_s,prototype_attainment,prototype_ttft_only_fail_pct,prototype_tpot_only_fail_pct,prototype_both_fail_pct,prism_n,prism_pass,prism_goodput_req_s,prism_attainment,prism_ttft_only_fail_pct,prism_tpot_only_fail_pct,prism_both_fail_pct,delta_pct_goodput
bursty,2,0.8,1.0,1717,1613,3.8214,0.9394,3.09,2.74,0.23,1717,1578,3.7099,0.919,6.06,1.51,0.52,-2.92
bursty,2,1.0,0.8,1717,1316,3.1178,0.7665,2.27,20.38,0.7,1717,1358,3.1927,0.7909,5.01,14.68,1.22,2.4
bursty,2,1.0,1.0,1717,1618,3.8333,0.9423,2.8,2.8,0.17,1717,1584,3.724,0.9225,5.71,1.51,0.52,-2.85
bursty,2,1.0,1.2,1717,1655,3.9209,0.9639,2.91,0.64,0.06,1717,1596,3.7522,0.9295,6.0,0.82,0.23,-4.3
bursty,2,1.0,1.5,1717,1664,3.9422,0.9691,2.97,0.12,0.0,1717,1604,3.771,0.9342,6.23,0.35,0.0,-4.34
bursty,2,1.0,2.0,1717,1666,3.947,0.9703,2.97,0.0,0.0,1717,1609,3.7828,0.9371,6.23,0.06,0.0,-4.16
bursty,2,1.2,1.0,1717,1618,3.8333,0.9423,2.8,2.8,0.17,1717,1587,3.7311,0.9243,5.53,1.51,0.52,-2.67
bursty,2,1.5,1.0,1717,1619,3.8356,0.9429,2.74,2.8,0.17,1717,1592,3.7428,0.9272,5.24,1.51,0.52,-2.42
bursty,2,2.0,1.0,1717,1623,3.8451,0.9453,2.5,2.8,0.17,1717,1596,3.7522,0.9295,5.01,1.51,0.52,-2.42
bursty,4,0.8,1.0,3311,2760,6.4706,0.8336,2.02,14.07,0.54,3311,2820,6.5499,0.8517,4.68,9.3,0.85,1.23
bursty,4,1.0,0.8,3311,2201,5.16,0.6648,1.45,31.08,1.0,3311,2247,5.219,0.6786,3.35,27.15,1.63,1.14
bursty,4,1.0,1.0,3311,2762,6.4752,0.8342,1.96,14.13,0.48,3311,2832,6.5778,0.8553,4.32,9.48,0.66,1.58
bursty,4,1.0,1.2,3311,3094,7.2536,0.9345,2.2,4.11,0.24,3311,2991,6.9471,0.9034,4.62,4.68,0.36,-4.23
bursty,4,1.0,1.5,3311,3207,7.5185,0.9686,2.42,0.69,0.03,3311,3110,7.2235,0.9393,4.83,1.09,0.15,-3.92
bursty,4,1.0,2.0,3311,3225,7.5607,0.974,2.42,0.15,0.03,3311,3144,7.3024,0.9496,4.95,0.06,0.03,-3.42
bursty,4,1.2,1.0,3311,2763,6.4776,0.8345,1.93,14.2,0.42,3311,2838,6.5917,0.8571,4.14,9.48,0.66,1.76
bursty,4,1.5,1.0,3311,2765,6.4823,0.8351,1.87,14.29,0.33,3311,2844,6.6056,0.859,3.96,9.48,0.66,1.9
bursty,4,2.0,1.0,3311,2770,6.494,0.8366,1.72,14.38,0.24,3311,2846,6.6103,0.8596,3.9,9.63,0.51,1.79
bursty,6,0.8,1.0,5107,4006,9.3402,0.7844,2.04,18.25,1.27,5106,3955,8.9331,0.7746,7.36,11.18,4.0,-4.36
