arm,workload,rate,seed,duration_s
cooldown30,steady,8,1,31.6
cooldown30,steady,8,1,32.12
cooldown30,steady,8,1,30.17
cooldown30,steady,8,1,31.97
cooldown30,steady,8,1,172.25
cooldown30,steady,8,2,31.28
cooldown30,steady,8,2,30.18
cooldown30,steady,8,2,31.21
cooldown30,steady,8,2,30.32
cooldown30,steady,8,2,30.33
cooldown30,steady,10,1,33.64
cooldown30,steady,10,1,30.39
cooldown30,steady,10,1,34.2
cooldown30,steady,10,1,30.26
cooldown30,steady,10,1,30.3
cooldown30,steady,10,2,30.08
cooldown30,steady,10,2,30.68
cooldown30,steady,10,2,30.38
cooldown0,steady,8,1,5.1
cooldown0,steady,8,1,10.03
cooldown0,steady,8,1,5.04
cooldown0,steady,8,1,5.02
cooldown0,steady,8,1,5.02
cooldown0,steady,8,1,5.35
cooldown0,steady,8,2,6.09
cooldown0,steady,8,2,60.45
cooldown0,steady,8,2,5.01
cooldown0,steady,8,2,10.03
cooldown0,steady,8,2,100.69
cooldown0,steady,8,2,5.03
cooldown0,steady,8,2,6.94
cooldown0,steady,8,2,25.27
cooldown0,steady,8,2,10.15
cooldown0,steady,8,2,15.17
cooldown0,steady,8,2,5.05
cooldown0,steady,10,1,5.06
cooldown0,steady,10,1,5.01
cooldown0,steady,10,1,6.08
cooldown0,steady,10,1,5.08
cooldown0,steady,10,1,6.24
cooldown0,steady,10,1,5.03
cooldown0,steady,10,1,5.02
cooldown0,steady,10,1,15.09
cooldown0,steady,10,1,5.03
cooldown0,steady,10,1,5.03
cooldown0,steady,10,1,5.03
cooldown0,steady,10,1,25.22
cooldown0,steady,10,1,5.04
cooldown0,steady,10,1,5.42
cooldown0,steady,10,2,20.1
cooldown0,steady,10,2,10.03
cooldown0,steady,10,2,5.04
cooldown0,steady,10,2,10.09
cooldown0,steady,10,2,5.04
cooldown0,steady,10,2,10.12
cooldown0,steady,10,2,15.18
cooldown0,steady,10,2,15.2
cooldown0,steady,10,2,5.07
