stratum,cycles,positive,frac_positive,frac_gt_hist_tau,p10,p25,p50,p75,p90,p95,p99,max,mean
steady_r8_s3,86,4,0.0465,0.0233,1.141519824384232e-06,2.8537995609397634e-06,0.0004589510365805716,0.0026135196424592576,0.005672480386142112,0.006692133967369729,0.007507856832351824,0.007711787548597346,0.002157422405439626
steady_r8_s4,86,7,0.0814,0.0698,0.0008229254894966416,0.0024675494505189614,0.004368490337548391,0.008308899158425798,0.010300894236520515,0.010896382731610229,0.011372773527682001,0.011491871226699944,0.005345845031433588
steady_r10_s3,86,7,0.0814,0.0465,0.0001325541704301564,0.00024897325205953426,0.001700475272913983,0.0032958262581436505,0.006026337017903824,0.007066704595155959,0.00789899865695767,0.008107072172408095,0.0024202156790933864
steady_r10_s4,86,7,0.0814,0.0814,0.002837416636970244,0.0038346344930378527,0.006130795134086594,0.009920064430795558,0.01177079182861691,0.012479283907218362,0.013046077570099525,0.013187775985819813,0.007085674025375204
bursty_r8_s3,86,54,0.6279,0.593,0.0012483713829582797,0.004743558703835957,0.01075377661313303,0.0210362346658192,0.02650918942062391,0.03790821532755167,0.06533056689434158,0.07372871172166981,0.014752773190101291
bursty_r8_s4,86,36,0.4186,0.407,0.0031783788734775498,0.009943476491878257,0.015098209282324054,0.031097031449766856,0.03444279462965642,0.03597110184234307,0.03934584162646831,0.04071926816141269,0.0183055589674586
bursty_r10_s3,85,54,0.6353,0.6,0.002383312647535975,0.010065067198765876,0.0155125798258621,0.028043349529668152,0.04108830977737168,0.056791632798191743,0.08873920408935383,0.09331968525330865,0.021308753320248005
bursty_r10_s4,86,37,0.4302,0.4186,0.007078103035838959,0.010362896587842271,0.018970343086921665,0.039612403512007524,0.06681525994851001,0.06820631118913631,0.07001124553884895,0.07042262985451317,0.027620287676043555
steady aggregate,344,25,0.0727,0.0552,2.2339177908458077e-05,0.0009140970070798948,0.0035686607104750256,0.007711787548597346,0.010298445264849344,0.011358724126122951,0.012780758843631047,0.013187775985819813,0.00450367331092295
bursty aggregate,343,181,0.5277,0.5044,0.0019054159130873285,0.008225043836483821,0.01521415250419457,0.02735841432742419,0.040050765052934145,0.06504499535797262,0.0759184229699013,0.09331968525330865,0.02004570827845847
POOLED calibration,687,206,0.2999,0.2795,0.0010123990472248679,0.0057399039858240745,0.012859417696566448,0.02595037368602512,0.03916286292302117,0.05627498116791596,0.0735892302759233,0.09331968525330865,0.01815953898628183
