tau_id,tau,cond,migrations,migrations_per_min,migration_bytes,migration_gb_per_min
T0,0.0,steady_r8_s3,6,0.842268931737314,59257817088,7.7472096768199945
T0,0.0,steady_r8_s4,2,0.27806322998323546,22614707200,2.9282265012884188
T0,0.0,steady_r10_s3,4,0.556619454070574,27727872000,3.5934785788829338
T0,0.0,steady_r10_s4,2,0.2784633205667347,22761516032,2.9514764134789284
T0,0.0,bursty_r8_s3,13,1.8227361828425228,108989564928,14.231986118805095
T0,0.0,bursty_r8_s4,11,1.5371790025799141,112198541312,14.60222712166789
T0,0.0,bursty_r10_s3,13,1.8265129950456995,109640501248,14.346651755330385
T0,0.0,bursty_r10_s4,11,1.5296086954319923,112788639744,14.606734915413707
T1,0.00035,steady_r8_s3,2,0.28286936342032926,13811183616,1.8192272249326116
T1,0.00035,steady_r8_s4,2,0.27947174668580127,22201945088,2.8893427800226985
T1,0.00035,steady_r10_s3,4,0.5568650608317929,27811405824,3.6058947900308853
T1,0.00035,steady_r10_s4,2,0.2781188152034615,22462073856,2.909044440762777
T1,0.00035,bursty_r8_s3,13,1.8213368348337853,108879464448,14.206693948756472
T1,0.00035,bursty_r8_s4,11,1.538467487620184,112069033984,14.59759788362356
T1,0.00035,bursty_r10_s3,13,1.8191149616366558,110039955456,14.340600238671723
T1,0.00035,bursty_r10_s4,11,1.5269878241774189,112676331520,14.567187759010825
T2,0.012859417696566448,steady_r8_s3,0,0.0,0,0.0
T2,0.012859417696566448,steady_r8_s4,2,0.2793001271197927,22615473152,2.9413516289684263
T2,0.012859417696566448,steady_r10_s3,0,0.0,0,0.0
T2,0.012859417696566448,steady_r10_s4,2,0.2789428426605835,22412336128,2.911202958882235
T2,0.012859417696566448,bursty_r8_s3,9,1.2565123728852672,81950279680,10.655524455355282
T2,0.012859417696566448,bursty_r8_s4,10,1.3971635362103758,104881393664,13.647271213519085
T2,0.012859417696566448,bursty_r10_s3,9,1.2559909237958868,83123963904,10.803646533580384
T2,0.012859417696566448,bursty_r10_s4,11,1.5504074283993552,111864791040,14.684078622673523
T3,0.02595037368602512,steady_r8_s3,2,0.2824271342212526,13916798976,1.830273145961083
T3,0.02595037368602512,steady_r8_s4,2,0.27973185465621414,22747151360,2.9630506588511283
T3,0.02595037368602512,steady_r10_s3,0,0.0,0,0.0
T3,0.02595037368602512,steady_r10_s4,2,0.27892487966899693,22630423552,2.93934166715482
T3,0.02595037368602512,bursty_r8_s3,9,1.2725759541658284,80908478464,10.654556273320294
T3,0.02595037368602512,bursty_r8_s4,10,1.3939459973523438,104869500928,13.614298874784588
T3,0.02595037368602512,bursty_r10_s3,9,1.2501137407019538,81444976640,10.535895452815382
T3,0.02595037368602512,bursty_r10_s4,8,1.1262514161908683,82599762944,10.82989619959961
T4,0.03916286292302117,steady_r8_s3,0,0.0,0,0.0
T4,0.03916286292302117,steady_r8_s4,1,0.13794566735698452,15582350336,2.001894373530384
T4,0.03916286292302117,steady_r10_s3,0,0.0,0,0.0
T4,0.03916286292302117,steady_r10_s4,2,0.2799569427304627,22784609280,2.9703181029003716
T4,0.03916286292302117,bursty_r8_s3,7,0.9769832392944664,67075418112,8.718717213200204
T4,0.03916286292302117,bursty_r8_s4,8,1.1274396817077892,81597225984,10.709738183258976
T4,0.03916286292302117,bursty_r10_s3,9,1.263010063813799,81798940672,10.690846923122379
T4,0.03916286292302117,bursty_r10_s4,8,1.1224117132018896,82146565120,10.733756573171098
T5,1000000000.0,steady_r8_s3,0,0.0,0,0.0
T5,1000000000.0,steady_r8_s4,0,0.0,0,0.0
T5,1000000000.0,steady_r10_s3,0,0.0,0,0.0
T5,1000000000.0,steady_r10_s4,0,0.0,0,0.0
T5,1000000000.0,bursty_r8_s3,0,0.0,0,0.0
T5,1000000000.0,bursty_r8_s4,0,0.0,0,0.0
T5,1000000000.0,bursty_r10_s3,0,0.0,0,0.0
T5,1000000000.0,bursty_r10_s4,0,0.0,0,0.0
