tau_id,tau,workload,rate,seed,cycles,span_s,completed,aborted,goodput_req_s,kvpr_window,cooldown_s
T0,0.0,steady,8,3,85,427.4,3406,0,5.341988271450744,60,30
T0,0.0,steady,8,4,86,431.6,3345,0,4.953921480095688,60,30
T0,0.0,steady,10,3,86,431.2,4272,0,4.0477280621325535,60,30
T0,0.0,steady,10,4,86,430.9,4324,0,5.178024123067547,60,30
T0,0.0,bursty,8,3,85,427.9,3406,0,4.415675480785295,60,30
T0,0.0,bursty,8,4,86,429.4,3344,0,3.6184734796707883,60,30
T0,0.0,bursty,10,3,85,427.0,4271,0,4.530088084633408,60,30
T0,0.0,bursty,10,4,86,431.5,4323,0,3.341417808485415,60,30
T1,0.00035,steady,8,3,85,424.2,3406,0,5.879158830211672,60,30
T1,0.00035,steady,8,4,86,429.4,3345,0,4.872982388797862,60,30
T1,0.00035,steady,10,3,86,431.0,4272,0,5.046448176634512,60,30
T1,0.00035,steady,10,4,86,431.5,4323,0,5.6211980620973465,60,30
T1,0.00035,bursty,8,3,85,428.3,3405,0,4.5302604590755555,60,30
T1,0.00035,bursty,8,4,86,429.0,3345,0,4.165177353230885,60,30
T1,0.00035,bursty,10,3,85,428.8,4272,0,4.0168220521315385,60,30
T1,0.00035,bursty,10,4,86,432.2,4323,0,2.9210590265097154,60,30
T2,0.012859417696566448,steady,8,3,86,428.8,3406,0,6.61427760666371,60,30
T2,0.012859417696566448,steady,8,4,86,429.6,3345,0,5.037900591017882,60,30
T2,0.012859417696566448,steady,10,3,86,429.4,4272,0,5.885948105770331,60,30
T2,0.012859417696566448,steady,10,4,86,430.2,4324,0,5.766603129678616,60,30
T2,0.012859417696566448,bursty,8,3,86,429.8,3406,0,4.908354105014331,60,30
T2,0.012859417696566448,bursty,8,4,71,429.4,3345,0,4.413012389306971,60,30
T2,0.012859417696566448,bursty,10,3,86,429.9,4272,0,4.664499399858229,60,30
T2,0.012859417696566448,bursty,10,4,70,425.7,4324,0,3.775226360029253,60,30
T3,0.02595037368602512,steady,8,3,85,424.9,3406,0,6.290806371177512,60,30
T3,0.02595037368602512,steady,8,4,86,429.0,3345,0,4.793528150080492,60,30
T3,0.02595037368602512,steady,10,3,86,429.6,4272,0,5.872558535008788,60,30
T3,0.02595037368602512,steady,10,4,86,430.2,4324,0,5.726999286356974,60,30
T3,0.02595037368602512,bursty,8,3,85,424.3,3405,0,4.784550330771707,60,30
T3,0.02595037368602512,bursty,8,4,86,430.4,3344,0,2.793609540127185,60,30
T3,0.02595037368602512,bursty,10,3,86,432.0,4272,0,4.4868034014849485,60,30
T3,0.02595037368602512,bursty,10,4,85,426.2,4324,0,3.4423742100377996,60,30
T4,0.03916286292302117,steady,8,3,86,428.6,3406,0,6.473308035041099,60,30
T4,0.03916286292302117,steady,8,4,87,435.0,3345,0,4.526788053941308,60,30
T4,0.03916286292302117,steady,10,3,86,429.4,4272,0,6.035294896763757,60,30
T4,0.03916286292302117,steady,10,4,85,428.6,4324,0,4.592545660037582,60,30
T4,0.03916286292302117,bursty,8,3,86,429.9,3406,0,4.1174520009956534,60,30
T4,0.03916286292302117,bursty,8,4,85,425.7,3345,0,3.6104995447291146,60,30
T4,0.03916286292302117,bursty,10,3,85,427.6,4271,0,3.8127863721076247,60,30
T4,0.03916286292302117,bursty,10,4,85,427.7,4324,0,2.9873577409533625,60,30
T5,1000000000.0,steady,8,3,86,428.4,3406,0,5.514286736057802,60,30
T5,1000000000.0,steady,8,4,86,428.8,3345,0,5.8634683679221995,60,30
T5,1000000000.0,steady,10,3,86,429.3,4272,0,4.96228612627937,60,30
T5,1000000000.0,steady,10,4,86,429.5,4324,0,5.858979495263604,60,30
T5,1000000000.0,bursty,8,3,86,428.6,3406,0,5.863291169652874,60,30
T5,1000000000.0,bursty,8,4,86,428.7,3345,0,4.887789916511065,60,30
T5,1000000000.0,bursty,10,3,86,429.8,4272,0,5.823428865494997,60,30
T5,1000000000.0,bursty,10,4,77,429.6,4324,0,4.569854199359418,60,30
