window_s,cond,replay_confirmed,kvpr_optimal_LL_pct,plan_LL_pct,residency_LL_pct,three_one_exposure_pct,sep_penalty_p50,p_optLL_given_small_rank1,n_small_rank1,p_optLL_given_large_rank1,n_large_rank1
30,bursty_r10_s3,85,15.3,12.9,9.4,55.3,0.0,100.0,13,0.0,72
30,bursty_r10_s4,70,34.3,37.1,49.3,50.7,0.0,92.3,26,0.0,44
30,bursty_r8_s3,85,15.3,15.3,20.0,61.2,0.0,92.9,14,0.0,71
30,bursty_r8_s4,84,42.9,45.2,54.7,64.0,0.0,94.7,38,0.0,46
30,steady_r10_s3,86,0.0,0.0,0.0,15.1,0.0,,0,0.0,86
30,steady_r10_s4,86,98.8,98.8,97.7,14.0,0.30724,98.8,86,,0
30,steady_r8_s3,85,0.0,0.0,0.0,22.4,0.0,0.0,6,0.0,79
30,steady_r8_s4,86,96.5,97.7,91.9,14.0,0.3265,97.6,85,0.0,1
60,bursty_r10_s3,84,17.9,17.9,18.8,52.9,0.0,83.3,18,0.0,66
60,bursty_r10_s4,81,43.2,45.7,60.5,62.8,0.0,87.5,40,0.0,41
60,bursty_r8_s3,85,18.8,18.8,19.8,54.7,0.0,88.9,18,0.0,67
60,bursty_r8_s4,86,44.2,46.5,48.8,62.8,0.0,92.5,40,2.2,46
60,steady_r10_s3,86,0.0,0.0,0.0,17.4,0.0,,0,0.0,86
60,steady_r10_s4,86,98.8,98.8,97.7,7.0,0.29176,98.8,86,,0
60,steady_r8_s3,86,0.0,0.0,0.0,8.1,0.0,0.0,4,0.0,82
60,steady_r8_s4,86,100.0,98.8,97.7,7.0,0.35631,100.0,86,,0
