window_s,cond,span_s,plan_changes,plan_changes_per_min,plan_lifetime_p50_s,plan_lifetime_p95_s,migrations,reversals,ping_pong,replay_confirmed,replay_pct
30,bursty_r10_s3,427.7,18,2.525,10.08,63.75,13,9,9,85,100.0
30,bursty_r10_s4,431.4,9,1.252,42.95,86.53,10,7,7,70,98.6
30,bursty_r8_s3,425.2,14,1.975,30.14,61.37,11,8,8,85,100.0
30,bursty_r8_s4,428.6,9,1.26,42.74,86.15,11,7,7,84,97.7
30,steady_r10_s3,430.3,3,0.418,109.47,190.06,4,3,3,86,100.0
30,steady_r10_s4,432.0,6,0.833,5.33,261.02,4,2,1,86,100.0
30,steady_r8_s3,425.5,9,1.269,22.88,112.53,6,5,5,85,100.0
30,steady_r8_s4,431.7,5,0.695,7.98,224.36,5,3,2,86,100.0
60,bursty_r10_s3,429.9,18,2.512,15.15,63.48,13,10,10,84,98.8
60,bursty_r10_s4,431.6,13,1.807,10.14,80.87,11,7,6,81,94.2
60,bursty_r8_s3,430.3,17,2.37,15.37,56.07,13,10,10,85,98.8
60,bursty_r8_s4,428.8,13,1.819,12.65,77.33,11,7,7,86,100.0
60,steady_r10_s3,431.2,3,0.417,107.12,188.33,4,3,3,86,100.0
60,steady_r10_s4,431.0,2,0.278,5.92,378.64,2,0,0,86,100.0
60,steady_r8_s3,429.3,2,0.28,157.6,228.5,2,1,1,86,100.0
60,steady_r8_s4,429.8,2,0.279,11.21,373.38,2,0,0,86,100.0
