window_s,cond,Llama-3.2-3B_delta_p50,Llama-3.2-3B_delta_p95,Llama-3.2-3B_cv,Qwen2.5-3B_delta_p50,Qwen2.5-3B_delta_p95,Qwen2.5-3B_cv,Llama-3.1-8B_delta_p50,Llama-3.1-8B_delta_p95,Llama-3.1-8B_cv,Qwen2.5-7B_delta_p50,Qwen2.5-7B_delta_p95,Qwen2.5-7B_cv
30,bursty_r10_s3,0.3222,0.8899,0.6257,0.0803,0.3041,0.9035,0.4644,1.3687,0.7396,0.2188,1.21,0.7496
30,bursty_r10_s4,0.3403,2.6651,1.0305,0.047,0.4277,1.152,0.2606,2.058,1.3788,0.1126,1.3226,0.9721
30,bursty_r8_s3,0.2135,0.7513,0.6059,0.0921,0.2593,0.9721,0.3702,1.0755,0.7366,0.1285,0.9257,0.7381
30,bursty_r8_s4,0.2549,2.1917,1.0017,0.0246,0.2885,1.3422,0.1031,1.8697,1.4278,0.0714,0.7788,1.0364
30,steady_r10_s3,0.1778,0.5477,0.2624,0.0472,0.1339,0.2957,0.259,0.7945,0.211,0.0911,0.3577,0.2392
30,steady_r10_s4,0.2597,0.8438,0.2398,0.0418,0.1162,0.2606,0.1221,0.4707,0.2557,0.1032,0.3426,0.219
30,steady_r8_s3,0.1388,0.4452,0.2801,0.0388,0.1281,0.3529,0.2131,0.6669,0.2765,0.1065,0.3062,0.2407
30,steady_r8_s4,0.2198,0.618,0.2409,0.043,0.1734,0.3503,0.1292,0.5184,0.2668,0.1002,0.2986,0.271
60,bursty_r10_s3,0.2578,0.5121,0.5191,0.0735,0.2568,0.8406,0.4317,0.7491,0.6538,0.1983,0.625,0.5875
60,bursty_r10_s4,0.3702,1.4437,0.8572,0.0219,0.2294,1.1643,0.2147,1.1762,1.0891,0.1308,0.735,0.9417
60,bursty_r8_s3,0.1714,0.507,0.5182,0.0894,0.4014,0.8342,0.3295,0.5983,0.6699,0.1346,0.458,0.5774
60,bursty_r8_s4,0.2431,1.247,0.8987,0.017,0.1814,1.2687,0.1759,0.9426,1.151,0.0946,0.4321,0.9804
60,steady_r10_s3,0.1172,0.3448,0.2806,0.0317,0.0872,0.3005,0.1282,0.4256,0.2448,0.0582,0.2572,0.2812
60,steady_r10_s4,0.1637,0.4303,0.3027,0.0184,0.0459,0.2904,0.0849,0.2309,0.2828,0.054,0.2522,0.2589
60,steady_r8_s3,0.0979,0.2525,0.2762,0.022,0.0798,0.2889,0.1124,0.3018,0.2797,0.0484,0.1734,0.2735
60,steady_r8_s4,0.1185,0.3482,0.278,0.0218,0.0764,0.3284,0.0862,0.2362,0.2813,0.0409,0.1654,0.2805
