migration_id,model,source_gpu,target_gpu,migration_decision,target_prepare_start,target_prepare_end,target_ready,source_quiesce_request,source_quiesce_begin,request_drain_start,request_drain_end,kv_stash_start,kv_stash_end,weight_transfer_start,weight_transfer_end,kv_transfer_start,kv_transfer_end,target_inject_start,target_inject_end,routing_switch_start,routing_switch_end,source_release,first_request_on_target,first_decode_on_target,weight_bytes,weight_source,weight_transfer_path,weight_bytes_p2p,weight_gbps,kv_bytes,kv_transfer_path,kv_gbps,kv_requests_moved,kv_tokens_moved,kv_requests_skipped_over_cap,target_prepare_s,target_ready_to_quiesce_s,quiesce_control_s,request_drain_s,kv_stash_s,weight_transfer_s,kv_transfer_s,target_inject_total_s,kv_inject_s,routing_switch_s,routing_to_first_request_s,first_request_to_first_decode_s,exposed_downtime_s,total_migration_wall_s
1,model_6,1,0,1787397664.204909,1787397664.2135634,1787397667.3207629,1787397667.3112216,1787397667.321309,1787397667.3482308,1787397667.3484998,1787397667.45376,1787397667.4539278,1787397668.5087142,1787397664.4975214,1787397665.768523,1787397673.7321153,1787397679.8166232,1787397670.604638,1787397680.8313646,1787397680.8376207,1787397680.8376284,1787397670.013331,1787397680.904074,1787397683.6357822,15231233024,gpu,gpu-to-gpu-p2p,15231233024,11.983655643298926,401121280,gpu-to-gpu-p2p,0.066,18,6995,0,3.097658157348633,0.037009239196777344,0.026921749114990234,0.10526013374328613,1.0547864437103271,1.2710015773773193,6.084507942199707,10.226726531982422,4.142218589782715,7.62939453125e-06,0.06644558906555176,2.731708288192749,13.555843114852905,19.430873155593872
2,model_6,0,1,1787397696.3133745,1787397696.3148613,1787397699.323099,1787397699.3192112,1787397699.32398,1787397699.3756683,1787397699.3758242,1787397699.3942783,1787397699.3944223,1787397699.444752,1787397697.8232143,1787397698.7098117,1787397704.6045175,1787397704.756336,1787397701.129879,1787397704.8315222,1787397704.8353415,1787397704.8353465,1787397701.122525,1787397704.8653514,1787397706.3091388,15231233024,gpu,gpu-to-gpu-p2p,15231233024,17.179466560581943,62562304,gpu-to-gpu-p2p,0.412,3,1091,0,3.004349946975708,0.0564570426940918,0.051688194274902344,0.01845407485961914,0.05032968521118164,0.8865973949432373,0.15181851387023926,3.701643228530884,3.5498247146606445,5.0067901611328125e-06,0.03000497817993164,1.4437873363494873,5.489683151245117,9.995764255523682
3,model_1,0,1,1787397730.9283128,1787397730.92951,1787397732.4028306,1787397732.399622,1787397732.4034789,1787397732.4176946,1787397732.4180195,1787397733.7416043,1787397733.7418792,1787397735.4373696,1787397731.0251381,1787397731.2097716,1787397741.0069544,1787397744.0058804,1787397738.0135744,1787397745.310592,1787397745.3143737,1787397745.3143818,1787397738.0060658,1787397745.3660624,1787397748.2531486,2996965376,gpu,gpu-to-gpu-p2p,2996965376,16.232146224639745,898007040,gpu-to-gpu-p2p,0.299,79,27405,0,1.4701118469238281,0.01807260513305664,0.014215707778930664,1.323584794998169,1.6954903602600098,0.18463349342346191,2.9989259243011475,7.297017574310303,4.298091650009155,8.106231689453125e-06,0.051680564880371094,2.8870861530303955,12.948367834091187,17.324835777282715
4,model_1,1,0,1787397760.9794133,1787397760.9810731,1787397762.900784,1787397762.8979797,1787397762.9012935,1787397762.9169679,1787397762.9171054,1787397763.0607696,1787397763.0610187,1787397764.142475,1787397761.1097872,1787397761.431128,1787397765.8721395,1787397767.4187121,1787397765.795938,1787397767.8309407,1787397767.8340993,1787397767.834112,1787397765.787458,1787397769.7086544,1787397769.787478,2996965376,gpu,gpu-to-gpu-p2p,2996965376,9.326460177607546,178388992,gpu-to-gpu-p2p,0.115,10,5444,0,1.9169065952301025,0.01898813247680664,0.015674352645874023,0.14366412162780762,1.081456184387207,0.32134079933166504,1.5465726852416992,2.0350027084350586,0.4884300231933594,1.2636184692382812e-05,1.874542474746704,0.07882356643676758,6.791686534881592,8.808064699172974
5,model_6,1,0,1787397793.7386956,1787397796.418407,1787397799.671306,1787397799.6672862,1787397799.6718466,1787397799.9128,1787397799.9129493,1787397801.0871751,1787397801.0875344,1787397802.5141943,1787397796.6808615,1787397797.8534234,1787397810.8986135,1787397818.3115768,1787397804.148903,1787397818.5772674,1787397818.580629,1787397818.5806327,1787397804.1389437,1787397819.6077082,1787397820.2887535,15231233024,gpu,gpu-to-gpu-p2p,15231233024,12.989789519476892,644317184,gpu-to-gpu-p2p,0.087,47,11236,0,3.2488791942596436,0.245513916015625,0.2409534454345703,1.1742258071899414,1.4266598224639893,1.1725618839263916,7.412963390350342,14.428364515304565,7.015401124954224,3.5762786865234375e-06,1.0270755290985107,0.6810452938079834,19.694908142089844,26.550057888031006
6,model_2,1,0,1787397829.1858273,1787397829.1872706,1787397830.8717358,1787397830.8685427,1787397830.8721652,1787397830.8823338,1787397830.8824623,1787397832.3352642,1787397832.3355584,1787397833.8822753,1787397829.4664533,1787397829.7463903,1787397838.3818471,1787397843.8948026,1787397837.0300598,1787397849.0248275,1787397849.0289588,1787397849.0289733,1787397837.022772,1787397850.7478812,1787397855.8799655,3554176000,gpu,gpu-to-gpu-p2p,3554176000,12.696382792874722,811761664,gpu-to-gpu-p2p,0.147,60,28312,0,1.681272029876709,0.013791084289550781,0.01016855239868164,1.4528019428253174,1.5467169284820557,0.2799370288848877,5.5129554271698,11.994767665863037,6.481812238693237,1.4543533325195312e-05,1.7189078330993652,5.132084369659424,19.86554741859436,26.694138288497925
7,model_2,0,1,1787397859.2656999,1787397859.2674155,1787397862.0578125,1787397862.0549998,1787397862.058546,1787397862.104067,1787397862.1042032,1787397863.4562368,1787397863.456626,1787397865.2769954,1787397860.1401703,1787397860.3996897,1787397869.3456202,1787397874.2246718,1787397867.9550352,1787397874.5416257,1787397874.5464706,1787397874.5464761,1787397867.9458508,1787397874.574676,1787397877.66614,3554176000,gpu,gpu-to-gpu-p2p,3554176000,13.69527396799772,728268800,gpu-to-gpu-p2p,0.149,79,25400,0,2.7875843048095703,0.04906725883483887,0.04552102088928223,1.3520336151123047,1.8203694820404053,0.2595193386077881,4.879051685333252,6.586590528488159,1.7075388431549072,5.4836273193359375e-06,0.02819991111755371,3.091464042663574,12.470608949661255,18.400440216064453
8,model_1,1,0,1787397906.0403607,1787397906.0425642,1787397907.5041666,1787397907.5002496,1787397907.5046206,1787397907.5115826,1787397907.511762,1787397907.5119793,1787397907.5121589,1787397907.5141282,1787397906.1901515,1787397906.503911,,,1787397909.0489588,1787397909.050554,1787397909.0533447,1787397909.0533557,1787397909.0372272,,,2996965376,gpu,gpu-to-gpu-p2p,2996965376,9.552454296088072,,,,,,,1.4576854705810547,0.011332988739013672,0.0069620609283447266,0.000217437744140625,0.0019693374633789062,0.31375956535339355,,0.0015952587127685547,0.0015952587127685547,1.0967254638671875e-05,,,,
9,model_2,1,0,1787397937.2160578,1787397937.2263982,1787397939.1116838,1787397939.1075668,1787397939.1123772,1787397939.1282585,1787397939.1283786,1787397939.3440402,1787397939.3442838,1787397939.5451014,1787397937.4884567,1787397937.7715406,1787397942.3754027,1787397947.1445386,1787397942.250148,1787397947.2680058,1787397947.2714198,1787397947.2715156,1787397942.2394023,1787397947.291679,1787397947.6262283,3554176000,gpu,gpu-to-gpu-p2p,3554176000,12.555279833972744,238292992,gpu-to-gpu-p2p,0.05,20,8311,0,1.8811686038970947,0.020691633224487305,0.01588129997253418,0.21566152572631836,0.20081758499145508,0.2830839157104492,4.76913595199585,5.017857789993286,0.24872183799743652,9.584426879882812e-05,0.020163297653198242,0.3345494270324707,8.16342043876648,10.410170555114746
10,model_4,1,0,1787397968.2809365,1787397968.2837799,1787397971.2332106,1787397971.2280123,1787397971.2338653,1787397971.2420785,1787397971.242216,1787397972.496937,1787397972.497147,1787397973.681063,1787397969.3111637,1787397969.9296005,1787397976.9573784,1787397977.1837482,1787397975.2943301,1787397978.2798336,1787397978.2839706,1787397978.283984,1787397975.2845762,1787398007.6510746,1787398010.9482634,6794207232,gpu,gpu-to-gpu-p2p,6794207232,10.986125456733381,393707520,gpu-to-gpu-p2p,1.739,33,10680,0,2.94423246383667,0.014066219329833984,0.008213281631469727,1.25472092628479,1.1839158535003662,0.6184368133544922,0.22636985778808594,2.9855034351348877,2.7591335773468018,1.33514404296875e-05,29.367090702056885,3.2971887588500977,36.40899610519409,42.66732692718506
