Real trace file: /root/Prism-final-regression-diagnosis/exp/results/baseline-readiness/raw/migration-D2/workload/bursty_r20_s1.pkl
[PRISM_DIRECT] 8423 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed1
Generated 8423 requests
Request model_2#0 arrives at 1783681.336736257, sleeping for 0.060317032504826784 seconds
Request model_6#0 arrives at 1783681.397889846, sleeping for 0.05287835747003555 seconds
Request model_5#0 arrives at 1783681.45258261, sleeping for 0.12779559870250523 seconds
Request model_5#1 arrives at 1783681.581443604, sleeping for 0.07043783972039819 seconds
Request model_2#1 arrives at 1783681.654022141, sleeping for 0.06017064396291971 seconds
Request model_2#2 arrives at 1783681.714880567, sleeping for 0.007347412873059511 seconds
Request model_2#3 arrives at 1783681.722657163, sleeping for 0.027677916921675205 seconds
Request model_2#4 arrives at 1783681.751343447, sleeping for 0.08841666206717491 seconds
Request model_3#0 arrives at 1783681.84008689, sleeping for 0.046318270498886704 seconds
Request model_2#5 arrives at 1783681.886807346, sleeping for 0.003657239954918623 seconds
Request model_2#6 arrives at 1783681.891469396, sleeping for 0.09993685851804912 seconds
Request model_2#7 arrives at 1783681.992325552, sleeping for 0.06419635633938015 seconds
Request model_2#8 arrives at 1783682.057270083, sleeping for 0.07025100919418037 seconds
Request model_2#9 arrives at 1783682.128175265, sleeping for 0.027426232118159533 seconds
Request model_2#10 arrives at 1783682.156363595, sleeping for 0.09959006612189114 seconds
Request model_2#11 arrives at 1783682.256439474, sleeping for 0.11795953381806612 seconds
Request model_5#2 arrives at 1783682.374811179, sleeping for 0.06847128248773515 seconds
Request model_3#1 arrives at 1783682.444324148, sleeping for 0.05165378306992352 seconds
Request model_2#12 arrives at 1783682.496589432, sleeping for 0.008655986515805125 seconds
Request model_2#13 arrives at 1783682.50587113, sleeping for 0.0034895562566816807 seconds
Request model_2#14 arrives at 1783682.510140527, sleeping for 0.0620501134544611 seconds
Request model_2#15 arrives at 1783682.572861159, sleeping for 0.10844960040412843 seconds
Request model_2#16 arrives at 1783682.682204837, sleeping for 0.07893410278484225 seconds
Request model_2#17 arrives at 1783682.761632571, sleeping for 0.11281848629005253 seconds
Request model_2#18 arrives at 1783682.875419866, sleeping for 0.023840064415708184 seconds
Request model_3#2 arrives at 1783682.900080925, sleeping for 0.1458479615394026 seconds
