Real trace file: /root/Prism-final-regression-diagnosis/exp/results/baseline-readiness/raw/migration-D2/workload/bursty_r20_s1.pkl
[PRISM_DIRECT] 8423 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed1
Generated 8423 requests
Request model_2#0 arrives at 1697705.19588029, sleeping for 0.060316142393276095 seconds
Request model_6#0 arrives at 1697705.257085141, sleeping for 0.05282604554668069 seconds
Request model_5#0 arrives at 1697705.311718886, sleeping for 0.1278017156291753 seconds
Request model_5#1 arrives at 1697705.440549401, sleeping for 0.07047546585090458 seconds
Request model_2#1 arrives at 1697705.511388437, sleeping for 0.06194778112694621 seconds
Request model_2#2 arrives at 1697705.573777266, sleeping for 0.007594106951728463 seconds
Request model_2#3 arrives at 1697705.582046403, sleeping for 0.027431730180978775 seconds
Request model_2#4 arrives at 1697705.610027895, sleeping for 0.08887558709830046 seconds
Request model_3#0 arrives at 1697705.700093324, sleeping for 0.04545483971014619 seconds
Request model_2#5 arrives at 1697705.74604458, sleeping for 0.0035628192126750946 seconds
Request model_2#6 arrives at 1697705.750728902, sleeping for 0.09982007555663586 seconds
Request model_2#7 arrives at 1697705.852691902, sleeping for 0.06297340942546725 seconds
Request model_2#8 arrives at 1697705.916249259, sleeping for 0.07041439623571932 seconds
Request model_2#9 arrives at 1697705.986894724, sleeping for 0.027848876314237714 seconds
Request model_2#10 arrives at 1697706.015688652, sleeping for 0.09940733225084841 seconds
Request model_2#11 arrives at 1697706.115491297, sleeping for 0.1180500139016658 seconds
Request model_5#2 arrives at 1697706.235360171, sleeping for 0.06706419354304671 seconds
Request model_3#1 arrives at 1697706.302581853, sleeping for 0.05253855115734041 seconds
Request model_2#12 arrives at 1697706.355566297, sleeping for 0.008820954477414489 seconds
Request model_2#13 arrives at 1697706.36486118, sleeping for 0.0036411492619663477 seconds
Request model_2#14 arrives at 1697706.369402542, sleeping for 0.06192985153757036 seconds
Request model_2#15 arrives at 1697706.431980651, sleeping for 0.10847201151773334 seconds
Request model_2#16 arrives at 1697706.540743779, sleeping for 0.07953715394251049 seconds
Request model_2#17 arrives at 1697706.622099848, sleeping for 0.11149441241286695 seconds
Request model_2#18 arrives at 1697706.73451721, sleeping for 0.02388564357534051 seconds
Request model_3#2 arrives at 1697706.75927437, sleeping for 0.14579747966490686 seconds
