1787499055.525044992 0, 35818, 0;1, 35858, 0;
1787499058.289876489 0, 35844, 6;1, 36006, 20;
1787499060.820254466 0, 35866, 6;1, 37000, 47;
1787499063.459780855 0, 36102, 0;1, 37372, 3;
1787499066.127219764 0, 36230, 0;1, 37638, 0;
1787499068.830728205 0, 36230, 0;1, 38076, 43;
1787499071.443682122 0, 36486, 0;1, 38332, 0;
1787499074.102470344 0, 36614, 6;1, 39154, 3;
1787499076.826520435 0, 36662, 0;1, 39466, 39;
1787499079.535639690 0, 37284, 0;1, 40072, 13;
1787499082.253340180 0, 37464, 6;1, 40582, 0;
1787499084.904246459 0, 37464, 6;1, 41350, 33;
1787499087.562401195 0, 37464, 0;1, 42088, 0;
1787499090.276027747 0, 37464, 3;1, 42736, 0;
1787499092.918912054 0, 37464, 0;1, 44368, 68;
1787499095.649936187 0, 37336, 0;1, 45098, 0;
1787499098.548138816 0, 37844, 0;1, 46408, 57;
1787499101.362736626 0, 38292, 7;1, 47484, 44;
1787499104.087778400 0, 38612, 0;1, 48004, 0;
1787499106.771597408 0, 39214, 4;1, 48848, 54;
1787499109.450336563 0, 39656, 21;1, 48848, 24;
1787499112.464640277 0, 39726, 4;1, 48848, 0;
1787499115.379405650 0, 39726, 6;1, 56464, 4;
1787499118.272784934 0, 38277, 3;1, 57200, 16;
1787499122.258704767 0, 39527, 57;1, 57410, 56;
1787499125.216126433 0, 40311, 95;1, 57778, 73;
1787499128.143596755 0, 41019, 0;1, 57736, 35;
1787499131.062725374 0, 41657, 9;1, 57658, 44;
1787499133.849022938 0, 42609, 10;1, 57196, 0;
1787499136.572435216 0, 42701, 0;1, 56466, 27;
1787499139.390533003 0, 43517, 27;1, 56888, 58;
1787499142.219544590 0, 43517, 0;1, 57718, 36;
1787499145.025529639 0, 43621, 0;1, 58204, 0;
1787499147.845982740 0, 44077, 0;1, 58204, 0;
1787499150.815004527 0, 44333, 1;1, 58054, 20;
1787499153.589405931 0, 45271, 2;1, 55794, 0;
1787499156.294863042 0, 45893, 2;1, 55794, 0;
1787499159.139177755 0, 45893, 0;1, 55794, 0;
1787499161.876706131 0, 46399, 2;1, 55794, 0;
1787499164.773324820 0, 47413, 0;1, 55794, 0;
1787499167.426933246 0, 48405, 0;1, 55794, 33;
1787499170.169798635 0, 49417, 0;1, 55794, 0;
1787499172.982736605 0, 50001, 0;1, 56240, 1;
1787499175.848123012 0, 65745, 6;1, 56974, 0;
1787499178.635871758 0, 65723, 13;1, 61118, 0;
1787499181.434987508 0, 65972, 0;1, 61260, 0;
1787499184.169934594 0, 66364, 0;1, 62714, 0;
1787499187.062280763 0, 66478, 0;1, 63396, 0;
1787499190.323041570 0, 66792, 61;1, 63522, 58;
1787499192.710477541 0, 66972, 6;1, 63708, 0;
1787499195.511073319 0, 67486, 0;1, 63476, 5;
1787499198.314899357 0, 68176, 0;1, 63948, 0;
1787499201.205744563 0, 69198, 0;1, 64152, 0;
1787499204.110294528 0, 69796, 13;1, 64318, 0;
1787499206.993860377 0, 70512, 3;1, 64604, 0;
1787499209.888843069 0, 73628, 0;1, 65090, 0;
1787499212.742744398 0, 75218, 0;1, 64726, 0;
1787499215.596323463 0, 75460, 11;1, 64685, 3;
1787499218.444300592 0, 76844, 0;1, 66069, 0;
1787499221.148428606 0, 76976, 0;1, 67363, 0;
1787499224.050632864 0, 77062, 2;1, 58725, 0;
1787499226.907369758 0, 77210, 3;1, 56083, 0;
1787499229.804457282 0, 77210, 100;1, 57567, 23;
1787499232.782831127 0, 77456, 100;1, 61095, 31;
1787499235.776124288 0, 77082, 100;1, 62679, 57;
1787499238.159147006 0, 77082, 0;1, 62877, 45;
1787499240.489573696 0, 77082, 0;1, 62877, 12;
1787499243.383674429 0, 77066, 15;1, 62907, 40;
1787499246.348734377 0, 77066, 0;1, 63549, 17;
1787499249.180740870 0, 75006, 46;1, 68009, 0;
1787499252.123333783 0, 74996, 0;1, 68477, 3;
1787499255.089853440 0, 75002, 0;1, 68535, 3;
1787499258.014892210 0, 75206, 0;1, 68313, 0;
1787499261.052942456 0, 75206, 99;1, 68361, 99;
1787499263.272035658 0, 75286, 0;1, 68361, 32;
1787499265.968407117 0, 75174, 53;1, 68361, 41;
1787499268.299385148 0, 75044, 1;1, 68361, 6;
1787499271.274334567 0, 73606, 97;1, 68361, 88;
1787499273.526395780 0, 73462, 10;1, 68361, 29;
1787499276.068384276 0, 73214, 6;1, 68875, 0;
1787499279.010632454 0, 72438, 0;1, 69665, 0;
1787499281.977324740 0, 71484, 0;1, 70287, 0;
1787499284.886663665 0, 70318, 0;1, 70663, 0;
1787499287.779934098 0, 70318, 0;1, 72341, 5;
1787499290.670525913 0, 69846, 0;1, 73215, 22;
1787499293.615923869 0, 69988, 0;1, 73279, 0;
1787499296.412916052 0, 68734, 58;1, 73483, 42;
1787499299.419678632 0, 68428, 0;1, 73587, 2;
1787499302.530829163 0, 67660, 61;1, 73699, 36;
1787499305.617463416 0, 67748, 93;1, 73587, 68;
1787499307.835191116 0, 67704, 7;1, 73687, 0;
1787499310.351497463 0, 67592, 1;1, 73923, 18;
1787499313.169100657 0, 67886, 1;1, 73545, 0;
1787499316.011450889 0, 73792, 0;1, 73251, 0;
1787499318.819136279 0, 73858, 0;1, 73251, 4;
1787499321.627657673 0, 73572, 68;1, 73027, 60;
1787499324.496843516 0, 74120, 62;1, 72131, 96;
1787499327.408876775 0, 74634, 80;1, 71683, 0;
1787499330.404169299 0, 74938, 2;1, 70907, 0;
1787499333.357749564 0, 75448, 0;1, 65075, 0;
1787499336.154438661 0, 75946, 5;1, 64103, 0;
1787499338.988141935 0, 76220, 6;1, 63731, 30;
1787499341.878867066 0, 76220, 3;1, 63731, 0;
1787499344.866815491 0, 76460, 77;1, 63619, 50;
1787499347.370654185 0, 76492, 0;1, 63843, 27;
1787499350.171958850 0, 76492, 32;1, 64857, 2;
1787499353.123151158 0, 76396, 100;1, 63513, 87;
1787499355.360611681 0, 76332, 0;1, 64207, 9;
1787499357.800584125 0, 76408, 0;1, 64905, 0;
1787499360.690590098 0, 76848, 0;1, 65297, 0;
1787499363.538955015 0, 76876, 4;1, 66121, 2;
1787499366.322803107 0, 76878, 0;1, 66865, 7;
1787499369.176628428 0, 76446, 17;1, 67321, 0;
1787499372.055838791 0, 76290, 7;1, 67769, 0;
1787499374.888156454 0, 76078, 7;1, 67769, 36;
1787499377.861966864 0, 76662, 11;1, 67769, 0;
1787499380.480349402 0, 76158, 13;1, 67769, 0;
1787499383.383283037 0, 76158, 0;1, 67769, 13;
1787499386.175778432 0, 76158, 34;1, 68329, 0;
1787499388.933945727 0, 76158, 0;1, 69001, 0;
1787499391.705671879 0, 76414, 4;1, 69449, 3;
1787499394.542079386 0, 76670, 34;1, 69673, 0;
1787499397.380280053 0, 76670, 12;1, 70515, 3;
1787499400.264840219 0, 76798, 6;1, 74653, 9;
1787499403.092596800 0, 76798, 4;1, 74653, 0;
1787499406.051447922 0, 76798, 0;1, 74843, 0;
1787499408.921981916 0, 76798, 0;1, 74823, 0;
1787499412.724807258 0, 76798, 29;1, 74693, 15;
1787499415.337323785 0, 76798, 0;1, 74637, 0;
1787499418.075426799 0, 76798, 0;1, 74477, 0;
1787499420.978240610 0, 76798, 81;1, 74093, 30;
1787499423.679534407 0, 76798, 14;1, 74139, 0;
1787499431.971674405 0, 76590, 0;1, 73757, 0;
1787499434.758811602 0, 76718, 0;1, 73411, 1;
1787499437.504428292 0, 76718, 0;1, 72585, 2;
1787499440.350953840 0, 76718, 3;1, 69363, 0;
1787499443.225293946 0, 76718, 0;1, 69229, 13;
1787499447.089684159 0, 76718, 4;1, 64839, 39;
1787499449.574049311 0, 74536, 0;1, 67027, 20;
1787499452.251910815 0, 74692, 0;1, 67027, 10;
1787499455.105931890 0, 75852, 0;1, 67521, 12;
1787499457.925100931 0, 76492, 0;1, 62505, 0;
1787499460.679796308 0, 76492, 0;1, 62927, 0;
1787499463.440144781 0, 76492, 0;1, 63391, 0;
1787499466.139058359 0, 76620, 19;1, 63671, 8;
1787499468.969671943 0, 76620, 0;1, 64131, 0;
1787499471.804597304 0, 76620, 4;1, 64319, 0;
1787499474.611290624 0, 76620, 10;1, 64773, 18;
1787499477.464253740 0, 76844, 0;1, 65065, 22;
1787499480.415777260 0, 76844, 42;1, 65567, 25;
1787499483.025308003 0, 76844, 97;1, 65969, 11;
1787499485.239810740 0, 76844, 16;1, 66401, 2;
1787499488.258580300 0, 76844, 7;1, 66925, 0;
1787499491.160153488 0, 76844, 72;1, 66935, 0;
1787499493.630997270 0, 76956, 8;1, 67375, 48;
1787499496.328016174 0, 77284, 4;1, 68405, 54;
1787499499.079509687 0, 77284, 48;1, 68405, 18;
1787499504.909790065 0, 77284, 0;1, 68405, 18;
1787499509.107841234 0, 77284, 21;1, 68405, 3;
1787499511.750551558 0, 77284, 0;1, 68405, 0;
1787499514.569146832 0, 77284, 19;1, 68405, 30;
1787499520.441547007 0, 77284, 54;1, 68405, 28;
1787499523.777568771 0, 77284, 12;1, 68405, 6;
1787499528.117995762 0, 77198, 7;1, 68405, 15;
1787499533.156349653 0, 77116, 7;1, 68405, 0;
1787499537.876074878 0, 77028, 0;1, 68405, 13;
1787499543.115196975 0, 76846, 0;1, 68405, 26;
1787499545.955090263 0, 76068, 19;1, 55903, 1;
1787499548.881088354 0, 75800, 0;1, 50901, 0;
1787499551.718355624 0, 75514, 0;1, 40111, 0;
1787499554.443062663 0, 73250, 12;1, 40111, 0;
1787499557.176015963 0, 73156, 0;1, 40111, 0;
1787499559.897373029 0, 73268, 0;1, 40111, 0;
1787499562.582571374 0, 70180, 7;1, 40111, 0;
1787499565.163205067 0, 70402, 0;1, 40111, 0;
1787499567.843459978 0, 70628, 7;1, 40111, 0;
1787499570.476094555 0, 70964, 0;1, 40111, 0;
1787499573.228024126 0, 71272, 0;1, 40111, 0;
1787499575.867764348 0, 70884, 44;1, 40111, 0;
1787499578.814915762 0, 71220, 97;1, 40111, 0;
1787499581.010896335 0, 71332, 11;1, 40111, 0;
1787499583.438451615 0, 71444, 11;1, 40111, 0;
1787499586.033032646 0, 71668, 0;1, 40111, 0;
1787499588.861037845 0, 71892, 0;1, 40111, 0;
1787499591.662383103 0, 72116, 7;1, 40111, 0;
1787499594.331555032 0, 72538, 7;1, 40111, 0;
1787499597.047281930 0, 72676, 0;1, 40111, 0;
1787499599.707297160 0, 72900, 0;1, 40111, 0;
1787499602.403327051 0, 73012, 6;1, 40111, 0;
1787499605.102241611 0, 73162, 5;1, 40111, 0;
1787499607.940229993 0, 73404, 6;1, 40111, 0;
1787499610.742235424 0, 73888, 60;1, 40111, 0;
1787499613.669730940 0, 73888, 72;1, 40111, 0;
1787499616.739238907 0, 74400, 58;1, 40111, 0;
1787499619.236218962 0, 74794, 0;1, 40111, 0;
1787499621.744613298 0, 75246, 22;1, 40111, 0;
1787499624.873192743 0, 75638, 0;1, 40111, 0;
1787499628.757397294 0, 75684, 41;1, 40111, 0;
1787499631.401447939 0, 75974, 0;1, 40111, 0;
1787499634.140178983 0, 76448, 8;1, 40111, 0;
1787499637.073045812 0, 76530, 1;1, 40111, 0;
1787499641.102712908 0, 76578, 0;1, 40111, 0;
1787499647.107333108 0, 76636, 0;1, 40111, 0;
1787499650.761048150 0, 76122, 13;1, 40111, 0;
1787499653.747352181 0, 75742, 9;1, 40111, 0;
1787499660.354719266 0, 75812, 12;1, 40111, 0;
1787499662.663831261 0, 75814, 0;1, 40111, 0;
1787499665.898883237 0, 75832, 6;1, 40111, 0;
1787499672.231773768 0, 75880, 0;1, 40111, 0;
1787499676.099750524 0, 75924, 0;1, 40111, 0;
1787499683.382367266 0, 75930, 1;1, 40111, 0;
1787499687.018623035 0, 75954, 0;1, 40111, 0;
1787499689.459108893 0, 74752, 89;1, 40111, 0;
1787499692.359174079 0, 75520, 98;1, 40111, 0;
1787499694.553972740 0, 75770, 0;1, 40111, 0;
1787499697.256024825 0, 76160, 51;1, 40111, 0;
1787499700.414427088 0, 76576, 96;1, 40111, 0;
1787499702.743476080 0, 76720, 0;1, 40111, 0;
1787499705.475743959 0, 76502, 0;1, 40111, 0;
1787499708.137834027 0, 76544, 1;1, 40111, 0;
1787499710.898908950 0, 76672, 9;1, 40111, 0;
1787499713.656062788 0, 76672, 65;1, 40111, 0;
1787499716.618433962 0, 75572, 56;1, 56339, 0;
1787499719.651004957 0, 72426, 93;1, 56955, 61;
1787499722.650971143 0, 72426, 61;1, 56955, 43;
1787499725.140994886 0, 72426, 0;1, 56955, 62;
1787499727.392797952 0, 72426, 0;1, 56955, 19;
1787499730.180865947 0, 72580, 52;1, 56955, 0;
1787499732.558744431 0, 72988, 0;1, 56955, 0;
1787499735.682009017 0, 73194, 83;1, 56059, 0;
1787499737.932216021 0, 73322, 8;1, 54737, 0;
1787499740.543404382 0, 73322, 0;1, 54737, 0;
1787499743.213235148 0, 73322, 0;1, 54737, 0;
1787499746.174885387 0, 73706, 14;1, 54737, 0;
1787499749.046740269 0, 73834, 0;1, 54737, 0;
1787499751.894368936 0, 74346, 0;1, 54737, 0;
1787499754.830411190 0, 74602, 22;1, 54737, 0;
1787499757.785550166 0, 74602, 53;1, 54737, 0;
1787499760.899289069 0, 74602, 33;1, 54737, 0;
1787499763.873597098 0, 74602, 94;1, 54737, 0;
1787499766.142733993 0, 74602, 2;1, 54737, 0;
1787499768.696530234 0, 74602, 9;1, 54737, 0;
1787499771.509953261 0, 74346, 9;1, 54737, 0;
1787499774.460972900 0, 73660, 0;1, 54737, 0;
1787499777.317145730 0, 70748, 0;1, 54737, 0;
1787499780.105145293 0, 63238, 0;1, 54737, 0;
1787499782.935856840 0, 53512, 0;1, 54737, 0;
