Real trace file: /root/Prism-final-regression-diagnosis/exp/results/baseline-readiness/raw/migration-D2/workload/bursty_r20_s1.pkl
[PRISM_DIRECT] 8423 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed1
Generated 8423 requests
Request model_2#0 arrives at 1785117.588358931, sleeping for 0.06031683227047324 seconds
Request model_6#0 arrives at 1785117.649522256, sleeping for 0.052868191385641694 seconds
Request model_5#0 arrives at 1785117.704065396, sleeping for 0.1279357464518398 seconds
Request model_5#1 arrives at 1785117.832316967, sleeping for 0.0711871706880629 seconds
Request model_2#1 arrives at 1785117.905317165, sleeping for 0.06049808394163847 seconds
Request model_2#2 arrives at 1785117.966115118, sleeping for 0.007735035847872496 seconds
Request model_2#3 arrives at 1785117.974887929, sleeping for 0.027070104843005538 seconds
Request model_2#4 arrives at 1785118.002923354, sleeping for 0.08845970896072686 seconds
Request model_3#0 arrives at 1785118.092061094, sleeping for 0.0459666105452925 seconds
Request model_2#5 arrives at 1785118.13891634, sleeping for 0.0031707999296486378 seconds
Request model_2#6 arrives at 1785118.142782026, sleeping for 0.10024669230915606 seconds
Request model_2#7 arrives at 1785118.243692728, sleeping for 0.0644522241782397 seconds
Request model_2#8 arrives at 1785118.308949812, sleeping for 0.07019278407096863 seconds
Request model_2#9 arrives at 1785118.379727495, sleeping for 0.027496186085045338 seconds
Request model_2#10 arrives at 1785118.40783507, sleeping for 0.09974041511304677 seconds
Request model_2#11 arrives at 1785118.508567441, sleeping for 0.11745305056683719 seconds
Request model_5#2 arrives at 1785118.626839464, sleeping for 0.06806511245667934 seconds
Request model_3#1 arrives at 1785118.696276846, sleeping for 0.051323178922757506 seconds
Request model_2#12 arrives at 1785118.748664281, sleeping for 0.008203981444239616 seconds
Request model_2#13 arrives at 1785118.757315071, sleeping for 0.0036676691379398108 seconds
Request model_2#14 arrives at 1785118.761584231, sleeping for 0.062228773487731814 seconds
Request model_2#15 arrives at 1785118.824859271, sleeping for 0.10807377216406167 seconds
Request model_2#16 arrives at 1785118.934190551, sleeping for 0.07857061270624399 seconds
Request model_2#17 arrives at 1785119.013642884, sleeping for 0.11243153712712228 seconds
Request model_2#18 arrives at 1785119.127026432, sleeping for 0.023856732295826077 seconds
Request model_3#2 arrives at 1785119.151343622, sleeping for 0.14620857848785818 seconds
