1787501990.629635054 0, 35722, 1;1, 35738, 2;
1787501993.051682332 0, 35822, 11;1, 35936, 54;
1787501995.287645745 0, 35866, 0;1, 36664, 15;
1787501997.811219907 0, 36102, 30;1, 37376, 49;
1787502000.739127499 0, 36102, 0;1, 37712, 17;
1787502003.777100996 0, 36230, 0;1, 38238, 0;
1787502006.635374263 0, 36486, 0;1, 38624, 0;
1787502009.451136041 0, 36614, 0;1, 38904, 16;
1787502012.272098324 0, 37136, 0;1, 39596, 6;
1787502015.132536131 0, 37358, 0;1, 40282, 0;
1787502017.914576829 0, 37592, 0;1, 41186, 43;
1787502020.714800203 0, 37592, 0;1, 41846, 9;
1787502023.575951120 0, 37592, 0;1, 42614, 0;
1787502026.424325575 0, 37592, 0;1, 43668, 10;
1787502029.235725294 0, 37592, 6;1, 43668, 8;
1787502032.101757070 0, 37674, 12;1, 43694, 19;
1787502034.935755622 0, 38072, 0;1, 44788, 0;
1787502037.767873309 0, 38490, 0;1, 46158, 0;
1787502040.591486836 0, 38600, 8;1, 46312, 12;
1787502043.487130211 0, 39064, 1;1, 47354, 4;
1787502046.304886614 0, 39644, 4;1, 47354, 3;
1787502049.154628908 0, 39644, 15;1, 47352, 46;
1787502052.054877101 0, 40146, 23;1, 55706, 40;
1787502055.078142998 0, 40274, 67;1, 55706, 67;
1787502057.380148324 0, 38378, 0;1, 55706, 0;
1787502060.296004282 0, 38425, 0;1, 55706, 0;
1787502062.736070985 0, 39459, 0;1, 55976, 0;
1787502065.755075016 0, 40171, 0;1, 56110, 4;
1787502068.700017041 0, 41047, 0;1, 55540, 7;
1787502071.661835242 0, 41647, 87;1, 54282, 17;
1787502074.687788807 0, 42595, 94;1, 54626, 90;
1787502076.892384110 0, 43251, 0;1, 54914, 0;
1787502079.399366160 0, 44023, 0;1, 55244, 14;
1787502082.299630419 0, 44501, 0;1, 55492, 0;
1787502085.314031209 0, 45397, 99;1, 55192, 99;
1787502087.540157547 0, 46015, 32;1, 54284, 26;
1787502090.256409955 0, 47037, 19;1, 54284, 7;
1787502092.999943471 0, 47167, 4;1, 54284, 0;
1787502095.843406819 0, 47255, 33;1, 54284, 29;
1787502098.752672953 0, 47727, 58;1, 54284, 35;
1787502101.835810712 0, 48563, 0;1, 54284, 0;
1787502104.907454849 0, 49661, 2;1, 54284, 44;
1787502107.841518981 0, 50665, 12;1, 54284, 0;
1787502110.743426047 0, 51557, 9;1, 69784, 0;
1787502113.771109886 0, 52417, 56;1, 69800, 0;
1787502116.887563208 0, 53885, 92;1, 71586, 97;
1787502119.149010170 0, 54491, 2;1, 72358, 8;
1787502122.020608153 0, 55595, 0;1, 73262, 0;
1787502124.986605048 0, 56913, 0;1, 73852, 16;
1787502127.991016728 0, 66361, 2;1, 71204, 0;
1787502130.969204936 0, 66865, 2;1, 69579, 11;
1787502134.509214866 0, 67361, 56;1, 70193, 36;
1787502136.861335521 0, 67397, 2;1, 70455, 5;
1787502140.004274086 0, 68043, 0;1, 70837, 0;
