Real trace file: /root/Prism-final-regression-diagnosis/exp/results/baseline-readiness/raw/migration-D2/workload/bursty_r20_s1.pkl
[PRISM_DIRECT] 8423 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed1
Generated 8423 requests
Request model_2#0 arrives at 1786859.53323071, sleeping for 0.06031725229695439 seconds
Request model_6#0 arrives at 1786859.59439937, sleeping for 0.05286358646117151 seconds
Request model_5#0 arrives at 1786859.649063795, sleeping for 0.12780876667238772 seconds
Request model_5#1 arrives at 1786859.777850859, sleeping for 0.07052546786144376 seconds
Request model_2#1 arrives at 1786859.848682845, sleeping for 0.06200476293452084 seconds
Request model_2#2 arrives at 1786859.911780958, sleeping for 0.006941954838111997 seconds
Request model_2#3 arrives at 1786859.919003617, sleeping for 0.027826135978102684 seconds
Request model_2#4 arrives at 1786859.947938016, sleeping for 0.08831754606217146 seconds
Request model_3#0 arrives at 1786860.037138908, sleeping for 0.04576145554892719 seconds
Request model_2#5 arrives at 1786860.083411735, sleeping for 0.0035479539074003696 seconds
Request model_2#6 arrives at 1786860.087589784, sleeping for 0.10031110350973904 seconds
Request model_2#7 arrives at 1786860.188549647, sleeping for 0.06446707434952259 seconds
Request model_2#8 arrives at 1786860.253804964, sleeping for 0.07021002122201025 seconds
Request model_2#9 arrives at 1786860.324933592, sleeping for 0.027162818238139153 seconds
Request model_2#10 arrives at 1786860.352998585, sleeping for 0.09944970905780792 seconds
Request model_2#11 arrives at 1786860.453071881, sleeping for 0.11782119981944561 seconds
Request model_5#2 arrives at 1786860.573343347, sleeping for 0.06643309746868908 seconds
Request model_3#1 arrives at 1786860.640496607, sleeping for 0.051975406939163804 seconds
Request model_2#12 arrives at 1786860.694490058, sleeping for 0.007248943438753486 seconds
Request model_2#13 arrives at 1786860.702381102, sleeping for 0.0034730671904981136 seconds
Request model_2#14 arrives at 1786860.706074747, sleeping for 0.0626095465850085 seconds
Request model_2#15 arrives at 1786860.769860335, sleeping for 0.10794439725577831 seconds
Request model_2#16 arrives at 1786860.878995183, sleeping for 0.0786381596699357 seconds
Request model_2#17 arrives at 1786860.958217927, sleeping for 0.11272847326472402 seconds
Request model_2#18 arrives at 1786861.071406894, sleeping for 0.024347509257495403 seconds
Request model_3#2 arrives at 1786861.096212654, sleeping for 0.1462108655832708 seconds
