1787503732.717141481 0, 35388, 0;1, 35402, 0;
1787503735.052185221 0, 35822, 0;1, 35858, 0;
1787503737.862620563 0, 36004, 0;1, 36688, 0;
1787503740.649011660 0, 36092, 0;1, 37508, 16;
1787503743.594636449 0, 36220, 0;1, 37728, 27;
1787503746.397430438 0, 36220, 0;1, 38112, 14;
1787503749.205592574 0, 36476, 6;1, 38384, 0;
1787503752.148070661 0, 36604, 0;1, 39038, 0;
1787503755.148466526 0, 37198, 4;1, 39236, 11;
1787503758.583106020 0, 37454, 45;1, 39634, 77;
1787503761.031723258 0, 37582, 1;1, 40232, 28;
1787503764.253720893 0, 37582, 7;1, 40802, 0;
1787503767.164521513 0, 37710, 7;1, 41042, 0;
1787503770.048270567 0, 37710, 0;1, 42062, 13;
1787503772.891701374 0, 37744, 0;1, 42370, 69;
1787503775.784765152 0, 38334, 0;1, 43790, 14;
1787503778.608305233 0, 38786, 88;1, 44400, 14;
1787503781.596181281 0, 39556, 100;1, 46084, 100;
1787503783.831186865 0, 39556, 14;1, 46560, 25;
1787503786.515119617 0, 39802, 0;1, 47140, 0;
1787503789.456187245 0, 40148, 5;1, 47140, 52;
1787503792.299864473 0, 40292, 100;1, 51006, 47;
1787503794.739065047 0, 39134, 0;1, 51868, 0;
1787503797.025494812 0, 39165, 12;1, 51868, 17;
1787503799.827968448 0, 40285, 32;1, 52116, 50;
1787503802.804706470 0, 40799, 4;1, 52308, 7;
1787503805.890181234 0, 41587, 0;1, 52606, 31;
1787503808.955973145 0, 42209, 71;1, 52834, 63;
1787503811.923670572 0, 42209, 66;1, 53210, 85;
1787503814.966060854 0, 42735, 5;1, 53428, 14;
1787503818.068169684 0, 43343, 4;1, 53740, 10;
1787503821.059745097 0, 43889, 60;1, 52120, 7;
1787503824.103254686 0, 44815, 41;1, 52724, 28;
1787503827.223205350 0, 45455, 94;1, 50314, 99;
1787503829.440804953 0, 45949, 0;1, 50314, 0;
1787503832.144812463 0, 46197, 48;1, 50314, 52;
1787503834.462397062 0, 46435, 2;1, 50314, 0;
1787503837.493337134 0, 46435, 30;1, 50314, 35;
1787503839.728158796 0, 46435, 60;1, 50314, 70;
1787503842.206096603 0, 46435, 43;1, 50314, 28;
1787503845.158825629 0, 47071, 21;1, 50314, 40;
1787503848.240245198 0, 47959, 96;1, 50250, 99;
1787503850.465808626 0, 48475, 8;1, 50362, 0;
1787503852.928929593 0, 49539, 74;1, 65678, 63;
1787503855.901636896 0, 49315, 0;1, 67404, 19;
1787503858.787174221 0, 49691, 0;1, 68376, 25;
1787503861.771111381 0, 50531, 98;1, 69136, 100;
1787503864.195134489 0, 55621, 4;1, 69656, 0;
1787503866.639340167 0, 56695, 0;1, 59438, 0;
1787503869.549045127 0, 57449, 4;1, 60052, 0;
1787503872.498624601 0, 58411, 74;1, 61170, 97;
1787503874.695356620 0, 59165, 0;1, 61842, 0;
1787503877.238226695 0, 60529, 4;1, 62528, 11;
1787503880.179383891 0, 61797, 0;1, 63666, 0;
1787503883.159083831 0, 62839, 68;1, 64646, 0;
1787503886.169100620 0, 63945, 4;1, 65546, 5;
1787503889.327785788 0, 65145, 78;1, 67192, 16;
1787503892.421897523 0, 65685, 97;1, 67976, 98;
1787503894.690937248 0, 69177, 0;1, 69420, 6;
1787503897.342977261 0, 69783, 16;1, 66110, 0;
1787503900.255748322 0, 68727, 0;1, 66454, 6;
1787503903.268966773 0, 69475, 80;1, 66454, 21;
1787503906.347524671 0, 67317, 96;1, 66566, 99;
1787503908.581304474 0, 67785, 4;1, 68846, 9;
1787503911.454346263 0, 71765, 74;1, 70538, 19;
1787503914.939145948 0, 73573, 73;1, 69912, 44;
1787503917.373803779 0, 73577, 0;1, 69794, 7;
1787503920.227021611 0, 73577, 0;1, 69938, 0;
1787503923.244328169 0, 73577, 0;1, 69762, 2;
1787503926.309481825 0, 73779, 0;1, 69572, 45;
1787503929.364320960 0, 73779, 78;1, 69572, 47;
1787503932.288756081 0, 73779, 99;1, 69594, 100;
1787503934.557788576 0, 73779, 21;1, 69768, 3;
1787503937.167683259 0, 74275, 0;1, 69762, 8;
1787503940.173113465 0, 74483, 30;1, 69552, 0;
1787503943.262914430 0, 74483, 100;1, 69538, 100;
1787503945.508283593 0, 74483, 1;1, 69274, 2;
1787503948.312761380 0, 74739, 4;1, 68194, 5;
1787503951.316472185 0, 74867, 50;1, 68306, 14;
1787503954.628012470 0, 75491, 100;1, 68418, 0;
1787503957.765860405 0, 76003, 99;1, 68082, 97;
1787503960.029890015 0, 76003, 0;1, 67028, 0;
1787503962.889238979 0, 76259, 14;1, 67086, 0;
1787503965.864090095 0, 76259, 54;1, 65624, 43;
1787503968.438533535 0, 76259, 0;1, 65736, 4;
1787503970.723431948 0, 76259, 55;1, 64952, 12;
1787503973.725222799 0, 76259, 2;1, 65590, 0;
1787503976.547955662 0, 76259, 100;1, 66188, 34;
1787503979.501572612 0, 76259, 56;1, 66526, 75;
1787503982.161425687 0, 76259, 14;1, 67064, 0;
1787503984.447546199 0, 76259, 0;1, 67708, 0;
1787503987.336839428 0, 76259, 68;1, 67928, 48;
1787503989.791181744 0, 76259, 0;1, 67928, 0;
1787503993.023806668 0, 76259, 40;1, 67928, 43;
1787503995.681572699 0, 76259, 20;1, 68376, 28;
1787503998.197624437 0, 76259, 3;1, 69300, 15;
1787504001.225648238 0, 76259, 95;1, 70168, 46;
1787504003.823814120 0, 76259, 0;1, 70810, 0;
1787504006.377749368 0, 76259, 4;1, 71424, 0;
1787504009.381775354 0, 76259, 100;1, 72296, 97;
1787504011.631507506 0, 76259, 7;1, 72968, 0;
