1787403597.937219389 0, 35724, 1;1, 35738, 1;
1787403600.138249995 0, 35842, 0;1, 35914, 1;
1787403602.564835207 0, 35884, 0;1, 37036, 62;
1787403605.282001048 0, 36120, 0;1, 37586, 37;
1787403608.108435641 0, 36140, 6;1, 37992, 22;
1787403610.939550275 0, 36248, 5;1, 38514, 0;
1787403613.805017561 0, 36564, 6;1, 38852, 0;
1787403616.570435948 0, 36692, 0;1, 39412, 12;
1787403619.414072067 0, 37394, 0;1, 40444, 0;
1787403622.377131210 0, 37542, 0;1, 41024, 0;
1787403625.108700353 0, 37668, 0;1, 41532, 14;
1787403627.855331801 0, 52294, 0;1, 42490, 0;
1787403630.859172788 0, 53898, 84;1, 43928, 9;
1787403633.729794771 0, 53898, 0;1, 42331, 26;
1787403636.009743201 0, 55498, 0;1, 43477, 0;
1787403638.770912446 0, 57450, 0;1, 44241, 0;
1787403641.552049942 0, 59000, 6;1, 44241, 0;
1787403644.414926514 0, 60942, 100;1, 44129, 22;
1787403647.349302522 0, 62260, 11;1, 44129, 0;
1787403650.395961512 0, 63708, 0;1, 43905, 0;
1787403653.468117331 0, 64876, 55;1, 43905, 31;
1787403655.794505112 0, 65556, 0;1, 43791, 0;
1787403658.565157585 0, 67602, 0;1, 45167, 3;
1787403661.520370713 0, 68776, 42;1, 45055, 21;
1787403664.388071940 0, 67967, 32;1, 45055, 0;
1787403667.377358637 0, 69405, 0;1, 45427, 25;
1787403669.922132897 0, 71229, 100;1, 46349, 54;
1787403672.819197748 0, 72785, 5;1, 47787, 1;
1787403675.895571475 0, 74717, 100;1, 47629, 73;
1787403678.722131295 0, 76283, 98;1, 47629, 7;
1787403681.773624704 0, 76909, 32;1, 47629, 0;
1787403685.031966994 0, 76911, 100;1, 47629, 89;
1787403687.524308436 0, 76783, 0;1, 47565, 7;
1787403689.784948330 0, 76527, 48;1, 47389, 8;
1787403692.718568460 0, 73163, 33;1, 47389, 27;
1787403695.235621964 0, 73543, 0;1, 47389, 35;
1787403697.647858996 0, 73545, 0;1, 47261, 0;
1787403700.538129266 0, 73545, 0;1, 47197, 0;
1787403703.518584602 0, 73545, 22;1, 47197, 47;
1787403706.558859210 0, 73545, 98;1, 47197, 99;
1787403708.806383574 0, 73545, 4;1, 47197, 7;
1787403711.331007235 0, 73545, 5;1, 47197, 55;
1787403714.287095935 0, 73545, 4;1, 47289, 22;
1787403716.990584058 0, 73545, 11;1, 63329, 0;
1787403719.771379717 0, 73545, 0;1, 65441, 17;
1787403722.630455187 0, 73545, 4;1, 66947, 0;
1787403725.426620272 0, 73545, 0;1, 68313, 0;
1787403728.243476701 0, 73901, 0;1, 70119, 3;
1787403731.368751158 0, 74185, 11;1, 70887, 18;
1787403733.781906604 0, 74453, 100;1, 71417, 0;
1787403736.713392130 0, 74361, 83;1, 73537, 70;
1787403739.630346012 0, 74361, 48;1, 74097, 54;
1787403742.603522260 0, 74361, 94;1, 74097, 99;
1787403745.507413977 0, 74361, 91;1, 74097, 100;
1787403748.420573859 0, 74361, 64;1, 74097, 56;
1787403751.350267046 0, 74233, 83;1, 73761, 61;
1787403754.252006205 0, 73721, 93;1, 73761, 54;
1787403757.168407086 0, 73593, 72;1, 73761, 60;
1787403760.021784621 0, 73209, 0;1, 73713, 0;
1787403762.957821348 0, 72225, 0;1, 69441, 6;
1787403765.638535502 0, 71673, 5;1, 69403, 0;
1787403768.518559822 0, 69849, 0;1, 69893, 16;
1787403771.458327062 0, 67679, 0;1, 70149, 0;
1787403774.339135195 0, 68667, 0;1, 72637, 13;
1787403777.278197258 0, 74651, 0;1, 73331, 0;
1787403780.078889024 0, 74663, 0;1, 73761, 0;
1787403782.990904074 0, 69587, 0;1, 74321, 18;
1787403785.833768775 0, 69393, 0;1, 74889, 0;
1787403788.728318519 0, 68497, 10;1, 75521, 0;
1787403791.597696595 0, 68611, 0;1, 75991, 0;
1787403794.569788634 0, 67829, 57;1, 76417, 59;
1787403797.571980025 0, 65525, 0;1, 76321, 13;
1787403800.602908017 0, 65525, 0;1, 76875, 0;
1787403803.578414588 0, 65639, 60;1, 76753, 83;
1787403806.642234420 0, 64829, 40;1, 76753, 70;
1787403809.047901638 0, 64589, 48;1, 76753, 0;
1787403812.423736099 0, 64341, 61;1, 76081, 64;
1787403815.372796388 0, 64341, 59;1, 75969, 66;
1787403818.410310751 0, 64341, 17;1, 75849, 33;
1787403821.355657461 0, 64341, 100;1, 75633, 39;
1787403824.384491350 0, 64341, 2;1, 75325, 0;
1787403827.344503563 0, 64341, 32;1, 73923, 0;
1787403830.287557274 0, 64341, 0;1, 73501, 0;
1787403833.270912139 0, 64341, 2;1, 72631, 0;
1787403835.870669818 0, 64341, 2;1, 71461, 0;
1787403838.634215841 0, 64341, 13;1, 69473, 31;
1787403841.254933917 0, 64401, 0;1, 68937, 0;
1787403844.005536607 0, 64469, 0;1, 66897, 0;
1787403846.885839971 0, 64469, 20;1, 64329, 0;
1787403849.758798742 0, 64469, 3;1, 63985, 2;
1787403852.509780472 0, 70645, 0;1, 63425, 68;
1787403855.326055511 0, 72201, 0;1, 63205, 0;
1787403858.174879729 0, 72201, 0;1, 59831, 0;
1787403861.500525497 0, 72201, 27;1, 59606, 49;
1787403864.494365605 0, 72771, 0;1, 60118, 22;
1787403866.760697045 0, 75943, 100;1, 66706, 21;
1787403869.799254466 0, 76289, 100;1, 69608, 98;
1787403872.008314042 0, 76601, 0;1, 69608, 22;
1787403874.733411413 0, 77059, 1;1, 69608, 0;
1787403877.477614818 0, 77059, 3;1, 69610, 0;
1787403880.442871839 0, 77059, 4;1, 69754, 8;
