aborted,accounted,achieved_throughput_req_s,alg2_order_violations,alg2_runtime_events,benchmark_reported_aborted,benchmark_reported_completed,client_errors,completed,deferred_by_cooldown,duration_s,e2e_mean,e2e_p50,e2e_p95,e2e_p99,exposed_downtime_mean_s,exposed_downtime_n,exposed_downtime_p95_s,goodput_req_s,joint_slo_attainment,kv_bytes,kv_gbps,kv_seconds,kv_transfers,migration_decisions,migration_host_fallbacks,migrations_executed,migrations_p2p,offered_requests,offered_throughput_req_s,pipeline_rc,placement_decisions,rejected_by_memory,run,scheduler_cycles,seed,tau,tau_label,tau_suppressed,tpot_mean,tpot_p50,tpot_p95,tpot_p99,tpot_slo_attainment,ttft_mean,ttft_p50,ttft_p95,ttft_p99,ttft_slo_attainment,weight_bytes,weight_gbps,weight_seconds
0,8227,13.161856949834675,0,33344,2,8225,2,8225,21,624.9118214359041,94.79071700995539,65.43775314185768,299.0868005393073,320.5780403113784,,0,,0.1760248345874546,0.01337060897046311,3897495552,0.5291007153694193,7.366264000000001,7,7,0,7,7,8227,13.165057401372628,0,422,65,/root/Prism-final-regression-diagnosis/exp/results/final-evaluation/02-tau-calibration/raw/tau_0p00035/seed_0,113,0,0.00035,0p00035,25,0.28550030291989814,0.19658617675304413,0.7970273256301879,1.6879147048748047,0.0314817065759086,61.082639431799834,1.0868899822235107,277.86176743507383,296.2506916904449,0.29634131518171875,66930675712,14.357917718434305,4.661586521426216
0,8498,14.360743803726775,0,35738,10,8488,10,8488,50,591.05573611008,97.39320642976007,101.79102210199926,263.32694558056534,298.35322171898105,,0,,0.021994541640957595,0.0015297717109908214,5724459008,0.12135679260636,47.170487,9,14,0,10,10,8498,14.377662681912128,0,529,52,/root/Prism-final-regression-diagnosis/exp/results/final-evaluation/02-tau-calibration/raw/tau_0p00035/seed_42,97,42,0.00035,0p00035,28,0.32245202908189924,0.19959294499049363,1.0014552950859053,2.4580856275558487,0.012120498940927277,64.53323885945046,12.152253985404968,246.06303931474685,252.929232711792,0.22216992233466698,64119654400,11.300663803387971,5.673972389195114
0,8227,14.502524827763612,0,33250,0,8227,0,8227,11,567.2805320250336,91.83714843325296,65.94271067995578,229.71789017205592,264.45088343592823,,0,,0.08461422046100077,0.005834447550747538,3547938816,0.6693802345286164,5.300334,4,7,0,7,7,8227,14.502524827763612,0,508,17,/root/Prism-final-regression-diagnosis/exp/results/final-evaluation/02-tau-calibration/raw/tau_0p07/seed_0,106,0,0.07,0p07,128,0.37027345922552496,0.2489470083798681,1.3195391530155116,2.142037737369532,0.01859730156800778,52.34843092659083,0.8354411125183105,191.93654477596283,203.01652069568632,0.28746809286495684,34185585664,12.130732750260252,2.8180973373819143
0,8498,14.0132380367385,0,34472,1,8497,1,8497,14,606.355217667995,95.38717903642612,78.0939834396122,233.16162300565045,267.92156568905114,,0,,0.03793156112098217,0.002706519180983761,1534894080,0.10921870787273599,14.053398999999999,8,10,0,9,9,8498,14.014887235048107,0,607,14,/root/Prism-final-regression-diagnosis/exp/results/final-evaluation/02-tau-calibration/raw/tau_0p07/seed_42,113,42,0.07,0p07,172,0.33598396004962183,0.2416758155450225,1.0072981452119745,1.8898396558894082,0.01576841609790539,56.73289518719366,1.098414659500122,178.494928586483,194.87086647987374,0.23676159096257943,36238803968,11.95042919334482,3.0324269849807024
0,8227,14.422486094991813,0,33373,1,8226,1,8226,14,570.3593642469496,96.68662124218581,87.35219487291761,221.44271517158484,256.45585325243877,,0,,0.08065090692555596,0.005591345569466391,2166026240,0.264095595107097,8.201675,4,9,0,8,8,8227,14.42423937557715,0,513,16,/root/Prism-final-regression-diagnosis/exp/results/final-evaluation/02-tau-calibration/raw/tau_0p10/seed_0,105,0,0.1,0p10,158,0.3959554911420691,0.22595489325643586,1.6093951450453854,2.5714592826366407,0.02017746444633524,58.599998136272085,0.9665431976318359,176.40311892032622,188.02810942649842,0.273732830922572,41117706240,13.280543585307806,3.0960860883351415
0,8498,11.107983628719508,0,34551,0,8498,0,8498,5,765.0353371091187,140.4718782798339,108.2690986605594,368.83986486354837,394.2104899541289,,0,,0.05097803736409282,0.004589315132972464,5585281024,0.2749973842836243,20.310306,3,5,0,4,4,8498,11.107983628719508,0,560,59,/root/Prism-final-regression-diagnosis/exp/results/final-evaluation/02-tau-calibration/raw/tau_0p10/seed_42,138,42,0.1,0p10,130,0.21192233308535635,0.12354935821591112,0.5584244349989083,1.807220858484511,0.01823958578489056,116.19598557469872,86.09206521511078,355.91434990167613,363.86463890075686,0.1632148740880207,37842896896,15.17399945625317,2.4939302920829505
0,8227,13.411777328939714,0,33492,0,8227,0,8227,11,613.416089323815,91.36358743808881,76.64540116512217,215.46651528850197,241.5502198071731,,0,,0.0815107410291705,0.006077549532028686,3326427136,0.22011881289802077,15.111962,5,7,0,7,7,8227,13.411777328939714,0,495,2,/root/Prism-final-regression-diagnosis/exp/results/final-evaluation/02-tau-calibration/raw/tau_0p13/seed_0,112,0,0.13,0p13,193,0.3076276889592803,0.18629672186715263,1.0133686281442642,2.0156020575761797,0.01762489364288319,60.0253995526702,1.0265846252441406,195.2029381275177,208.94830789089204,0.2852801750334265,33766288384,14.631223939346969,2.307823906186968
0,8498,13.586478315335386,0,34551,0,8498,0,8498,4,625.4748142061289,102.53205550340518,80.59918930090498,250.5555135036702,288.3079450682506,,0,,0.023981780975527275,0.0017651212049894093,2227052544,0.13817151861434174,16.118029,3,3,0,3,3,8498,13.586478315335386,0,609,11,/root/Prism-final-regression-diagnosis/exp/results/final-evaluation/02-tau-calibration/raw/tau_0p13/seed_42,114,42,0.13,0p13,196,0.3156566981592922,0.17223156279041654,1.0315473110056839,2.4449864852786174,0.007295834313956225,70.64203379021782,35.07125210762024,190.33535050153725,241.99059350013746,0.2154624617557072,33459431424,16.105939147639255,2.0774591979570687
0,8227,13.540983722412934,0,33241,0,8227,0,8227,0,607.5629487968981,100.74852056210197,80.36960239801556,244.77027753677683,272.5793438940215,,0,,0.1004011191281377,0.007414610429074997,929193984,0.09172473871310503,10.130244,1,1,0,1,1,8227,13.540983722412934,0,531,4,/root/Prism-final-regression-diagnosis/exp/results/final-evaluation/02-tau-calibration/raw/tau_0p171086/seed_0,112,0,0.171086,0p171086,217,0.40254727853133165,0.29380334665377933,1.3672890931367874,2.2544594505429267,0.016530934727118026,57.97474118549537,0.8531887531280518,202.44162521362304,204.50889061450957,0.27312507596936914,6794207232,15.132989281952264,0.44896663213148713
0,8498,13.548857480334123,0,34665,0,8498,0,8498,0,627.2115573091432,98.20386057626615,75.91027682647109,249.99506464789155,283.79589541700204,,0,,0.028698450770300567,0.002118145445987291,1713033216,0.0694427168285506,24.668291999999997,2,2,0,2,2,8498,13.548857480334123,0,601,0,/root/Prism-final-regression-diagnosis/exp/results/final-evaluation/02-tau-calibration/raw/tau_0p171086/seed_42,113,42,0.171086,0p171086,277,0.36358830798632363,0.25714324265205213,1.1014464941856108,2.339000728935004,0.009767004000941397,59.8572303253669,1.0980944633483887,193.38350980281828,204.7823232293129,0.2355848434925865,13588414464,10.212450101825716,1.3305734009481966
