1787469790.438888195 0, 35452, 0;1, 35504, 0;
1787469792.714985684 0, 35820, 0;1, 35862, 0;
1787469795.339747614 0, 36748, 0;1, 36062, 0;
1787469798.047786416 0, 37474, 0;1, 37646, 15;
1787469800.911731439 0, 37782, 3;1, 40152, 38;
1787469803.946076433 0, 36848, 0;1, 40646, 30;
1787469806.479589888 0, 37335, 0;1, 40646, 46;
1787469808.755570738 0, 38685, 0;1, 41030, 0;
1787469811.606107096 0, 39615, 0;1, 41406, 4;
1787469814.400401512 0, 40655, 0;1, 42248, 31;
1787469817.270790853 0, 41903, 0;1, 43062, 25;
1787469820.038140291 0, 42127, 0;1, 43172, 29;
1787469822.933723320 0, 43149, 0;1, 43506, 43;
1787469825.530813055 0, 44133, 0;1, 43736, 3;
1787469828.429948435 0, 45139, 16;1, 43960, 43;
1787469831.320236126 0, 46417, 81;1, 44296, 74;
1787469834.134322884 0, 47463, 0;1, 44408, 0;
1787469837.066216046 0, 48467, 0;1, 44660, 0;
1787469839.995858025 0, 49439, 0;1, 44744, 66;
1787469842.849221542 0, 50407, 0;1, 44744, 71;
1787469845.606912709 0, 49189, 0;1, 45034, 0;
1787469848.733556697 0, 50101, 0;1, 45080, 69;
1787469851.169803505 0, 50731, 0;1, 45080, 0;
1787469853.643288869 0, 51591, 52;1, 45468, 67;
1787469856.579531158 0, 51591, 88;1, 45796, 100;
1787469858.850396601 0, 51335, 0;1, 46320, 30;
1787469861.284183786 0, 51079, 11;1, 46466, 0;
1787469864.209899377 0, 50949, 15;1, 46466, 0;
1787469867.039653084 0, 59381, 0;1, 46748, 29;
1787469869.916761363 0, 59361, 19;1, 47010, 54;
1787469872.630391461 0, 59203, 3;1, 47122, 0;
1787469875.352213349 0, 59205, 72;1, 47140, 0;
1787469878.272109779 0, 58951, 98;1, 47570, 100;
1787469880.494880813 0, 58951, 0;1, 47794, 0;
1787469882.910792068 0, 58877, 25;1, 47996, 96;
1787469885.767923297 0, 58749, 4;1, 48282, 0;
1787469888.701769781 0, 58649, 0;1, 48244, 0;
1787469891.638440357 0, 58871, 38;1, 48238, 22;
1787469894.577370990 0, 58887, 97;1, 46316, 99;
1787469896.752439241 0, 58759, 6;1, 46316, 17;
1787469899.314275324 0, 58775, 4;1, 46908, 2;
1787469901.996112674 0, 61049, 0;1, 47356, 2;
1787469904.806393528 0, 62353, 40;1, 45843, 10;
1787469907.890657235 0, 62763, 4;1, 46245, 44;
1787469910.695339451 0, 63875, 0;1, 46421, 0;
1787469913.444831077 0, 64559, 0;1, 46693, 0;
1787469916.286957315 0, 65185, 9;1, 46917, 45;
1787469918.979096016 0, 65931, 4;1, 47215, 0;
1787469921.760915778 0, 66553, 0;1, 47477, 0;
1787469924.590296137 0, 66989, 3;1, 47365, 67;
1787469927.039601089 0, 67309, 0;1, 47253, 0;
1787469929.965723247 0, 68015, 83;1, 47027, 46;
1787469932.947191552 0, 69179, 0;1, 43557, 3;
1787469935.985480194 0, 74151, 35;1, 43669, 36;
1787469939.040405009 0, 75883, 6;1, 41460, 10;
1787469942.207197520 0, 76071, 0;1, 42044, 0;
1787469944.939765906 0, 76205, 33;1, 42268, 3;
1787469947.969352783 0, 76205, 50;1, 42828, 84;
1787469951.100731828 0, 76103, 100;1, 43164, 99;
1787469953.294088438 0, 76105, 6;1, 43276, 0;
1787469955.627773928 0, 75915, 11;1, 43686, 19;
1787469958.678131751 0, 75885, 9;1, 44646, 1;
1787469961.386352398 0, 75885, 10;1, 44810, 55;
1787469964.222468172 0, 75885, 0;1, 44924, 0;
1787469967.011031705 0, 75757, 0;1, 44924, 35;
1787469969.807782179 0, 75501, 10;1, 51886, 0;
1787469972.738760580 0, 73199, 6;1, 53782, 0;
1787469975.702980654 0, 73041, 0;1, 54268, 2;
1787469978.468282247 0, 73159, 0;1, 54966, 0;
1787469981.307373353 0, 73819, 0;1, 55268, 66;
1787469984.199231463 0, 74839, 51;1, 55612, 40;
1787469987.228840724 0, 74961, 0;1, 55780, 19;
1787469990.387266819 0, 74961, 2;1, 55972, 18;
1787469993.431602465 0, 74961, 39;1, 56044, 27;
1787469996.569131122 0, 75089, 0;1, 56290, 21;
1787469999.572383030 0, 75089, 51;1, 56604, 0;
1787470002.772627183 0, 75089, 27;1, 59568, 69;
1787470005.076069368 0, 75113, 48;1, 60600, 52;
1787470007.597164529 0, 70806, 12;1, 60766, 17;
1787470011.219373636 0, 71208, 0;1, 60868, 11;
1787470013.911163387 0, 71208, 2;1, 60626, 0;
1787470016.892171865 0, 71208, 98;1, 60626, 50;
1787470019.917004647 0, 71320, 29;1, 60514, 0;
1787470023.091203124 0, 71432, 98;1, 59186, 99;
1787470025.390994442 0, 71544, 0;1, 55248, 0;
1787470027.979025745 0, 71544, 0;1, 55412, 15;
1787470031.169045804 0, 71544, 98;1, 55476, 100;
1787470033.404028629 0, 71544, 9;1, 59188, 0;
