1787495661.427981749 0, 35416, 0;1, 35440, 0;
1787495664.238009416 0, 35888, 0;1, 35920, 19;
1787495666.868466755 0, 37140, 0;1, 36426, 30;
1787495669.652713851 0, 37968, 10;1, 36466, 20;
1787495672.368596148 0, 38614, 0;1, 36562, 26;
1787495675.151553060 0, 39418, 0;1, 36696, 0;
1787495677.863480856 0, 40382, 0;1, 36920, 0;
1787495680.638466689 0, 41060, 0;1, 37540, 0;
1787495683.367649416 0, 42110, 0;1, 38318, 0;
1787495686.211637935 0, 43112, 2;1, 38722, 0;
1787495689.017012638 0, 43882, 2;1, 39230, 11;
1787495691.754719427 0, 44590, 0;1, 39342, 9;
1787495694.552298471 0, 45614, 2;1, 42808, 0;
1787495697.360916149 0, 44519, 0;1, 43292, 38;
1787495700.300125345 0, 45593, 0;1, 43740, 0;
1787495702.645597939 0, 46811, 0;1, 43962, 15;
1787495705.539579171 0, 47295, 40;1, 44298, 94;
1787495707.918446120 0, 47671, 0;1, 44410, 0;
1787495710.724169415 0, 48685, 0;1, 44522, 19;
1787495713.475260627 0, 49795, 0;1, 44746, 54;
1787495716.329191866 0, 49167, 0;1, 44856, 0;
1787495719.149244103 0, 50607, 0;1, 44922, 0;
1787495721.947552379 0, 50607, 0;1, 44950, 1;
1787495724.762860668 0, 50037, 0;1, 45042, 0;
1787495727.514236850 0, 49967, 7;1, 45264, 0;
1787495730.798785750 0, 49839, 8;1, 45264, 47;
1787495733.002928510 0, 49455, 0;1, 45264, 43;
1787495735.751949649 0, 49453, 0;1, 45944, 2;
1787495738.539722439 0, 55915, 58;1, 46256, 11;
1787495741.410430922 0, 57697, 0;1, 46538, 100;
1787495744.399970931 0, 57697, 25;1, 46538, 19;
1787495747.267073064 0, 57883, 0;1, 46740, 0;
1787495750.168074476 0, 57883, 0;1, 47076, 0;
1787495753.258188282 0, 57917, 0;1, 47186, 25;
1787495755.522910910 0, 58055, 0;1, 47524, 0;
1787495758.426832954 0, 58271, 0;1, 47806, 1;
1787495761.345396486 0, 58703, 0;1, 46404, 68;
1787495764.157400671 0, 59071, 0;1, 46612, 0;
1787495766.951345731 0, 59215, 1;1, 46612, 98;
1787495769.708972771 0, 59727, 0;1, 46836, 34;
1787495772.531685493 0, 74351, 99;1, 47396, 53;
1787495775.435187941 0, 76339, 50;1, 46638, 62;
1787495778.360506525 0, 76339, 0;1, 44477, 20;
1787495780.787263119 0, 76699, 66;1, 44867, 43;
1787495783.737631138 0, 76865, 100;1, 44803, 64;
1787495786.011032947 0, 76921, 30;1, 44803, 0;
1787495788.650407140 0, 76921, 19;1, 44803, 59;
1787495791.486083634 0, 76921, 0;1, 44355, 0;
1787495794.266940705 0, 77083, 23;1, 40883, 6;
1787495797.015891286 0, 77007, 8;1, 40883, 0;
1787495799.747513678 0, 76299, 19;1, 40883, 16;
1787495802.490983759 0, 76043, 12;1, 40883, 15;
1787495805.193331758 0, 76359, 0;1, 40883, 42;
