1787450641.476184833 0, 35388, 0;1, 35402, 0;
1787450643.713744544 0, 35814, 0;1, 35880, 3;
1787450646.187169389 0, 43728, 0;1, 36432, 9;
1787450648.927369075 0, 44292, 5;1, 34871, 0;
1787450652.490820148 0, 44632, 0;1, 35473, 0;
1787450655.376819304 0, 44994, 10;1, 35963, 0;
1787450658.267340612 0, 45752, 11;1, 36643, 17;
1787450661.104506091 0, 46500, 11;1, 37443, 22;
1787450663.933006443 0, 46500, 32;1, 38049, 0;
1787450666.706750508 0, 46564, 0;1, 38561, 0;
1787450669.490461631 0, 46628, 6;1, 39195, 0;
1787450672.384759396 0, 46958, 12;1, 39781, 0;
1787450675.251695199 0, 46958, 0;1, 40249, 0;
1787450677.996922745 0, 47016, 0;1, 47453, 0;
1787450680.763815906 0, 45158, 0;1, 49815, 0;
1787450683.603294526 0, 45158, 11;1, 50337, 0;
1787450686.435665049 0, 45158, 19;1, 51097, 13;
1787450689.223519363 0, 45158, 0;1, 52253, 8;
1787450691.977734532 0, 45288, 9;1, 52999, 0;
1787450694.859062725 0, 45176, 11;1, 52999, 0;
1787450697.586201643 0, 45064, 0;1, 52999, 6;
1787450700.378899732 0, 45064, 13;1, 49479, 0;
1787450703.079416763 0, 45064, 9;1, 49479, 3;
1787450705.881663887 0, 45064, 2;1, 49479, 27;
1787450708.579880223 0, 45156, 13;1, 49479, 0;
1787450711.343284387 0, 45156, 14;1, 49479, 0;
1787450714.042128978 0, 45156, 13;1, 49479, 0;
1787450716.743784799 0, 45156, 2;1, 49481, 0;
1787450719.483437076 0, 45156, 11;1, 49481, 27;
1787450722.383089497 0, 45156, 23;1, 49481, 24;
1787450725.199696872 0, 45308, 2;1, 49481, 5;
1787450728.187085254 0, 45564, 72;1, 49481, 37;
1787450730.574829248 0, 45680, 2;1, 49481, 0;
1787450733.016728336 0, 46122, 0;1, 49481, 6;
1787450735.871647780 0, 46732, 0;1, 52949, 0;
1787450738.769841865 0, 44815, 18;1, 53207, 14;
1787450741.539986760 0, 52389, 0;1, 53383, 0;
1787450743.863948107 0, 54541, 17;1, 53383, 34;
1787450746.566173427 0, 55149, 10;1, 53863, 0;
1787450749.428331252 0, 55749, 0;1, 54391, 0;
1787450752.262438088 0, 56333, 98;1, 54959, 85;
1787450755.242847059 0, 56719, 69;1, 55175, 22;
