Real trace file: /root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r20_s0.pkl
[PRISM_DIRECT] 8227 requests, span 419.8s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed0
Generated 8227 requests
Request model_3#0 arrives at 1706683.11288349, sleeping for 0.08169612032361329 seconds
Request model_6#0 arrives at 1706683.195088993, sleeping for 0.002446794183924794 seconds
Request model_6#1 arrives at 1706683.197927855, sleeping for 0.02010789979249239 seconds
Request model_6#2 arrives at 1706683.218751688, sleeping for 0.014741168357431889 seconds
Request model_1#0 arrives at 1706683.234555962, sleeping for 0.027005802607163787 seconds
Request model_3#1 arrives at 1706683.262337399, sleeping for 0.1014234940521419 seconds
Request model_1#1 arrives at 1706683.364279697, sleeping for 0.06114467908628285 seconds
Request model_6#3 arrives at 1706683.42605014, sleeping for 0.020845456048846245 seconds
Request model_5#0 arrives at 1706683.447788681, sleeping for 0.027539660222828388 seconds
Request model_6#4 arrives at 1706683.475527318, sleeping for 0.0008922605775296688 seconds
Request model_6#5 arrives at 1706683.477288111, sleeping for 0.032248750794678926 seconds
Request model_6#6 arrives at 1706683.510144888, sleeping for 0.017731978092342615 seconds
Request model_6#7 arrives at 1706683.529893953, sleeping for 0.03770828363485634 seconds
Request model_6#8 arrives at 1706683.568653246, sleeping for 0.028752648504450917 seconds
Request model_1#2 arrives at 1706683.598333608, sleeping for 0.03269879310391843 seconds
Request model_6#9 arrives at 1706683.631998782, sleeping for 0.04999915114603937 seconds
Request model_1#3 arrives at 1706683.682737829, sleeping for 0.009690053528174758 seconds
Request model_1#4 arrives at 1706683.693619154, sleeping for 0.046569142024964094 seconds
Request model_6#10 arrives at 1706683.741179856, sleeping for 0.09716592589393258 seconds
Request model_6#11 arrives at 1706683.83882219, sleeping for 0.0009095312561839819 seconds
Request model_3#2 arrives at 1706683.840487133, sleeping for 0.005814313888549805 seconds
Request model_1#5 arrives at 1706683.847024304, sleeping for 0.06962676136754453 seconds
Request model_1#6 arrives at 1706683.917620297, sleeping for 0.010796310612931848 seconds
Request model_6#12 arrives at 1706683.929462009, sleeping for 0.010593476239591837 seconds
Request model_6#13 arrives at 1706683.940205603, sleeping for 0.018522241851314902 seconds
Request model_6#14 arrives at 1706683.959937707, sleeping for 0.09292142488993704 seconds
Request model_6#15 arrives at 1706684.053901813, sleeping for 0.1453554544132203 seconds
Request model_6#16 arrives at 1706684.201582098, sleeping for 0 seconds
Request model_6#17 arrives at 1706684.202277214, sleeping for 0.011409209575504065 seconds
Request model_6#18 arrives at 1706684.214801011, sleeping for 0.04943987773731351 seconds
Request model_6#19 arrives at 1706684.265091645, sleeping for 0.04363954090513289 seconds
Request model_6#20 arrives at 1706684.309021139, sleeping for 0.029496859293431044 seconds
Request model_6#21 arrives at 1706684.338879722, sleeping for 0.007336635375395417 seconds
Request model_6#22 arrives at 1706684.346683173, sleeping for 0.09638711623847485 seconds
Request model_6#23 arrives at 1706684.443490361, sleeping for 0.21823114668950438 seconds
Request model_6#24 arrives at 1706684.662696565, sleeping for 0.023945580469444394 seconds
Request model_1#7 arrives at 1706684.687880262, sleeping for 0.08264402998611331 seconds
Request model_3#3 arrives at 1706684.770928453, sleeping for 0.010416792705655098 seconds
Request model_6#25 arrives at 1706684.781872818, sleeping for 0.03862086613662541 seconds
Request model_6#26 arrives at 1706684.820768522, sleeping for 0.008520648116245866 seconds
Request model_6#27 arrives at 1706684.829579331, sleeping for 0.03592953784391284 seconds
Request model_6#28 arrives at 1706684.867491098, sleeping for 0.01626116898842156 seconds
Request model_3#4 arrives at 1706684.884261709, sleeping for 0.0012659940402954817 seconds
Request model_6#29 arrives at 1706684.886024233, sleeping for 0.060018017422407866 seconds
Request model_6#30 arrives at 1706684.946529646, sleeping for 0.09551837877370417 seconds
Request model_6#31 arrives at 1706685.042329486, sleeping for 0.030063692945986986 seconds
Request model_5#1 arrives at 1706685.073094587, sleeping for 5.8249570429325104e-05 seconds
Request model_1#8 arrives at 1706685.073691841, sleeping for 0.027592331869527698 seconds
Request model_1#9 arrives at 1706685.101559469, sleeping for 0.07206368143670261 seconds
Request model_6#32 arrives at 1706685.174390269, sleeping for 0.07141526089981198 seconds
Request model_6#33 arrives at 1706685.247205539, sleeping for 0.02716175653040409 seconds
Request model_6#34 arrives at 1706685.274975896, sleeping for 0.03616033401340246 seconds
Request model_3#5 arrives at 1706685.312758121, sleeping for 0 seconds
Request model_6#35 arrives at 1706685.313109294, sleeping for 0.026997973443940282 seconds
Request model_6#36 arrives at 1706685.341087652, sleeping for 0.02144978824071586 seconds
Request model_1#10 arrives at 1706685.362841103, sleeping for 0.07555139111354947 seconds
Request model_1#11 arrives at 1706685.438657836, sleeping for 0.043970856349915266 seconds
Request model_1#12 arrives at 1706685.483660398, sleeping for 0.06000986695289612 seconds
Request model_6#37 arrives at 1706685.544845696, sleeping for 0.043540678918361664 seconds
Request model_1#13 arrives at 1706685.588611239, sleeping for 0.0007648905739188194 seconds
Request model_6#38 arrives at 1706685.590479964, sleeping for 0.05085168685764074 seconds
Request model_6#39 arrives at 1706685.641774935, sleeping for 1.713912934064865e-05 seconds
Request model_6#40 arrives at 1706685.642148348, sleeping for 0.03511872258968651 seconds
Request model_1#14 arrives at 1706685.677890217, sleeping for 0.053828725358471274 seconds
Request model_6#41 arrives at 1706685.732477754, sleeping for 0.047820997424423695 seconds
Request model_6#42 arrives at 1706685.78050518, sleeping for 0.058518209494650364 seconds
Request model_3#6 arrives at 1706685.8393282, sleeping for 0.03824040782637894 seconds
Request model_6#43 arrives at 1706685.877963802, sleeping for 0.06699854135513306 seconds
