1787465825.982976856 0, 35388, 0;1, 35402, 0;
1787465828.215026641 0, 35818, 0;1, 35862, 0;
1787465830.757884557 0, 41740, 0;1, 34334, 2;
1787465833.444246267 0, 41924, 0;1, 34505, 0;
1787465835.953959716 0, 42782, 2;1, 35201, 42;
1787465838.755379369 0, 43452, 2;1, 35203, 0;
1787465841.526214835 0, 44028, 0;1, 35315, 7;
1787465844.410750621 0, 44728, 6;1, 35985, 0;
1787465847.255574051 0, 45280, 0;1, 36671, 40;
1787465849.921722598 0, 45732, 8;1, 37081, 0;
1787465852.611008519 0, 46602, 10;1, 37515, 39;
1787465855.465819872 0, 47238, 2;1, 37627, 12;
1787465858.320646109 0, 47844, 0;1, 37851, 63;
1787465861.142029577 0, 48486, 0;1, 45727, 38;
1787465863.943705572 0, 47500, 4;1, 46427, 53;
1787465866.788206767 0, 48058, 6;1, 46427, 0;
1787465869.543671592 0, 48606, 2;1, 46427, 22;
1787465872.412978820 0, 49210, 12;1, 46427, 41;
1787465875.187177887 0, 49916, 6;1, 46427, 6;
1787465877.936430420 0, 50648, 2;1, 46427, 9;
1787465880.710881673 0, 51484, 0;1, 44663, 0;
1787465883.520218439 0, 52476, 0;1, 44663, 9;
1787465886.312681140 0, 53324, 7;1, 44663, 66;
1787465889.202021914 0, 53886, 0;1, 44755, 52;
1787465892.044771453 0, 54876, 2;1, 48359, 88;
1787465894.861138146 0, 53655, 2;1, 48699, 28;
1787465898.015671010 0, 54771, 3;1, 51265, 17;
1787465900.470762628 0, 55437, 2;1, 55607, 0;
1787465903.589446381 0, 55869, 97;1, 57515, 99;
1787465905.772355909 0, 55869, 2;1, 57615, 9;
1787465908.106927624 0, 55869, 0;1, 57779, 12;
1787465911.060223206 0, 56069, 56;1, 57779, 71;
1787465913.981253483 0, 56181, 58;1, 58099, 48;
1787465917.012881661 0, 56181, 71;1, 58979, 51;
1787465920.155454250 0, 56181, 0;1, 59307, 0;
1787465923.190684327 0, 56181, 0;1, 59573, 0;
1787465926.158396086 0, 67461, 0;1, 59279, 0;
1787465929.214399687 0, 66425, 3;1, 56293, 8;
1787465932.067458035 0, 66425, 0;1, 56481, 0;
1787465934.946906871 0, 66425, 41;1, 56581, 0;
1787465937.887245140 0, 66811, 0;1, 57029, 0;
1787465940.865980914 0, 67779, 83;1, 57125, 48;
1787465943.905085296 0, 68005, 100;1, 57573, 99;
1787465946.095161075 0, 68077, 0;1, 57685, 0;
1787465948.667700826 0, 68263, 0;1, 57685, 5;
1787465951.569558822 0, 68453, 18;1, 57685, 1;
1787465954.458092446 0, 68731, 0;1, 61445, 23;
1787465957.274845297 0, 69259, 3;1, 72869, 8;
1787465960.080974070 0, 69681, 0;1, 72869, 11;
1787465962.990204781 0, 70397, 5;1, 72369, 7;
1787465966.751181798 0, 68387, 2;1, 69381, 3;
1787465969.000512517 0, 67814, 8;1, 69317, 0;
1787465972.511407327 0, 68708, 0;1, 70343, 0;
1787465974.770368184 0, 69030, 2;1, 70635, 0;
1787465977.986314965 0, 69348, 42;1, 70863, 70;
1787465980.291031966 0, 69512, 0;1, 71009, 0;
1787465983.095422126 0, 70270, 0;1, 71615, 0;
1787465986.023263878 0, 71058, 2;1, 72161, 0;
1787465988.927330543 0, 71838, 0;1, 72719, 0;
1787465991.820224217 0, 72654, 0;1, 68517, 0;
1787465994.681747666 0, 73444, 0;1, 63005, 0;
1787465997.578221329 0, 73700, 0;1, 69759, 0;
1787466000.528369791 0, 71558, 0;1, 75429, 8;
1787466003.287964871 0, 71978, 28;1, 75563, 0;
1787466005.795447843 0, 71978, 0;1, 75953, 0;
1787466008.665500627 0, 71978, 0;1, 76309, 0;
1787466011.612618008 0, 71978, 6;1, 76567, 32;
1787466014.491083023 0, 71722, 56;1, 76513, 70;
1787466017.493825327 0, 71722, 55;1, 76539, 0;
1787466020.563111319 0, 71722, 8;1, 76715, 12;
1787466024.486459640 0, 71722, 38;1, 76715, 21;
1787466026.912090051 0, 71594, 0;1, 76939, 0;
1787466029.766298721 0, 71338, 0;1, 76939, 18;
1787466032.728180882 0, 71338, 0;1, 76939, 50;
1787466035.558761806 0, 71338, 23;1, 77051, 0;
1787466038.495713208 0, 71210, 47;1, 77051, 62;
1787466041.418653870 0, 70826, 30;1, 77051, 23;
1787466044.036760060 0, 70570, 12;1, 77051, 64;
1787466046.280811556 0, 70442, 0;1, 77051, 0;
1787466049.097403054 0, 70314, 8;1, 76939, 41;
1787466052.106621232 0, 70058, 51;1, 76497, 42;
1787466054.648630442 0, 70058, 1;1, 76635, 0;
1787466057.391380178 0, 70058, 54;1, 76859, 71;
1787466059.770438343 0, 70058, 2;1, 76971, 19;
1787466062.403755374 0, 69930, 0;1, 76971, 25;
1787466065.216002872 0, 69930, 90;1, 77083, 41;
1787466068.234611264 0, 69930, 34;1, 77083, 89;
1787466071.285970640 0, 69802, 89;1, 77083, 100;
1787466073.507744151 0, 69802, 0;1, 77083, 37;
1787466076.086359781 0, 69802, 0;1, 77083, 0;
1787466078.912053209 0, 69802, 0;1, 77083, 2;
1787466081.901495346 0, 69674, 0;1, 77083, 0;
1787466084.797072207 0, 69256, 0;1, 77083, 0;
1787466087.659309196 0, 68650, 0;1, 77083, 56;
1787466090.583893335 0, 68650, 0;1, 76903, 0;
1787466093.495796177 0, 68650, 0;1, 77047, 0;
1787466096.328078000 0, 68394, 24;1, 76935, 46;
1787466099.293691296 0, 74726, 0;1, 76935, 0;
1787466102.332747927 0, 76440, 98;1, 76935, 25;
1787466105.442069067 0, 75964, 97;1, 77047, 99;
1787466107.630804448 0, 76162, 49;1, 76935, 27;
1787466110.319365037 0, 76306, 0;1, 75991, 39;
1787466113.257314155 0, 76178, 0;1, 76103, 0;
1787466116.198958286 0, 76050, 0;1, 76731, 0;
1787466119.224541704 0, 76324, 8;1, 76919, 19;
1787466122.176251832 0, 75848, 0;1, 77063, 6;
1787466125.015215925 0, 75672, 0;1, 77063, 0;
1787466127.928759461 0, 74058, 57;1, 77063, 64;
1787466130.906455177 0, 74058, 89;1, 77063, 68;
1787466133.282776182 0, 74194, 2;1, 77063, 22;
1787466136.560054486 0, 73946, 18;1, 77063, 10;
1787466139.413148626 0, 73946, 99;1, 77063, 100;
1787466141.631030080 0, 73946, 5;1, 77063, 0;
1787466144.292313948 0, 73946, 14;1, 77063, 0;
1787466147.461492810 0, 73690, 16;1, 77063, 15;
1787466150.330813512 0, 73690, 0;1, 76615, 24;
1787466153.265090299 0, 73690, 17;1, 76615, 70;
1787466156.256075966 0, 73690, 39;1, 76727, 48;
1787466159.202956932 0, 73690, 0;1, 76697, 0;
1787466162.182484719 0, 73286, 0;1, 76651, 29;
1787466165.200114449 0, 73548, 16;1, 76041, 2;
1787466168.013564898 0, 73624, 0;1, 75375, 10;
1787466171.032031024 0, 73712, 0;1, 75603, 0;
1787466173.664504543 0, 73564, 0;1, 75751, 2;
1787466176.575219770 0, 73694, 0;1, 76027, 0;
1787466179.503191389 0, 73862, 10;1, 76201, 0;
1787466182.503066543 0, 73498, 0;1, 76469, 19;
1787466185.387309992 0, 72954, 51;1, 76535, 38;
1787466188.458456222 0, 72746, 94;1, 76647, 51;
1787466191.517894286 0, 72748, 26;1, 76647, 50;
1787466194.610830015 0, 72364, 53;1, 76647, 68;
1787466197.628011470 0, 71980, 99;1, 76647, 52;
1787466200.653948109 0, 72124, 99;1, 76759, 100;
1787466202.837700332 0, 69820, 46;1, 75975, 28;
1787466205.292611310 0, 69914, 0;1, 76125, 18;
1787466208.138489997 0, 74016, 99;1, 76231, 70;
1787466210.590293160 0, 74848, 21;1, 76187, 22;
1787466213.831528275 0, 74848, 8;1, 67700, 15;
1787466217.499010539 0, 75118, 0;1, 68290, 3;
1787466220.409970077 0, 75280, 4;1, 68738, 25;
1787466223.199996987 0, 75668, 0;1, 68738, 0;
1787466225.973574298 0, 75892, 0;1, 68962, 0;
1787466228.761221557 0, 75892, 0;1, 69226, 0;
1787466231.667468128 0, 75894, 0;1, 69522, 7;
1787466234.507760549 0, 76262, 0;1, 69666, 21;
1787466237.313543021 0, 76758, 13;1, 69746, 0;
1787466240.115466363 0, 76886, 15;1, 69746, 0;
1787466242.939190681 0, 76886, 15;1, 69942, 3;
1787466245.731191974 0, 76710, 0;1, 70210, 27;
1787466248.524167422 0, 75782, 0;1, 70530, 0;
1787466251.353269386 0, 75782, 0;1, 70754, 40;
1787466254.212569002 0, 75836, 0;1, 70978, 0;
1787466257.124072017 0, 76460, 51;1, 71314, 34;
1787466260.111109809 0, 76280, 54;1, 71538, 44;
1787466263.158541192 0, 76672, 60;1, 71538, 59;
1787466266.164414463 0, 76672, 60;1, 71538, 58;
1787466268.678400974 0, 76784, 0;1, 71538, 62;
1787466271.022360495 0, 77008, 0;1, 71538, 0;
1787466273.899735530 0, 77008, 20;1, 71538, 0;
1787466276.807361026 0, 76742, 0;1, 71538, 50;
1787466279.707247061 0, 77082, 5;1, 71538, 16;
1787466282.681149720 0, 72774, 0;1, 71538, 0;
1787466285.595011368 0, 72908, 0;1, 71538, 0;
1787466288.872302490 0, 72998, 77;1, 71314, 14;
1787466291.163556605 0, 72998, 0;1, 68796, 0;
1787466294.115801043 0, 73222, 25;1, 65378, 0;
1787466296.882382296 0, 73222, 0;1, 65378, 0;
1787466299.714775669 0, 73222, 0;1, 59930, 0;
1787466302.587027595 0, 73316, 17;1, 61834, 0;
1787466305.362892527 0, 74076, 0;1, 65862, 0;
1787466308.095733673 0, 75588, 0;1, 58670, 0;
1787466310.850345184 0, 72693, 5;1, 58670, 0;
1787466313.717195048 0, 73083, 8;1, 61396, 0;
1787466316.494893375 0, 73083, 29;1, 61606, 0;
1787466319.134304992 0, 73083, 0;1, 63106, 18;
1787466322.072685640 0, 69809, 0;1, 63178, 0;
1787466324.846218627 0, 65595, 0;1, 62842, 9;
1787466327.708687908 0, 63919, 0;1, 62346, 24;
1787466330.484677503 0, 63919, 0;1, 51016, 0;
1787466333.294545437 0, 63919, 0;1, 50848, 0;
1787466336.003374275 0, 63919, 0;1, 50848, 0;
1787466338.810912851 0, 63919, 0;1, 50848, 0;
1787466341.551502172 0, 63919, 0;1, 50848, 0;
1787466344.304738619 0, 63919, 0;1, 50848, 0;
1787466346.548646556 0, 63919, 0;1, 50848, 0;
1787466348.773648845 0, 63919, 0;1, 50848, 0;
1787466350.978642057 0, 63919, 0;1, 50848, 0;
1787466353.244422712 0, 63919, 0;1, 50848, 0;
1787466355.462450701 0, 63919, 0;1, 50848, 0;
1787466357.711698219 0, 63919, 0;1, 50848, 0;
1787466359.918466222 0, 63919, 0;1, 50848, 0;
1787466362.109844982 0, 63919, 0;1, 50848, 0;
1787466364.434310220 0, 63919, 0;1, 50848, 0;
1787466366.675603876 0, 63919, 0;1, 50848, 0;
1787466368.872691493 0, 63919, 0;1, 50848, 0;
1787466371.107420827 0, 63919, 0;1, 50848, 0;
1787466373.336036969 0, 63919, 0;1, 50848, 0;
1787466375.544222223 0, 63919, 0;1, 50848, 0;
1787466377.755002931 0, 63919, 0;1, 50848, 0;
1787466379.960193661 0, 63919, 0;1, 50848, 0;
1787466382.200297239 0, 63919, 0;1, 50848, 0;
1787466384.400078287 0, 63919, 0;1, 50848, 0;
1787466386.630249469 0, 63919, 0;1, 50848, 0;
1787466388.867650800 0, 63919, 0;1, 50848, 0;
1787466391.096240479 0, 63919, 0;1, 50848, 0;
1787466393.307540652 0, 63919, 0;1, 50848, 0;
1787466395.527844818 0, 63919, 0;1, 50848, 0;
1787466397.756859264 0, 63919, 0;1, 50848, 0;
1787466400.006541140 0, 63919, 0;1, 50848, 0;
1787466402.208039000 0, 63919, 0;1, 50848, 0;
1787466404.414492330 0, 63919, 0;1, 50848, 0;
1787466406.635474976 0, 63919, 0;1, 50848, 0;
1787466408.855322477 0, 63919, 0;1, 50848, 0;
1787466411.082635859 0, 63919, 0;1, 50848, 0;
1787466413.284327494 0, 63919, 0;1, 50848, 0;
1787466415.520352761 0, 63919, 0;1, 50848, 0;
1787466417.742978872 0, 63919, 0;1, 50848, 0;
1787466419.990811857 0, 63919, 0;1, 50848, 0;
1787466422.231259931 0, 63919, 0;1, 50848, 0;
1787466424.585959435 0, 63919, 0;1, 50848, 0;
1787466426.799465117 0, 63919, 0;1, 50848, 0;
1787466431.111952052 0, 63919, 0;1, 50848, 0;
1787466433.336353082 0, 63919, 0;1, 50848, 0;
1787466435.554796811 0, 63919, 0;1, 50848, 0;
