Real trace file: /root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r20_s0.pkl
[PRISM_DIRECT] 8227 requests, span 419.8s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed0
Generated 8227 requests
Request model_3#0 arrives at 1753706.742862015, sleeping for 0.08169520017690957 seconds
Request model_6#0 arrives at 1753706.825062992, sleeping for 0.0024496400728821754 seconds
Request model_6#1 arrives at 1753706.827927785, sleeping for 0.02008481463417411 seconds
Request model_6#2 arrives at 1753706.848497164, sleeping for 0.014972917269915342 seconds
Request model_1#0 arrives at 1753706.864068635, sleeping for 0.027470454340800643 seconds
Request model_3#1 arrives at 1753706.891870351, sleeping for 0.10186794679611921 seconds
Request model_1#1 arrives at 1753706.99496363, sleeping for 0.06043867114931345 seconds
Request model_6#3 arrives at 1753707.056079964, sleeping for 0.020793706877157092 seconds
Request model_5#0 arrives at 1753707.077985664, sleeping for 0.02731997217051685 seconds
Request model_6#4 arrives at 1753707.105652218, sleeping for 0.0007442552596330643 seconds
Request model_6#5 arrives at 1753707.107359281, sleeping for 0.03215460549108684 seconds
Request model_6#6 arrives at 1753707.140144405, sleeping for 0.017710225889459252 seconds
Request model_6#7 arrives at 1753707.158116815, sleeping for 0.039462656481191516 seconds
Request model_6#8 arrives at 1753707.197969574, sleeping for 0.029413295444101095 seconds
Request model_1#2 arrives at 1753707.227958386, sleeping for 0.03305130987428129 seconds
Request model_6#9 arrives at 1753707.261850369, sleeping for 0.05012506898492575 seconds
Request model_1#3 arrives at 1753707.312825994, sleeping for 0.009580143261700869 seconds
Request model_1#4 arrives at 1753707.324029331, sleeping for 0.04613654990680516 seconds
Request model_6#10 arrives at 1753707.370753433, sleeping for 0.09757003374397755 seconds
Request model_6#11 arrives at 1753707.469504888, sleeping for 0.000203968258574605 seconds
Request model_3#2 arrives at 1753707.469923822, sleeping for 0.0063550397753715515 seconds
Request model_1#5 arrives at 1753707.476644014, sleeping for 0.06998430611565709 seconds
Request model_1#6 arrives at 1753707.547326342, sleeping for 0.01106727053411305 seconds
Request model_6#12 arrives at 1753707.559051563, sleeping for 0.01098089711740613 seconds
Request model_6#13 arrives at 1753707.571061646, sleeping for 0.017643143655732274 seconds
Request model_6#14 arrives at 1753707.591330643, sleeping for 0.09150653355754912 seconds
Request model_6#15 arrives at 1753707.683599838, sleeping for 0.1456352141685784 seconds
Request model_6#16 arrives at 1753707.829852962, sleeping for 0.001325137447565794 seconds
Request model_6#17 arrives at 1753707.831611746, sleeping for 0.01205130247399211 seconds
Request model_6#18 arrives at 1753707.844554846, sleeping for 0.049662407487630844 seconds
Request model_6#19 arrives at 1753707.89531507, sleeping for 0.04339288058690727 seconds
Request model_6#20 arrives at 1753707.939477942, sleeping for 0.02901709103025496 seconds
Request model_6#21 arrives at 1753707.969336613, sleeping for 0.00685678911395371 seconds
Request model_6#22 arrives at 1753707.977020833, sleeping for 0.09602648112922907 seconds
Request model_6#23 arrives at 1753708.073830314, sleeping for 0.21786826848983765 seconds
Request model_6#24 arrives at 1753708.292778821, sleeping for 0.023840779438614845 seconds
Request model_1#7 arrives at 1753708.316900987, sleeping for 0.08360055997036397 seconds
Request model_3#3 arrives at 1753708.400861098, sleeping for 0.010462082456797361 seconds
Request model_6#25 arrives at 1753708.412586289, sleeping for 0.03788531990721822 seconds
Request model_6#26 arrives at 1753708.45134193, sleeping for 0.007924944860860705 seconds
Request model_6#27 arrives at 1753708.460132537, sleeping for 0.0353540969081223 seconds
Request model_6#28 arrives at 1753708.496138247, sleeping for 0.01759197493083775 seconds
Request model_3#4 arrives at 1753708.514899782, sleeping for 0.0006058858707547188 seconds
Request model_6#29 arrives at 1753708.51588834, sleeping for 0.06013174541294575 seconds
Request model_6#30 arrives at 1753708.577269755, sleeping for 0.09475622465834022 seconds
Request model_6#31 arrives at 1753708.672550344, sleeping for 0.029820569790899754 seconds
Request model_5#1 arrives at 1753708.702795828, sleeping for 0.00033508334308862686 seconds
Request model_1#8 arrives at 1753708.703580715, sleeping for 0.027680822648108006 seconds
Request model_1#9 arrives at 1753708.731983544, sleeping for 0.07161746127530932 seconds
Request model_6#32 arrives at 1753708.805252562, sleeping for 0.07053077290765941 seconds
Request model_6#33 arrives at 1753708.876535615, sleeping for 0.02780963433906436 seconds
Request model_6#34 arrives at 1753708.904683853, sleeping for 0.03643038193695247 seconds
Request model_3#5 arrives at 1753708.94295789, sleeping for 0 seconds
Request model_6#35 arrives at 1753708.943544824, sleeping for 0.026540238177403808 seconds
Request model_6#36 arrives at 1753708.972120566, sleeping for 0.020394739229232073 seconds
Request model_1#10 arrives at 1753708.99335189, sleeping for 0.07501821918413043 seconds
Request model_1#11 arrives at 1753709.069620361, sleeping for 0.042985956417396665 seconds
Request model_1#12 arrives at 1753709.113032698, sleeping for 0.0606151616666466 seconds
Request model_6#37 arrives at 1753709.174301723, sleeping for 0.044062756933271885 seconds
Request model_1#13 arrives at 1753709.219562604, sleeping for 0 seconds
Request model_6#38 arrives at 1753709.220150488, sleeping for 0.05115938768722117 seconds
Request model_6#39 arrives at 1753709.293178494, sleeping for 0 seconds
Request model_6#40 arrives at 1753709.29392821, sleeping for 0.013316215481609106 seconds
Request model_1#14 arrives at 1753709.308896855, sleeping for 0.052800392266362906 seconds
Request model_6#41 arrives at 1753709.363034145, sleeping for 0.04724609130062163 seconds
Request model_6#42 arrives at 1753709.411073177, sleeping for 0.05792797729372978 seconds
Request model_3#6 arrives at 1753709.469377119, sleeping for 0.03816952370107174 seconds
Request model_6#43 arrives at 1753709.508628374, sleeping for 0.06631223415024579 seconds
