Real trace file: /root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r20_s42.pkl
[PRISM_DIRECT] 8498 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed42
Generated 8498 requests
Request model_5#0 arrives at 1778788.359572098, sleeping for 0.0786920958198607 seconds
Request model_5#1 arrives at 1778788.438800489, sleeping for 0.027716926066204906 seconds
Request model_1#0 arrives at 1778788.467145353, sleeping for 0.039778906386345625 seconds
Request model_5#2 arrives at 1778788.507142816, sleeping for 0.02780273766256869 seconds
Request model_6#0 arrives at 1778788.535784652, sleeping for 0.02994043449871242 seconds
Request model_6#1 arrives at 1778788.566737693, sleeping for 0.25977848772890866 seconds
Request model_5#3 arrives at 1778788.827400424, sleeping for 0.08579285629093647 seconds
Request model_5#4 arrives at 1778788.913538512, sleeping for 0.28456372395157814 seconds
Request model_3#0 arrives at 1778789.199273364, sleeping for 0.02526920149102807 seconds
Request model_5#5 arrives at 1778789.225268562, sleeping for 0.0691651520319283 seconds
Request model_6#2 arrives at 1778789.29529227, sleeping for 0.027153503382578492 seconds
Request model_1#1 arrives at 1778789.323596974, sleeping for 0.044904065784066916 seconds
Request model_5#6 arrives at 1778789.368910313, sleeping for 0.03990851645357907 seconds
Request model_5#7 arrives at 1778789.409349909, sleeping for 0.029104496585205197 seconds
Request model_3#1 arrives at 1778789.439618786, sleeping for 0.09879850968718529 seconds
Request model_5#8 arrives at 1778789.538955325, sleeping for 0.06695754174143076 seconds
Request model_5#9 arrives at 1778789.606263995, sleeping for 0.05251924740150571 seconds
Request model_5#10 arrives at 1778789.660555225, sleeping for 0.08918316382914782 seconds
Request model_5#11 arrives at 1778789.750849762, sleeping for 0.026997101493179798 seconds
Request model_6#3 arrives at 1778789.779290606, sleeping for 0.06863111048005521 seconds
Request model_5#12 arrives at 1778789.849285325, sleeping for 0.010199697921052575 seconds
Request model_5#13 arrives at 1778789.861131405, sleeping for 0.2667087046429515 seconds
Request model_2#0 arrives at 1778790.128687893, sleeping for 0.11781047703698277 seconds
Request model_5#14 arrives at 1778790.247044612, sleeping for 0.08620341867208481 seconds
Request model_5#15 arrives at 1778790.333914795, sleeping for 0.004652485251426697 seconds
Request model_5#16 arrives at 1778790.339205781, sleeping for 0 seconds
Request model_3#2 arrives at 1778790.339787585, sleeping for 0.1411683999467641 seconds
Request model_5#17 arrives at 1778790.481482253, sleeping for 0.007036189548671246 seconds
Request model_5#18 arrives at 1778790.48974048, sleeping for 0 seconds
Request model_5#19 arrives at 1778790.490551215, sleeping for 0.10046381806023419 seconds
Request model_5#20 arrives at 1778790.592145019, sleeping for 0.048412430100142956 seconds
Request model_6#4 arrives at 1778790.641478656, sleeping for 0.2024881646502763 seconds
Request model_5#21 arrives at 1778790.844886486, sleeping for 0.018285870319232345 seconds
Request model_5#22 arrives at 1778790.865236435, sleeping for 0.003156345570459962 seconds
Request model_5#23 arrives at 1778790.869496744, sleeping for 0.01849376386962831 seconds
Request model_5#24 arrives at 1778790.889903663, sleeping for 0.013697212561964989 seconds
Request model_6#5 arrives at 1778790.905144897, sleeping for 0.004343581618741155 seconds
Request model_6#6 arrives at 1778790.910394623, sleeping for 0.010574328014627099 seconds
Request model_5#25 arrives at 1778790.921587189, sleeping for 0.009025204228237271 seconds
Request model_2#1 arrives at 1778790.932255853, sleeping for 0.042790868785232306 seconds
Request model_5#26 arrives at 1778790.975999111, sleeping for 0.002192012732848525 seconds
Request model_2#2 arrives at 1778790.978675609, sleeping for 0.02832591300830245 seconds
Request model_5#27 arrives at 1778791.007324255, sleeping for 0.02822119533084333 seconds
Request model_5#28 arrives at 1778791.035980021, sleeping for 0.0187384111341089 seconds
Request model_1#2 arrives at 1778791.055663955, sleeping for 0.02086920477449894 seconds
Request model_2#3 arrives at 1778791.077331823, sleeping for 0.009676019428297877 seconds
Request model_3#3 arrives at 1778791.088649851, sleeping for 0.023192433174699545 seconds
Request model_5#29 arrives at 1778791.112302273, sleeping for 0.05181063571944833 seconds
Request model_3#4 arrives at 1778791.1660672, sleeping for 0.001219610683619976 seconds
Request model_6#7 arrives at 1778791.168075743, sleeping for 0.06739541003480554 seconds
Request model_5#30 arrives at 1778791.236875513, sleeping for 0.0989535462576896 seconds
Request model_5#31 arrives at 1778791.336156221, sleeping for 0.010473725153133273 seconds
Request model_2#4 arrives at 1778791.347314248, sleeping for 0.04676827020011842 seconds
Request model_5#32 arrives at 1778791.39601816, sleeping for 0.06371448980644345 seconds
Request model_3#5 arrives at 1778791.460741032, sleeping for 0.010537773137912154 seconds
Request model_5#33 arrives at 1778791.472751154, sleeping for 0.15497095556929708 seconds
Request model_5#34 arrives at 1778791.628543208, sleeping for 0.13307008612900972 seconds
Request model_1#3 arrives at 1778791.762317692, sleeping for 0.025263994932174683 seconds
Request model_5#35 arrives at 1778791.788077698, sleeping for 0.02932316856458783 seconds
Request model_6#8 arrives at 1778791.817730191, sleeping for 0.012449456844478846 seconds
Request model_5#36 arrives at 1778791.830404687, sleeping for 0.046308082761242986 seconds
Request model_5#37 arrives at 1778791.877058486, sleeping for 0.010982147883623838 seconds
Request model_3#6 arrives at 1778791.888724556, sleeping for 0.031709952745586634 seconds
Request model_5#38 arrives at 1778791.921369579, sleeping for 0.005504609551280737 seconds
Request model_5#39 arrives at 1778791.927106798, sleeping for 0.012463859748095274 seconds
Request model_1#4 arrives at 1778791.939766884, sleeping for 0.12324947002343833 seconds
Request model_5#40 arrives at 1778792.06353096, sleeping for 0.0017346458043903112 seconds
Request model_3#7 arrives at 1778792.066210058, sleeping for 0.02106466027908027 seconds
Request model_5#41 arrives at 1778792.568332878, sleeping for 0 seconds
Request model_6#9 arrives at 1778792.568810021, sleeping for 0 seconds
Request model_5#42 arrives at 1778792.569213714, sleeping for 0 seconds
Request model_1#5 arrives at 1778792.569580126, sleeping for 0 seconds
Request model_5#43 arrives at 1778792.569985529, sleeping for 0 seconds
Request model_1#6 arrives at 1778792.570380222, sleeping for 0 seconds
Request model_6#10 arrives at 1778792.570946206, sleeping for 0 seconds
Request model_5#44 arrives at 1778792.571451989, sleeping for 0 seconds
Request model_5#45 arrives at 1778792.571959853, sleeping for 0 seconds
Request model_5#46 arrives at 1778792.572550487, sleeping for 0 seconds
Request model_6#11 arrives at 1778792.573175911, sleeping for 0 seconds
Request model_5#47 arrives at 1778792.573791765, sleeping for 0 seconds
Request model_1#7 arrives at 1778792.57455996, sleeping for 0 seconds
Request model_1#8 arrives at 1778792.575181024, sleeping for 0 seconds
Request model_5#48 arrives at 1778792.575799189, sleeping for 0.07762076891958714 seconds
Request model_5#49 arrives at 1778792.653786561, sleeping for 0.050967562245205045 seconds
Request model_5#50 arrives at 1778792.705580785, sleeping for 0.1212332674767822 seconds
Request model_5#51 arrives at 1778792.827156755, sleeping for 0.15116368816234171 seconds
Request model_1#9 arrives at 1778792.978916332, sleeping for 0.026839594589546323 seconds
Request model_1#10 arrives at 1778793.006636751, sleeping for 0.03743686177767813 seconds
Request model_3#8 arrives at 1778793.044346179, sleeping for 0.006360578583553433 seconds
Request model_3#9 arrives at 1778793.051047845, sleeping for 0.02279164455831051 seconds
Request model_2#5 arrives at 1778793.075850574, sleeping for 0.02971178782172501 seconds
Request model_5#52 arrives at 1778793.106566224, sleeping for 0.010253559099510312 seconds
Request model_5#53 arrives at 1778793.117261497, sleeping for 0.014917341293767095 seconds
Request model_5#54 arrives at 1778793.132947174, sleeping for 0.0928706475533545 seconds
Request model_6#12 arrives at 1778793.226677364, sleeping for 0.1256007885094732 seconds
Request model_5#55 arrives at 1778793.352713895, sleeping for 0.056470317067578435 seconds
Request model_5#56 arrives at 1778793.409728534, sleeping for 0.02193121425807476 seconds
Request model_5#57 arrives at 1778793.43252017, sleeping for 0.042729107895866036 seconds
Request model_5#58 arrives at 1778793.476223389, sleeping for 0.031233712332323194 seconds
