Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s42.pkl
[PRISM_DIRECT] 8498 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed42
Generated 8498 requests
Request model_5#0 arrives at 1621529.708240496, sleeping for 0.0786923156119883 seconds
Request model_5#1 arrives at 1621529.787430916, sleeping for 0.02775477711111307 seconds
Request model_1#0 arrives at 1621529.815919237, sleeping for 0.03967338032089174 seconds
Request model_5#2 arrives at 1621529.855731629, sleeping for 0.02788286260329187 seconds
Request model_6#0 arrives at 1621529.884325681, sleeping for 0.0300677134655416 seconds
Request model_6#1 arrives at 1621529.914893621, sleeping for 0.26029036776162684 seconds
Request model_5#3 arrives at 1621530.176094068, sleeping for 0.08576823025941849 seconds
Request model_5#4 arrives at 1621530.262723593, sleeping for 0.28404812095686793 seconds
Request model_3#0 arrives at 1621530.549272614, sleeping for 0.023938519414514303 seconds
Request model_5#5 arrives at 1621530.574324715, sleeping for 0.06877721706405282 seconds
Request model_6#2 arrives at 1621530.644044811, sleeping for 0.02706895023584366 seconds
Request model_1#1 arrives at 1621530.673136667, sleeping for 0.04403262981213629 seconds
Request model_5#6 arrives at 1621530.717736821, sleeping for 0.03975018626078963 seconds
Request model_5#7 arrives at 1621530.758456481, sleeping for 0.028665692545473576 seconds
Request model_3#1 arrives at 1621530.788151043, sleeping for 0.09893401060253382 seconds
Request model_5#8 arrives at 1621530.887937734, sleeping for 0.06664316053502262 seconds
Request model_5#9 arrives at 1621530.956670032, sleeping for 0.05078128934837878 seconds
Request model_5#10 arrives at 1621531.008372428, sleeping for 0.09003398870117962 seconds
Request model_5#11 arrives at 1621531.099999607, sleeping for 0.026515244506299496 seconds
Request model_6#3 arrives at 1621531.127704101, sleeping for 0.06888575339689851 seconds
Request model_5#12 arrives at 1621531.197424307, sleeping for 0.010728493798524141 seconds
Request model_5#13 arrives at 1621531.20909532, sleeping for 0.26741265761666 seconds
Request model_2#0 arrives at 1621531.477995845, sleeping for 0.11717032291926444 seconds
Request model_5#14 arrives at 1621531.595515523, sleeping for 0.08640037546865642 seconds
Request model_5#15 arrives at 1621531.682716693, sleeping for 0.004518435103818774 seconds
Request model_5#16 arrives at 1621531.687395484, sleeping for 0.00024523609317839146 seconds
Request model_3#2 arrives at 1621531.687803908, sleeping for 0.1418195548467338 seconds
Request model_5#17 arrives at 1621531.830488448, sleeping for 0.0066984426230192184 seconds
Request model_5#18 arrives at 1621531.838005064, sleeping for 0 seconds
Request model_5#19 arrives at 1621531.839107624, sleeping for 0.10057506710290909 seconds
Request model_5#20 arrives at 1621531.940500709, sleeping for 0.04872526810504496 seconds
Request model_6#4 arrives at 1621531.989746504, sleeping for 0.20288919447921216 seconds
Request model_5#21 arrives at 1621532.193280831, sleeping for 0.01855958322994411 seconds
Request model_5#22 arrives at 1621532.213251088, sleeping for 0.00380945042707026 seconds
Request model_5#23 arrives at 1621532.21801837, sleeping for 0.018639755668118596 seconds
Request model_5#24 arrives at 1621532.237836715, sleeping for 0.014431988587602973 seconds
Request model_6#5 arrives at 1621532.252991479, sleeping for 0.005164727568626404 seconds
Request model_6#6 arrives at 1621532.258631788, sleeping for 0.011004900792613626 seconds
Request model_5#25 arrives at 1621532.270242381, sleeping for 0.009038740070536733 seconds
Request model_2#1 arrives at 1621532.280866405, sleeping for 0.042848944664001465 seconds
Request model_5#26 arrives at 1621532.32451061, sleeping for 0.0023493515327572823 seconds
Request model_2#2 arrives at 1621532.327206294, sleeping for 0.028463866095989943 seconds
Request model_5#27 arrives at 1621532.355887997, sleeping for 0.028327551437541842 seconds
Request model_5#28 arrives at 1621532.384679252, sleeping for 0.01870812801644206 seconds
Request model_1#2 arrives at 1621532.404406636, sleeping for 0.020795441698282957 seconds
Request model_2#3 arrives at 1621532.426100677, sleeping for 0.009576053358614445 seconds
Request model_3#3 arrives at 1621532.436790262, sleeping for 0.023720870027318597 seconds
Request model_5#29 arrives at 1621532.46147502, sleeping for 0.05130684655159712 seconds
Request model_3#4 arrives at 1621532.51360311, sleeping for 0.00235184864141047 seconds
Request model_6#7 arrives at 1621532.516282964, sleeping for 0.06785681680776179 seconds
Request model_5#30 arrives at 1621532.58498504, sleeping for 0.09951128740794957 seconds
Request model_5#31 arrives at 1621532.684772301, sleeping for 0.010525873163715005 seconds
Request model_2#4 arrives at 1621532.695493036, sleeping for 0.04725821013562381 seconds
Request model_5#32 arrives at 1621532.743228758, sleeping for 0.0651724396739155 seconds
Request model_3#5 arrives at 1621532.809039809, sleeping for 0.010907593881711364 seconds
Request model_5#33 arrives at 1621532.820749282, sleeping for 0.15564141562208533 seconds
Request model_5#34 arrives at 1621532.977554397, sleeping for 0.13272769516333938 seconds
Request model_1#3 arrives at 1621533.111356298, sleeping for 0.024893886875361204 seconds
Request model_5#35 arrives at 1621533.137073696, sleeping for 0.028995998669415712 seconds
Request model_6#8 arrives at 1621533.166778728, sleeping for 0.012069557793438435 seconds
Request model_5#36 arrives at 1621533.179559121, sleeping for 0.045822296757251024 seconds
Request model_5#37 arrives at 1621533.226263703, sleeping for 0.010446028783917427 seconds
Request model_3#6 arrives at 1621533.236967658, sleeping for 0.0321353985927999 seconds
Request model_5#38 arrives at 1621533.269663357, sleeping for 0.005879729520529509 seconds
Request model_5#39 arrives at 1621533.276356025, sleeping for 0.011883460683748126 seconds
Request model_1#4 arrives at 1621533.288617414, sleeping for 0.1230678481515497 seconds
Request model_5#40 arrives at 1621533.41279933, sleeping for 0.0011356538161635399 seconds
Request model_3#7 arrives at 1621533.414043931, sleeping for 0.021899725310504436 seconds
Request model_5#41 arrives at 1621533.436891753, sleeping for 0.016549939289689064 seconds
Request model_6#9 arrives at 1621533.454254166, sleeping for 0.05756109650246799 seconds
Request model_5#42 arrives at 1621533.512668782, sleeping for 0.0321960486471653 seconds
Request model_1#5 arrives at 1621533.545879006, sleeping for 0.05096771661192179 seconds
Request model_5#43 arrives at 1621533.597611372, sleeping for 0.03194718947634101 seconds
Request model_1#6 arrives at 1621533.67322875, sleeping for 0.033256946597248316 seconds
Request model_6#10 arrives at 1621533.707701895, sleeping for 0.045224044704809785 seconds
Request model_5#44 arrives at 1621533.75358456, sleeping for 0.031846001744270325 seconds
Request model_5#45 arrives at 1621533.786227088, sleeping for 0.022648569894954562 seconds
Request model_5#46 arrives at 1621533.809761946, sleeping for 0.016159672988578677 seconds
Request model_6#11 arrives at 1621533.826308102, sleeping for 0.0013446088414639235 seconds
Request model_5#47 arrives at 1621533.828737053, sleeping for 0.01904580765403807 seconds
Request model_1#7 arrives at 1621533.849273655, sleeping for 0.0027884712908416986 seconds
Request model_1#8 arrives at 1621533.853067148, sleeping for 0.02257349854335189 seconds
Request model_5#48 arrives at 1621533.876156582, sleeping for 0.12593206390738487 seconds
Request model_5#49 arrives at 1621534.002857411, sleeping for 0.05056663020513952 seconds
Request model_5#50 arrives at 1621534.054616588, sleeping for 0.12086676247417927 seconds
Request model_5#51 arrives at 1621534.176602905, sleeping for 0.15038742613978684 seconds
Request model_1#9 arrives at 1621534.327383506, sleeping for 0.02704179845750332 seconds
Request model_1#10 arrives at 1621534.355582065, sleeping for 0.037159895757213235 seconds
Request model_3#8 arrives at 1621534.3934614, sleeping for 0.005914115579798818 seconds
Request model_3#9 arrives at 1621534.40024885, sleeping for 0.02225917740724981 seconds
Request model_2#5 arrives at 1621534.42287793, sleeping for 0.031352959806099534 seconds
Request model_5#52 arrives at 1621534.454513339, sleeping for 0.010975262150168419 seconds
Request model_5#53 arrives at 1621534.466352584, sleeping for 0.014494742266833782 seconds
Request model_5#54 arrives at 1621534.481022823, sleeping for 0.09346356661990285 seconds
Request model_6#12 arrives at 1621534.57577119, sleeping for 0.12517648050561547 seconds
Request model_5#55 arrives at 1621534.702250056, sleeping for 0.05560311395674944 seconds
Request model_5#56 arrives at 1621534.758571104, sleeping for 0.021757892332971096 seconds
